name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Bloggers
",/personalities/blog-posting/,"
 stated on July 19, 2018 in a blog post:
","
""Satanic leader confesses to sacrificing 675 children 'gifted' to him by doctors.""
",/factchecks/2018/aug/01/blog-posting/no-evidence-so-called-satanic-leader-sacrificed-60/,half-true,"
By Katie Akin • August 1, 2018
"
"
Mahlon Mitchell
",/personalities/mahlon-mitchell/,"
stated on June 19, 2018 in an interview:
","
Says Scott Walker ""has cut more from public education than he's put back in, obviously. He took $1.6 billion and some change away and then puts back $630 million and he's calling that progress.""
",/factchecks/2018/aug/01/mahlon-mitchell/mahlon-mitchell-has-point-mostly-misses-his-attack/,barely-true,"
By Tom Kertscher • August 1, 2018
"
"
Jeff Sessions
",/personalities/jeff-sessions/,"
stated on July 26, 2018 in a speech:
","
""One out of every 30 people in the Greater Boston area is an illegal alien.""
",/factchecks/2018/jul/31/jeff-sessions/jeff-sessions-says-1-out-30-greater-boston-country/,true,"
By Miriam Valverde • July 31, 2018
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on July 31, 2018 in a tweet:
","
""Collusion is not a crime.""
 
",/factchecks/2018/jul/31/donald-trump/donald-trump-says-collusion-no-crime-right/,barely-true,"
By Jon Greenberg • July 31, 2018
"
"
Jim Renacci
",/personalities/jim-renacci/,"
stated on July 10, 2018 in a press conference:
","
Says Sherrod Brown ""votes 97 percent with Chuck Schumer, almost 95 plus percent with Elizabeth Warren.""
",/factchecks/2018/jul/31/jim-renacci/ohio-senator-sherrod-brown-votes-elizabeth-warren-/,mostly-true,"
By Amy Sherman • July 31, 2018
"
"
Larry Kudlow
",/personalities/larry-kudlow/,"
stated on July 29, 2018 in an interview on CBS's Face the Nation:
","
""Even the CBO numbers show now that the entire $1.5 trillion tax cut is virtually paid for by higher revenues and better nominal GDP.""
",/factchecks/2018/jul/31/larry-kudlow/wh-economic-chief-kudlow-wrongly-says-cbo-agrees-t/,false,"
By Jon Greenberg • July 31, 2018
"
"
Matt Flynn
",/personalities/matt-flynn/,"
stated on April 12, 2018 in a TV interview:
","
Says Foxconn ""is under investigation in mainland China for securities fraud, environmental fraud and labor fraud.""
",/factchecks/2018/jul/31/matt-flynn/flynns-claims-against-foxconn-fall-short-actual-fr/,barely-true,"
By Ahmed Elbenni • July 31, 2018
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on July 29, 2018 in a tweet:
","
""Wow, highest Poll Numbers in the history of the Republican Party. That includes Honest Abe Lincoln and Ronald Reagan.""
",/factchecks/2018/jul/30/donald-trump/has-donald-trump-had-highest-poll-numbers-any-gop-/,false,"
By Louis Jacobson • July 30, 2018
"
"
Doug La Follette
",/personalities/doug-la-follette/,"
stated on July 18, 2018 in an interview:
","
Says he’s been Wisconsin secretary of state ""around 25 years.""
 
",/factchecks/2018/jul/30/doug-la-follette/doug-la-follette-says-hes-been-wisconsin-secretary/,false,"
By Tom Kertscher • July 30, 2018
"
"
Dorothy Brown
",/personalities/dorothy-brown/,"
stated on July 15, 2018 in a radio interview:
","
""Pre-K has gone down since the current mayor took office.""
",/factchecks/2018/jul/29/dorothy-brown/no-chicagos-pre-k-program-not-decline/,barely-true,"
By Kiannah Sepeda-Miller • July 29, 2018
"
"
Chris Sununu
",/personalities/chris-sununu/,"
stated on June 26, 2018 in an interview:
","
""Every time they’ve done those border patrols, they’ve taken out people who have trafficked drugs. That’s the federal government’s role. They’re doing their job.""
",/factchecks/2018/jul/27/chris-sununu/sununu-says-nabbing-drug-traffickers-border-patrol/,half-true,"
By Ethan DeWitt • July 27, 2018
"
"
Roland Gutierrez
",/personalities/roland-gutierrez/,"
stated on July 18, 2018 in a campaign email blast:
","
Says Pete Gallego canceled a ""planned meeting with the families of Sandy Hook victims.""
",/factchecks/2018/jul/27/roland-gutierrez/roland-gutierrez-pete-gallego-canceled-Sandy-Hook-/,false,"
By Jasper Scherer • July 27, 2018
"
"
Adam Putnam
",/personalities/adam-putnam/,"
stated on July 24, 2018 in a campaign ad from his political committee Florida Grown:
","
""Congressman (Ron) DeSantis sponsored legislation to increase sales taxes by 23 percent, hurting families, destroying jobs, devastating tourism""
",/factchecks/2018/jul/27/adam-putnam/misleading-putnam-ad-twists-desantis-stance-taxes/,barely-true,"
By Katie Akin • July 27, 2018
"
"
Kelda Helen Roys
",/personalities/kelda-helen-roys/,"
stated on May 2, 2018 in a cable interview:
","
Says ""political interference"" from Scott Walker’s administration has led to ""gagging (DNR) scientists so they can no longer comment on proposed legislation"" and ""we’re letting polluters write their own permits.""
",/factchecks/2018/jul/27/kelda-helen-roys/governor-hopeful-kelda-roys-says-walker-administra/,barely-true,"
By Anna Groves • July 27, 2018
"
"
Roger Williams
",/personalities/roger-williams/,"
stated on July 19, 2018 in an interview on ""Mornings with Maria"" on the Fox Business Network:
","
Says he’s ""never voted ‘present’ in the House instead of taking a yes or no position.
",/factchecks/2018/jul/26/roger-williams/roger-williams-says-hes-never-voted-present-us-hou/,true,"
By W. Gardner Selby • July 26, 2018
"
"
Bill Nelson
",/personalities/bill-nelson/,"
stated on July 23, 2018 in a Senate floor speech:
","
Says detained immigrant parents separated from their children at the border are being charged ""as much as $8 a minute to call their children.""
",/factchecks/2018/jul/26/bill-nelson/bill-nelson-claims-detained-immigrant-parents-char/,barely-true,"
By Miriam Valverde • July 26, 2018
"
"
Missouri Democratic Party
 ",/personalities/missouri-democratic-party/,"
stated on July 17, 2018 in a tweet:
","
If a lawsuit backed by Josh Hawley succeeds, ""nearly 2.5 million Missourians with pre-existing conditions could lose their health care coverage.""
",/factchecks/2018/jul/26/missouri-democratic-party/would-25-million-missourians-lose-health-coverage-/,half-true,"
By Louis Jacobson • July 26, 2018
"
"
Larry Fedora
",/personalities/larry-fedora/,"
stated on July 18, 2018 in an interview:
","
""I don’t think it’s been proven that the game of football causes CTE.""
",/factchecks/2018/jul/26/larry-fedora/unc-football-coach-says-its-not-proven-football-ca/,half-true,"
By Paul Specht • July 26, 2018
"
"
Kevin McCarthy
",/personalities/kevin-mccarthy/,"
stated on July 23, 2018 in a tweet:
","
""Trump tax cut benefits all congressional districts, up to $44,697 per family.""
",/factchecks/2018/jul/26/kevin-mccarthy/could-trump-tax-cut-save-44697-family/,half-true,"
By Louis Jacobson • July 26, 2018
"
"
Senate Leadership Fund
",/personalities/senate-leadership-fund/,"
stated on July 24, 2018 in a campaign ad:
","
Says Sen. Joe Donnelly’s ""family got caught outsourcing jobs to Mexico, and ‘Mexico Joe’ profited up to $80,000.""
",/factchecks/2018/jul/26/senate-leadership-fund/did-donnelly-profit-his-familys-outsourcing/,barely-true,"
By Katie Akin • July 26, 2018
"
"
Jeff Greene
",/personalities/jeff-greene/,"
stated on July 10, 2018 in TV ad:
","
""Every time Trump comes here to play golf, Florida taxpayers are paying for it. ... Jeff Greene will put a stop to that day 1.""
",/factchecks/2018/jul/26/jeff-greene/could-florida-governor-bill-feds-police-trumps-gol/,barely-true,"
By Amy Sherman • July 26, 2018
"
"
Tony Evers
",/personalities/tony-evers/,"
stated on June 27, 2018 in a campaign email:
","
""I’m the first Democrat to ever lead Scott Walker in an election year.""
 
",/factchecks/2018/jul/26/tony-evers/evers-boast-beating-walker-poll-short-finish-line/,false,"
By Samantha West • July 26, 2018
"
"
Kamala Harris
",/personalities/kamala-harris/,"
stated on July 19, 2018 in a tweet:
","
""In 99 percent of counties in America, someone making the minimum wage working full time can’t afford a 1-bedroom apartment.""
",/factchecks/2018/jul/25/kamala-harris/housing-unaffordable-full-time-minimum-wage-worker/,mostly-true,"
By Lucia Geng • July 25, 2018
"
"
Amy Klobuchar
",/personalities/amy-klobuchar/,"
stated on July 9, 2018 in a tweet:
","
Says Judge Brett Kavanaugh ""ruled that the Consumer Financial Protection Bureau was unconstitutional (reversed by full Circuit Court).""
 
",/factchecks/2018/jul/25/amy-klobuchar/trump-brett-kavanaugh-scotus-cfpb-unconstitutional/,mostly-true,"
By Manuela Tobias • July 25, 2018
"
"
Corey Stewart
",/personalities/corey-stewart/,"
stated on July 21, 2018 in a debate:
","
""President Trump proposed the increase to $700 billion to our military budget, which included the 355-ship Navy, which included a military pay increase, a modest one, which included, a yet even more modest housing allowance, but yet (Sen. Tim Kaine) even voted against giving more money to our men and women who are in the military service and against our housing allowance.""
",/factchecks/2018/jul/25/corey-stewart/stewart-mark-repeated-attacks-kaines-support-milit/,barely-true,"
By Bill McCarthy • July 25, 2018
"
