name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Alberta Darling
",/personalities/alberta-darling/,"
stated on September 8, 2014 in a news release:
","
""Wisconsin does not have a deficit. Thanks to Republican reforms, the 2014 budget will begin with a $443 million surplus.""
",/factchecks/2014/sep/11/alberta-darling/despite-news-18-billion-shortfall-alberta-darling-/,half-true,"
By Tom Kertscher • September 11, 2014
"
"
Charlie Crist
",/personalities/charlie-crist/,"
stated on September 4, 2014 in a campaign document:
","
""Under Rick Scott, homeowners are paying higher (home insurance) premiums for less coverage.""
",/factchecks/2014/sep/10/charlie-crist/homeowners-are-paying-more-less-insurance-coverage/,mostly-true,"
By Joshua Gillin • September 10, 2014
"
"
Arianna Huffington
",/personalities/arianna-huffington/,"
stated on September 9, 2014 in a tweet:
","
A poll found that ""20% of young adults use (smartphones) during sex.""
",/factchecks/2014/sep/10/arianna-huffington/huffington-20-young-adults-use-smartphones-during-/,mostly-true,"
By Jon Greenberg • September 10, 2014
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on September 10, 2014 in posts on Facebook:
","
""Fox admits they lie"" and, under the First Amendment, ""have the right to lie or deliberately distort news reports on public airwaves.""  
",/factchecks/2014/sep/10/facebook-posts/facebook-post-claims-fox-admits-they-lie-have-righ/,false,"
By Linda Qiu • September 10, 2014
"
"
Scott Walker
",/personalities/scott-walker/,"
stated on September 3, 2014 in a press release:
","
Says Mary Burke’s Madison school district ""will be the only school district left in the state"" to ""ignore the (Act 10) law"" in the 2015-16 school year.
",/factchecks/2014/sep/10/scott-walker/scott-walker-says-madison-school-district-only-one/,mostly-true,"
By Dave Umhoefer • September 10, 2014
"
"
National Republican Senatorial Committee
",/personalities/national-republican-senatorial-committee/,"
stated on September 4, 2014 in a campaign ad:
","
Says cuts to Medicare affect people who have already ""paid in. We paid for it.""
",/factchecks/2014/sep/09/national-republican-senatorial-committee/how-much-have-medicare-beneficiaries-paid-system/,barely-true,"
By Louis Jacobson • September 9, 2014
"
"
National Republican Senatorial Committee
",/personalities/national-republican-senatorial-committee/,"
stated on September 4, 2014 in a campaign ad:
","
Says Democratic Senate candidate ""Bruce Braley voted to cut $700 billion from Medicare to support Obamacare.""
",/factchecks/2014/sep/09/national-republican-senatorial-committee/gop-ad-says-bruce-braley-voted-cut-700-billion-med/,half-true,"
By Louis Jacobson • September 9, 2014
"
"
Joe Garcia
",/personalities/joe-garcia/,"
stated on September 5, 2014 in a Web ad:
","
Says U.S. House candidate Carlos Curbelo ""supported ending the Medicare guarantee.""
",/factchecks/2014/sep/09/joe-garcia/does-republican-carlos-curbelo-support-ending-medi/,false,"
By Amy Sherman • September 9, 2014
"
"
Bob Beckel
",/personalities/bob-beckel/,"
stated on September 1, 2014 in a discussion on Fox News' ""The Five"":
","
The United States has ""the most number of deductions available to corporations"" for the corporate income tax.
",/factchecks/2014/sep/09/bob-beckel/does-us-have-more-corporate-tax-deductions-any-oth/,false,"
By Derek Tsang • September 9, 2014
"
"
Eric Bolling
",/personalities/eric-bolling/,"
stated on September 1, 2014 in a discussion on Fox News' ""The Five"":
","
The United States has ""the highest corporate tax rate in the free world.""
",/factchecks/2014/sep/09/eric-bolling/does-us-have-highest-corporate-tax-rate-free-world/,mostly-true,"
By Derek Tsang • September 9, 2014
"
"
Mark Obenshain
",/personalities/mark-obenshain/,"
stated on August 13, 2014 in a newsletter.:
","
Virginia Democrats recently enforced voter ID rules that were ""considerably more stringent than those contained in the state law they denounce.""
",/factchecks/2014/sep/09/mark-obenshain/obenshain-says-democrats-exceeded-voter-id-law-rec/,half-true,"
By Nancy Madsen • September 9, 2014
"
"
EMILY's List
",/personalities/emilys-list/,"
stated on September 1, 2014 in television attack ad:
","
""Federal investigators found a company that (David Perdue) ran discriminated against women -- paid them less than men for the same work.""
 
",/factchecks/2014/sep/09/emilys-list/emilys-list-attack-perdues-former/,mostly-true,"
By Nancy Badertscher • September 9, 2014
"
"
Cory Gardner
",/personalities/cory-gardner/,"
stated on September 2, 2014 in a campaign ad:
","
Says on contraception, his plan is ""cheaper and easier for you"" than Sen. Mark Udall’s
",/factchecks/2014/sep/08/cory-gardner/cory-gardner-says-his-plan-contraceptives-namely-p/,barely-true,"
By Steve Contorno • September 8, 2014
"
"
Jeff Merkley
",/personalities/jeff-merkley/,"
stated on August 7, 2014 in a roundtable discussion with senior citizens:
 ","
""Social Security has never contributed one cent to the deficit. Not one cent.""
",/factchecks/2014/sep/08/jeff-merkley/has-social-security-never-contributed-one-cent-fed/,half-true,"
By Dana Tims • September 8, 2014
"
"
Dana Loesch
",/personalities/dana-loesch/,"
stated on September 4, 2014 in a tweet:
","
""Obama admin gutted @ProjChildSafe budget to provide trigger locks and safety kits.""
",/factchecks/2014/sep/08/dana-loesch/loesch-obama-slashed-funding-gun-safety-program/,false,"
 By Jon Greenberg • September 8, 2014
"
"
Ed Gillespie
",/personalities/ed-gillespie/,"
stated on August 25, 2014 in a campaign email.:
","
Obamacare ""cuts seniors’ Medicare.""
",/factchecks/2014/sep/08/ed-gillespie/gillespie-says-obamacare-cuts-seniors-medicare/,barely-true,"
By Sean Gorman • September 8, 2014
"
"
Paul Ryan
",/personalities/paul-ryan/,"
stated on September 2, 2014 in a speech:
","
""Miller Brewing is not a U.S. company any more. Neither is Anheuser-Busch.""
",/factchecks/2014/sep/08/paul-ryan/paul-ryan-says-miller-brewing-and-anheuser-busch-a/,true,"
By James B. Nelson • September 8, 2014
"
"
Barack Obama
",/personalities/barack-obama/,"
stated on September 7, 2014 in an interview on ""Meet the Press."":
","
Says his comment about extremists being a JV team ""wasn’t specifically referring to"" Islamic State.
",/factchecks/2014/sep/07/barack-obama/what-obama-said-about-islamic-state-jv-team/,false,"
By Steve Contorno • September 7, 2014
"
"
Chuck Todd
",/personalities/chuck-todd/,"
stated on September 7, 2014 in a comment on ""Meet the Press."":
","
""Eight out of the nine states with competitive Senate races, Hispanics make up less than 10 percent of the electorate.""
",/factchecks/2014/sep/07/chuck-todd/chuck-todd-said-8-9-states-toss-senate-races-are-l/,true,"
By Linda Qiu • September 7, 2014
"
"
Greater Wisconsin Committee
",/personalities/greater-wisconsin-political-fund/,"
stated on August 28, 2014 in a TV ad:
","
""Scott Walker cut school funding more per student than any governor in America.""
",/factchecks/2014/sep/07/greater-wisconsin-political-fund/scott-walker-cut-school-funding-more-any-governor-/,mostly-true,"
By Tom Kertscher • September 7, 2014
"
"
Ted Cruz
",/personalities/ted-cruz/,"
stated on August 31, 2014 in an interview with WFAA-TV:
","
ISIS is ""right now crucifying Christians in Iraq, literally nailing Christians to trees.""
",/factchecks/2014/sep/05/ted-cruz/ted-cruz-says-isis-crucifying-christians-iraq-nail/,false,"
By W. Gardner Selby • September 5, 2014
"
"
Jeanne Shaheen
",/personalities/jeanne-shaheen/,"
stated on August 27, 2014 in an ad:
","
""Big Oil gave Scott Brown $454,260.""
",/factchecks/2014/sep/05/jeanne-shaheen/jeanne-shaheen-says-big-oil-gave-scott-brown-45426/,half-true,"
By Jonathan Van Fleet • September 5, 2014
"
"
Mike Collier
",/personalities/mike-collier/,"
stated on August 8, 2014 in a video ad:
","
Opponent Glenn Hegar expressed pride in legislated cuts to public school funding.
",/factchecks/2014/sep/05/mike-collier/mike-collier-says-opponent-glenn-hegar-was-proud-l/,true,"
By W. Gardner Selby • September 5, 2014
"
"
Barack Obama
",/personalities/barack-obama/,"
stated on September 1, 2014 in a speech in Milwaukee:
","
""We cut our deficits by more than half.""
",/factchecks/2014/sep/05/barack-obama/obama-says-he-has-cut-national-deficit-half/,true,"
By Dave Umhoefer • September 5, 2014
"
"
Michelle Nunn
",/personalities/michelle-nunn/,"
stated on August 12, 2014 in an ad:
","
In Georgia, Perdue’s company closed plants and moved jobs to China.
",/factchecks/2014/sep/05/michelle-nunn/claim-about-perdues-former-firm-hits-mark/,true,"
By April Hunt • September 5, 2014
"
"
National Republican Senatorial Committee
",/personalities/national-republican-senatorial-committee/,"
stated on September 3, 2014 in a campaign ad:
","
Says Mark Pryor voted ""to give Social Security benefits to illegal immigrants.""
",/factchecks/2014/sep/04/national-republican-senatorial-committee/did-mark-pryor-vote-give-social-security-benefits-/,false,"
By Louis Jacobson • September 4, 2014
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on August 27, 2014 in a Facebook meme:
","
""McDonald’s hamburgers are only 15 percent ‘real beef.’ The other 85 percent is meat filler cleansed with ammonia, which causes stomach and intestinal cancer.""
",/factchecks/2014/sep/03/facebook-posts/blogger-claims-mcdonalds-burgers-are-made-85-perce/,pants-fire,"
By Linda Qiu • September 3, 2014
"
"
The Other 98%
",/personalities/other-98/,"
stated on August 24, 2014 in a Facebook post:
","
""McDonald’s workers in Denmark have a union. Earn $45,000/year.""
",/factchecks/2014/sep/03/other-98/can-you-make-45000year-mcdonalds-denmark/,mostly-true,"
By Jon Greenberg • September 3, 2014
"
"
Mark Begich
",/personalities/mark-begich/,"
stated on August 29, 2014 in a campaign ad:
","
Says Dan Sullivan approved a ""light sentence"" for a sex offender who got out of prison and is now charged with a gruesome murder and sexual assault.
",/factchecks/2014/sep/03/mark-begich/sen-begich-wrongly-ties-republican-opponent-horrif/,pants-fire,"
By Lauren Carroll • September 3, 2014
"
"
Greater Wisconsin Committee
",/personalities/greater-wisconsin-political-fund/,"
stated on August 20, 2014 in a campaign TV ad:
","
""Scott Walker gave Wisconsin job creation money to his cronies: corporate friends who contributed to his campaigns"" and got $570 million in job-development incentives
",/factchecks/2014/sep/03/greater-wisconsin-political-fund/greater-wisconsin-committee-says-walker-gave-570-m/,false,"
By Dave Umhoefer • September 3, 2014
"
