name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Rebecca Kleefisch
",/personalities/rebecca-kleefisch/,"
stated on July 6, 2022 in TV ad:
","
“Tim Michels pushed for years to raise (Wisconsin’s) gas tax.”
",/factchecks/2022/aug/05/rebecca-kleefisch/no-evidence-michels-personally-pushed-gas-tax-incr/,barely-true,"
By Madeline Heim • August 5, 2022
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on August 3, 2022 in an image on Facebook:
","
The CDC has classified monkeypox as an airborne form of herpes that can lead to paralysis.
",/factchecks/2022/aug/05/facebook-posts/image-makes-false-claims-about-monkeypox-and-wasnt/,false,"
By Madison Czopek • August 5, 2022
"
"
Instagram posts
",/personalities/instagram-posts/,"
stated on August 2, 2022 in an Instagram post:
","
""AirPods are essentially microwaving your brain.”
",/factchecks/2022/aug/04/instagram-posts/theres-no-evidence-radiation-emitted-apple-airpods/,false,"
By Jeff Cercone • August 4, 2022
"
"
Kat Cammack
",/personalities/kat-cammack/,"
stated on July 21, 2022 in a speech on the floor of the U.S. House of Representatives:
","
“In no way, shape, or form is access to contraception limited or at risk of being limited.”
",/factchecks/2022/aug/04/kat-cammack/gop-talking-point-suggests-birth-control-not-risk-/,false,"
By Julie Rovner • August 4, 2022
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on July 29, 2022 in una publicación en Facebook:
","
Una ballena se traga a dos mujeres en California.
",/factchecks/2022/aug/03/facebook-posts/no-una-ballena-no-se-trago-dos-mujeres-en-una-play/,false,"
By Nuria Diaz Muñoz • August 3, 2022
"
"
Adam Laxalt
",/personalities/adam-laxalt/,"
stated on July 30, 2022 in a tweet:
","
A Democratic bill negotiated between Sens. Joe Manchin and Chuck Schumer would ""increase taxes on millions of Americans across every income bracket.""
",/factchecks/2022/aug/03/adam-laxalt/gop-claim-tax-hikes-democratic-bill-doesnt-factor-/,half-true,"
By Louis Jacobson • August 3, 2022
"
"
Instagram posts
",/personalities/instagram-posts/,"
stated on July 28, 2022 in an Instagram post:
","
Nancy Pelosi and Democrats ""want to turn 150 million Americans into felons overnight"" with HR 1808.
",/factchecks/2022/aug/03/instagram-posts/proposed-assault-weapons-ban-wont-turn-gun-owners-/,false,"
By Andy Nguyen • August 3, 2022
"
"
Mehmet Oz
",/personalities/mehmet-oz/,"
stated on July 28, 2022 in an ad:
","
John Fetterman wants to “eliminate life sentences for murderers.""
",/factchecks/2022/aug/03/mehmet-oz/oz-distorts-fettermans-position-ending-mandatory-l/,barely-true,"
By Tom Kertscher • August 3, 2022
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on July 29, 2022 in a Facebook post:
","
""The Sun is out of place, the Moon is out of place and the stars are out of place. The compasses are off"" because of a shift in the Earth’s poles.
",/factchecks/2022/aug/03/facebook-posts/actually-internet-sun-moon-and-stars-are-not-out-p/,pants-fire,"
By Grace Abels • August 3, 2022
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on August 28, 2022 in a Facebook post:
","
Synthetic cyanide-based B12 is a ""toxic ingredient in your kids vitamins.""
",/factchecks/2022/aug/02/facebook-posts/b12-found-childrens-vitamins-safe-heres-why/,false,"
By Gabrielle Settles • August 2, 2022
"
"
Instagram posts
",/personalities/instagram-posts/,"
stated on July 31, 2022 in a post:
","
“China threatens to shoot Nancy Pelosi’s plane down if she visits Taiwan.”
",/factchecks/2022/aug/02/instagram-posts/chinese-commentator-not-government-threatened-hous/,false,"
By Monique Curet • August 2, 2022
"
