name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Joseph McNamara
",/personalities/joseph-mcnamara/,"
 stated on March 16, 2011 in a news release:
","
""About 22 percent of adults in Rhode Island and approximately 30 percent of youth (ages 10-17) are considered obese.""
",/factchecks/2011/mar/25/joseph-mcnamara/rep-mcnamara-says-30-percent-rhode-island-youth-22/,half-true,"
By C. Eugene Emery Jr. • March 25, 2011
"
"
Newt Gingrich
",/personalities/newt-gingrich/,"
stated on March 23, 2011 in televised interviews:
","
On whether the United States should intervene in Libya.
",/factchecks/2011/mar/24/newt-gingrich/newt-gingrich-accused-flip-flop-libyan-no-fly-zone/,full-flop,"
By Louis Jacobson • March 24, 2011
"
"
Lawrence O'Donnell
",/personalities/lawrence-odonnell/,"
stated on March 22, 2011 in MSNBC's ""Last Word"":
","
""Most Americans live within 50 miles of a nuclear power plant.""
",/factchecks/2011/mar/24/lawrence-odonnell/msnbcs-lawrence-odonnell-most-americans-live-withi/,true,"
By Robert Farley • March 24, 2011
"
"
Bill Nelson
",/personalities/bill-nelson/,"
stated on March 17, 2011 in a letter to IRS Commissioner Douglas Shulman:
","
""The entire state of Florida led the nation last year with the most prison inmates committing tax fraud.""
",/factchecks/2011/mar/24/bill-nelson/sen-bill-nelson-says-florida-leads-nation-prisoner/,true,"
By Laura Figueroa • March 24, 2011
"
"
Scott Fitzgerald
",/personalities/scott-fitzgerald/,"
stated on March 3, 2011 in a statement at a news conference:
","
Wisconsin was embroiled in a ""constitutional crisis"" brought on by the Democratic senators fleeing the state for Illinois to block Gov. Scott Walker's budget-repair bill.
 
",/factchecks/2011/mar/24/scott-fitzgerald/wisconsin-senate-majority-leader-scott-fitzgerald-/,barely-true,"
By James B. Nelson • March 24, 2011
"
"
Dennis Kucinich
",/personalities/dennis-kucinich/,"
stated on March 3, 2011 in a House committee hearing:
","
""Due to a flaw in the 1995 Outer Continental Shelf Deep Water Royalty Relief Act numerous oil companies are now drilling in the Gulf of Mexico in federal lands and paying no royalties to the federal government.""
",/factchecks/2011/mar/24/dennis-kucinich/rep-dennis-kucinich-says-faulty-law-blame-oil-comp/,half-true,"
By James McCarty • March 24, 2011
"
"
Barack Obama
",/personalities/barack-obama/,"
stated on December 7, 2007 in an interview with the ""Boston Globe"":
","

On the president unilaterally authorizing a military attack ""that does not involve stopping an actual or imminent threat to the nation.""
",/factchecks/2011/mar/23/barack-obama/barack-obamas-libya-intervention-flip-flop-what-he/,full-flop,"
By Louis Jacobson • March 23, 2011
"
"
Glenn Beck
",/personalities/glenn-beck/,"
stated on March 18, 2011 in comments on his Fox News show.:
","
Says Allen West helped thwart a terrorist plot by shooting a gun in the direction of an Iraqi detainee, then reported the incident to his superior and said it was wrong.
",/factchecks/2011/mar/23/glenn-beck/glenn-beck-says-allen-west-modern-day-ronin/,half-true,"
By Aaron Sharockman • March 23, 2011
"
"
Ted Poe
",/personalities/ted-poe/,"
stated on February 9, 2011 in a House floor speech:
","
The U.S. gives foreign aid to Cuba and Venezuela, even though those countries are our enemies.
",/factchecks/2011/mar/23/ted-poe/ted-poe-decries-us-aid-venezuela-cuba/,false,"
By Louis Jacobson • March 23, 2011
"
"
John Kasich
",/personalities/john-kasich/,"
stated on March 8, 2011 in his State of the State speech:
","
Ohio Director of Job Creation ""Mark Kvamme just clawed back about $900,000 from companies that made promises and they didn't keep them.""
",/factchecks/2011/mar/23/john-kasich/gov-john-kasich-says-state-just-clawed-back-about-/,half-true,"
By Mark Naymik • March 23, 2011
"
