name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Brendan Reilly
",/personalities/brendan-reilly/,"
 stated on February 24, 2017 in on Twitter :
","
Said Adolf Hitler and Donald Trump have both described deportations as ""a military operation.""
    
",/factchecks/2017/mar/23/brendan-reilly/chicago-alderman-misses-mark-comparing-donald-trum/,barely-true,"
By Marc Filippino • March 23, 2017
"
"
Ron Johnson
",/personalities/ron-johnson/,"
stated on March 21, 2017 in an interview:
","
The GOP’s Obamacare replacement would reduce subsidies that help lower-income people buy health insurance, but also ""expand the entitlement"" by giving subsidies to higher-income people ""that Obamacare never helped.""
",/factchecks/2017/mar/23/ron-johnson/gop-obamacare-replacement-cuts-aid-lower-income-pe/,true,"
By Tom Kertscher • March 23, 2017
"
"
Mike Pence
",/personalities/mike-pence/,"
stated on March 19, 2017 in remarks in Coral Springs, Fla.:
","
Says President Donald Trump’s proposal to allow Americans to buy health insurance across state lines would make it the same as ""the way you buy car insurance"" today.
",/factchecks/2017/mar/23/mike-pence/discussing-health-care-mike-pence-wrong-about/,false,"
By Louis Jacobson • March 23, 2017
"
"
Bloggers
",/personalities/blog-posting/,"
stated on March 16, 2017 in Internet posts:
","
Says ""(Barack) Obama’s mother-in-law charged with larceny and fraud.""
",/factchecks/2017/mar/23/blog-posting/former-first-grandma-marian-robinson-caught-anothe/,pants-fire,"
By Joshua Gillin • March 23, 2017
"
"
Sean Spicer
",/personalities/sean-spicer/,"
stated on March 20, 2017 in a press briefing:
","
Says Paul Manafort ""played a very limited role"" in the Trump presidential campaign.
",/factchecks/2017/mar/22/sean-spicer/sean-spicers-false-claim-paul-manafort-played-mino/,false,"
By John Kruzel • March 22, 2017
"
"
Chris Murphy
",/personalities/chris-murphy/,"
stated on March 16, 2017 in a press conference:
","
""In year No. 1, 14 million Americans lose coverage,"" according to the CBO. 
",/factchecks/2017/mar/22/chris-murphy/house-gop-health-care-bill-would-cause-14-million-/,mostly-true,"
By John Kruzel • March 22, 2017
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on March 20, 2017 in a rally in Kentucky:
","
""Since the day of my election, we've already cut illegal immigration at the southern border by 61 percent.""
",/factchecks/2017/mar/22/donald-trump/trump-says-illegal-immigration-down-61-percent-ele/,mostly-true,"
By Miriam Valverde • March 22, 2017
"
"
Patrick Leahy
",/personalities/patrick-leahy/,"
stated on March 8, 2017 in a House Judiciary Committee hearing:
","
Wealthy foreigners can obtain visas through a special program, but only a small number ""invest in true high-unemployment areas. Almost every other EB-5 project uses gerrymandering to qualify as distressed.""
",/factchecks/2017/mar/21/patrick-leahy/leahy-eb-5-visas/,mostly-true,"
By Miriam Valverde • March 21, 2017
"
"
Mark Pocan
",/personalities/mark-pocan/,"
stated on March 20, 2017 in a video:
","
Under ""Trumpcare,"" the Republican replacement for Obamacare, ""$600 billion worth of tax breaks will go to the wealthiest in this country.""   
",/factchecks/2017/mar/21/mark-pocan/americas-wealthiest-get-600-billion-tax-breaks-rep/,half-true,"
By Tom Kertscher • March 21, 2017
"
"
Bloggers
",/personalities/blog-posting/,"
stated on March 16, 2017 in a headline:
","
Says U.S. Health and Human Services Secretary Tom Price said, ""It’s better for our budget if cancer patients die more quickly.""
",/factchecks/2017/mar/21/blog-posting/fake-quote-tom-price-did-not-tell-cancer-patients-/,pants-fire,"
By Joshua Gillin • March 21, 2017
"
"
Mick Mulvaney
",/personalities/mick-mulvaney/,"
stated on March 16, 2017 in a press conference:
","
""There's no demonstrable evidence they (after-school programs that feed kids) are helping kids do better at school.""
 
",/factchecks/2017/mar/21/mick-mulvaney/wh-budget-chief-wrongly-claims-afterschool-program/,barely-true,"
By Jon Greenberg • March 21, 2017
 "
"
David Perdue
",/personalities/david-perdue/,"
stated on March 1, 2017 in an interview on NBC's ""Meet the Press Daily"":
","
""USAID put $8 billion up and attracted more than $45 billion in a public-private partnership called Power Africa.""
",/factchecks/2017/mar/21/david-perdue/sen-perdue-touts-us-power-program-africa/,mostly-true,"
By Jon Greenberg • March 21, 2017
"
"
Philip Levine
",/personalities/philip-levine/,"
 stated on March 2, 2017 in a post on Facebook:
","
Says Airbnb ""decreases real estate values and increases costs for workforce housing.""
",/factchecks/2017/mar/20/philip-levine/does-airbnb-decrease-housing-values-and-increase-w/,barely-true,"
By Amy Sherman • March 20, 2017
"
"
Devin Nunes
",/personalities/devin-nunes/,"
stated on March 20, 2017 in a House Intelligence Committee hearing:
","
""In recent years ... the Obama administration was committed to the notion, against all evidence, that we could reset relations with Putin.""
",/factchecks/2017/mar/20/devin-nunes/devin-nunes-oversimplifies-timeline-obama-reset-ru/,half-true,"
By Louis Jacobson • March 20, 2017
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on March 20, 2017 in a tweet:
","
""The NSA and FBI tell Congress that Russia did not influence electoral process.""
",/factchecks/2017/mar/20/donald-trump/trumps-false-tweet-nsa-fbi-said-russia-did-not-inf/,false,"
By Lauren Carroll • March 20, 2017
"
"
Vicky Hartzler
",/personalities/vicky-hartzler/,"
stated on March 14, 2017 in a press release:
","
""Roughly one-fourth of rural Missourians are unable to purchase high-speed internet, which puts them at a disadvantage in everything from education to entertainment to health care.""
",/factchecks/2017/mar/20/vicky-hartzler/rep-vicky-hartzler-underestimated-lack-high-speed-/,half-true,"
By Gary Garrison • March 20, 2017
"
"
Jack Kingston
",/personalities/jack-kingston/,"
stated on March 12, 2017 in an interview on CNN:
","
""I remember years ago looking at a CBO report that in 1964 predicted that Medicare would cost $9 billion 10 years later. And I think it was already over $100 billion at that point.""
",/factchecks/2017/mar/20/jack-kingston/did-cbo-exist-1964-no/,false,"
By Sarah Waychoff • March 20, 2017
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on March 18, 2017 in a post on Twitter:
","
""Germany owes ... vast sums of money to NATO & the United States must be paid more for the powerful, and very expensive, defense it provides to Germany!""
",/factchecks/2017/mar/19/donald-trump/fact-check-donald-trump-says-germany-owes-vast-sum/,false,"
By Allison Graves • March 19, 2017
"
"
Claire McCaskill
",/personalities/claire-mccaskill/,"
stated on February 14, 2017 in a press release on her website:
","
Small businesses ""create two out of every three American jobs.""
",/factchecks/2017/mar/18/claire-mccaskill/sen-mccaskill-right-about-small-business-job-creat/,true,"
By Austin Hough • March 17, 2017
"
"
Andrew Cuomo
",/personalities/andrew-cuomo/,"
stated on February 23, 2017 in and in several other statements over the past two months.:
","
The proposed state budget contains ""an additional tax cut for the middle class.""
",/factchecks/2017/mar/17/andrew-cuomo/cuomos-budget-does-not-include-new-tax-cuts/,barely-true,"
By Dan Clark • March 17, 2017
"
"
Arnold Schwarzenegger
",/personalities/arnold-schwarzenegger/,"
stated on February 23, 2017 in a tweet:
","
""The average margin of victory in the House of Representatives was 37%"" for Democrats and Republicans in the 2016 election.
",/factchecks/2017/mar/17/arnold-schwarzenegger/true-nothing-inflated-schwarzneggers-claim-average/,true,"
By Chris Nichols • March 17, 2017
"
"
Dave Hansen
",/personalities/dave-hansen/,"
stated on March 5, 2017 in an interview:
","
Wisconsin is ""the most -- if not Number 1, number 2 -- gerrymandered state in the country"" for state legislative boundaries.
",/factchecks/2017/mar/17/dave-hansen/attacking-republicans-democratic-state-senator-say/,mostly-true,"
By Tom Kertscher • March 17, 2017
"
"
The Coalition for Public Schools
",/personalities/coalition-public-schools-coalition-public-schools/,"
stated on January 23, 2017 in an emailed press release:
","
""Texas legislators have filed voucher proposals in every legislative session since 1995, but all of them have failed to become law.""
",/factchecks/2017/mar/17/coalition-public-schools-coalition-public-schools/public-school-advocates-say-no-voucher-legislati/,true,"
By Fauzeya Rahman • March 16, 2017
"
"
Phil Berger
",/personalities/phil-berger/,"
stated on March 13, 2017 in a the GOP response to Roy Cooper's State of the State speech:
","
Says Republican legislators in North Carolina raised the average teacher's pay ""by more than 15 percent in just three years.""
",/factchecks/2017/mar/16/phil-berger/north-carolina-teacher-pay-has-been-rising-not-nea/,barely-true,"
By Will Doran • March 16, 2017
"
"
Hannah Willard
",/personalities/hannah-willard/,"
stated on March 16, 2017 in a press conference in the Florida Capitol:
","
""Experts estimate that 40 percent of gun sales occur in no-questions-asked transactions that often take place at gun shows or on the Internet.""
",/factchecks/2017/mar/16/hannah-willard/do-40-gun-sales-lack-background-checks-new-data-sa/,false,"
By Louis Jacobson • March 16, 2017
"
"
Will Herring
",/personalities/will-herring/,"
stated on March 6, 2017 in a San Antonio Express-News news story:
","
""There’s not one public study, and by public study I mean a study available to the public, that has looked at using the product Kaput to poison feral hogs.""
",/factchecks/2017/mar/16/will-herring/feral-hog-meat-businessman-says-there-are-no-publi/,mostly-true,"
By W. Gardner Selby • March 16, 2017
"
"
Peter Roskam
",/personalities/peter-roskam/,"
stated on March 6, 2017 in a speech at the City Club of Chicago:
","
""The past (Obama) administration was the first administration that never had a whole year of 3 percent growth.""
",/factchecks/2017/mar/16/peter-roskam/rep-roskam-gdp-growth-obama/,mostly-true,"
By Kevin Hoffman • March 16, 2017
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on March 15, 2017 in an interview with Fox's Tucker Carlson:
","
Says ""the New York Times wrote about"" Barack Obama wiretapping Donald Trump during the election. 
",/factchecks/2017/mar/16/donald-trump/donald-trump-says-he-learned-obama-tapped-his-phon/,false,"
By Lauren Carroll • March 16, 2017
"
"
Luis Gutierrez
",/personalities/luis-gutierrez/,"
stated on March 12, 2017 in CNN's State of the Union:
","
""2009-2010, let's remember, hundreds of Republican amendments were adopted in the ACA.""
",/factchecks/2017/mar/16/luis-gutierrez/rep-gutierrez-says-hundreds-republican-amendments-/,half-true,"
By Gabrielle Healy • March 16, 2017
"
"
Dennis Baxley
",/personalities/dennis-baxley/,"
stated on March 15, 2017 in a Florida House floor speech:
","
""What has happened since 2005? We’ve seen violent crime continuously go down"" due to Florida's ""stand your ground"" law.
",/factchecks/2017/mar/16/dennis-baxley/did-floridas-stand-your-ground-law-reduce-violent-/,barely-true,"
By Allison Graves • March 16, 2017
"
