name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Barack Obama
",/personalities/barack-obama/,"
stated on January 12, 2016 in his 2016 State of the Union address:
","
""We spend more on our military than the next eight nations combined.""
",/factchecks/2016/jan/13/barack-obama/obama-us-spends-more-military-next-8-nations-combi/,mostly-true,"
By Lauren Carroll • January 13, 2016
"
"
Barack Obama
",/personalities/barack-obama/,"
stated on January 12, 2016 in a State of the Union speech:
","
We've ""lifted high school graduation rates to new highs.""
",/factchecks/2016/jan/13/barack-obama/barack-obama-says-high-school-graduation-rates-are/,half-true,"
By C. Eugene Emery Jr. • January 13, 2016
"
"
Nikki Haley
",/personalities/nikki-haley/,"
stated on January 12, 2016 in the Republican response to the State of the Union address:
","
The economy is ""too weak to raise income levels.""
",/factchecks/2016/jan/13/nikki-haley/economy-too-weak-raise-incomes-nikki-haley-state-u/,mostly-true,"
By Louis Jacobson • January 12, 2016
"
"
Barack Obama
",/personalities/barack-obama/,"
stated on January 12, 2016 in his State of the Union speech:
","
""Our businesses have created jobs every single month since (Obamacare) became law.""
",/factchecks/2016/jan/13/barack-obama/business-has-created-jobs-every-month-obamacare-be/,true,"
By Lauren Carroll • January 12, 2016
"
"
Barack Obama
",/personalities/barack-obama/,"
stated on January 12, 2016 in the State of the Union address:
","
We have cut ""our deficits by almost three-quarters.""
",/factchecks/2016/jan/13/barack-obama/we-have-cut-our-deficits-three-fourths-obama-state/,mostly-true,"
By Louis Jacobson • January 12, 2016
"
"
Rick Scott
",/personalities/rick-scott/,"
stated on January 12, 2016 in his 2016 State of the State address:
","
""We have completely turned our economy around.""
",/factchecks/2016/jan/12/rick-scott/rick-scott-says-he-completely-turned-around-florid/,half-true,"
By Joshua Gillin • January 12, 2016
"
"
Steven Landes
",/personalities/steven-landes/,"
stated on December 24, 2015 in a constituent survey.:
","
Medicaid expansion ""could cost the Commonwealth of Virginia over $1 billion a year...""
",/factchecks/2016/jan/11/steven-landes/landes-says-medicaid-expansion-could-cost-virginia/,false,"
By Sean Gorman • January 11, 2016
"
"
Terry McAuliffe
",/personalities/terry-mcauliffe/,"
stated on December 17, 2015 in a speech.:
","
""We are taking Virginia’s investment in public education to the highest level in the commonwealth’s history.""
",/factchecks/2016/jan/11/terry-mcauliffe/mcauliffes-claim-record-school-budget-dubious/,barely-true,"
By Warren Fiske • January 11, 2016
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on January 10, 2016 in an interview with NBC's ""Meet the Press"" in Ottumwa, Iowa:
","
""We get practically nothing compared to the cost of"" keeping U.S. military forces in South Korea.
",/factchecks/2016/jan/10/donald-trump/donald-trump-mostly-wrong-we-get-practically-nothi/,barely-true,"
By Louis Jacobson • January 10, 2016
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on January 10, 2016 in Ottumwa, Iowa, on NBC's ""Meet the Press"":
","
The five Guantanamo detainees swapped for Bowe Bergdahl are ""back on the battlefield.""
 
",/factchecks/2016/jan/10/donald-trump/donald-trump-repeats-wrong-claim-prisoners-swapped/,false,"
By Lauren Carroll • January 10, 2016
"
"
Nicholas Mattiello
",/personalities/nicholas-mattiello/,"
stated on January 3, 2016 in newspaper story:
","
""Let’s start with the premise that Rhode Island already has one of the 10 strictest [gun laws] amongst all the states.""
 
",/factchecks/2016/jan/10/nicholas-mattiello/ri-among-states-strongest-gun-control-laws/,true,"
By Mark Reynolds • January 10, 2016
"
"
Scot Ross
",/personalities/scot-ross/,"
stated on December 13, 2015 in a television interview:
","
Under Scott Walker, Wisconsin ""moved from 16th to third in percentage of people with student loan debt.""
",/factchecks/2016/jan/08/scot-ross/activist-claims-wisconsin-moved-16th-third-percent/,barely-true,"
By James B. Nelson • January 8, 2016
"
"
Carly Fiorina
",/personalities/carly-fiorina/,"
stated on December 17, 2015 in a column posted on Medium:
","
""When we held recent economic dialogues with China, we agreed on over 100 different things  —  including wildlife trafficking and volcano research. None of these 100-plus points of agreement addressed cybersecurity.""
",/factchecks/2016/jan/07/carly-fiorina/carly-fiorina-says-us-didnt-address-cybersecurity-/,barely-true,"
By Louis Jacobson • January 7, 2016
"
