name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Andrew Napolitano
",/personalities/andrew-napolitano/,"
stated on June 28, 2010 in comments on the 'Glenn Beck' show:
","
""There are mechanisms in place to shut down the Internet privately.""
",/factchecks/2010/jul/06/andrew-napolitano/glenn-beck-host-says-obama-may-soon-be-able-shut-d/,half-true,"
By Lukas Pleva • July 6, 2010
"
"
Daniel Senor
",/personalities/daniel-senor/,"
stated on July 4, 2010 in ABC's 'This Week':
","
Japan's ""interest on its own debt"" is ""25 percent of its national budget""
",/factchecks/2010/jul/06/daniel-senor/senor-inflates-japans-interest-payments/,false,"
By Lukas Pleva • July 6, 2010
"
"
Jorge Ramos
",/personalities/jorge-ramos/,"
stated on July 4, 2010 in an interview on ABC's 'This Week':
","
""President Barack Obama has deported more people in his first year in office than George W. Bush in his last year in office.""
",/factchecks/2010/jul/06/jorge-ramos/obama-deported-more-people-his-first-year-bush-did/,mostly-true,"
By Louis Jacobson • July 6, 2010
"
"
Jeff Weems
",/personalities/jeff-weems/,"
stated on June 26, 2010 in a speech:
","
""I’m running against a groundhog. He saw his shadow on the primary day, and no one has seen him since.""
",/factchecks/2010/jul/06/jeff-weems/democrat-jeff-weems-says-republican-foe-has-been-o/,barely-true,"
By W. Gardner Selby • July 6, 2010
"
"
Rob Teilhet
",/personalities/rob-teilhet/,"
stated on June 5, 2010 in a candidate questionnaire:
","
Said he is the only Democratic candidate for state attorney general who has ""represented the entire state of Georgia.""
",/factchecks/2010/jul/06/rob-teilhet/did-lawmaker-cobb-represent-entire-state/,barely-true,"
By Eric Stirgus • July 6, 2010
"
"
David Barton
",/personalities/david-barton/,"
stated on June 12, 2010 in an open letter:
","
Texas state Reps. Dan Branch and Jim Pitts, lieutenants to House Speaker Joe Straus, “are helping Democrat Ellen Cohen against her Republican challenger, doing events with her in her district.”
",/factchecks/2010/jul/05/david-barton/barton-says-two-gop-house-chairs-did-events-helpin/,half-true,"
By W. Gardner Selby • July 5, 2010
 "
"
David Barton
",/personalities/david-barton/,"
stated on June 12, 2010 in an open letter:
","
Says state Rep. Jim Keffer, a GOP lieutenant to House Speaker Joe Straus, ""did mail pieces for Democrat Mark Strama to help him defeat"" a Republican.
",/factchecks/2010/jul/05/david-barton/gops-david-barton-says-republican-legislator-did-a/,mostly-true,"
By W. Gardner Selby • July 5, 2010
"
"
J.D. Hayworth
",/personalities/jd-hayworth/,"
 stated on June 14, 2010 in a campaign commerical:
","
John McCain ""began his career in Washington as a lobbyist when he was appointed in 1976 as the Navy's liaison to the United States Senate.""
",/factchecks/2010/jul/05/jd-hayworth/hayworth-claims-mccain-was-lobbyist-too-us-navy/,half-true,"
By Louis Jacobson • July 5, 2010
"
"
David Barton
",/personalities/david-barton/,"
stated on June 12, 2010 in an open letter:
","
Says Republican lieutenants to House Speaker Joe Straus “aired radio ads supporting Democrat(ic state Rep.) Mark Homer... helping the Democrat to a narrow win.”
",/factchecks/2010/jul/05/david-barton/gop-activist-says-three-republican-house-members-d/,mostly-true,"
By W. Gardner Selby • July 5, 2010
"
"
David Barton
",/personalities/david-barton/,"
stated on June 12, 2010 in an open letter:
","
""Powerful Houston Democrats Sylvia Garcia (Democrat county commissioner in Harris County) and Elyse Lanie(r) (wife of the former liberal Democrat mayor Bob Lanier) sponsored a Democrat fundraiser for Speaker (Joe) Straus with numerous Democrat officials and high-ranking union officials.""
",/factchecks/2010/jul/05/david-barton/david-barton-says-houston-democrats-teamed-raise-m/,barely-true,"
By W. Gardner Selby • July 5, 2010
"
