name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Viral image
",/personalities/viral-image/,"
stated on January 6, 2021 in a Facebook post:
","
NPR posted a story about the Capitol breach before it happened.
",/factchecks/2021/jan/12/viral-image/no-npr-didnt-write-about-capitol-breach-it-happene/,false,"
By Ciara O'Rourke • January 12, 2021
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on January 9, 2021 in a screenshot:
","
A second impeachment means Donald Trump loses his lifetime pension, travel allowance, Secret Service detail, and his ability to run for public office.
",/factchecks/2021/jan/11/facebook-posts/fact-checking-viral-post-about-impeachment-and-tru/,barely-true,"
By Daniel Funke • January 11, 2021
"
"
Viral image
",/personalities/viral-image/,"
stated on January 6, 2021 in a Facebook post:
","
Says Mike Pence changed “his Twitter banner photo to Biden and Harris.”
",/factchecks/2021/jan/11/viral-image/no-pence-didnt-change-his-twitter-photo-image-bide/,false,"
By Ciara O'Rourke • January 11, 2021
"
"
Sherrod Brown
",/personalities/sherrod-brown/,"
stated on January 8, 2021 in an interview with Ohio reporters:
","
Summer “protesters outside the White House were met with tear gas, rubber bullets, a full militarized response. While ... rioters were able to breach the Capitol.”
",/factchecks/2021/jan/11/sherrod-brown/black-lives-matter-protests-faced-more-militarized/,true,"
By Jon Greenberg • January 11, 2021
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on January 10, 2021 in a Facebook post:
","
Video shows man upset because he was added to the no-fly list for storming the Capitol.
",/factchecks/2021/jan/11/facebook-posts/no-isnt-video-capitol-rioter-upset-because-hes-no-/,false,"
By Ciara O'Rourke • January 11, 2021
"
"
Kim Reynolds
",/personalities/kim-reynolds/,"
stated on January 7, 2021 in a news conference:
","
Before COVID-19, “more Iowans (were) working than at any other time in our state history.""
",/factchecks/2021/jan/11/kim-reynolds/pre-pandemic-iowa-had-largest-workforce-state-hist/,true,"
By Sarah Watson • January 11, 2021
"
"
Bloggers
",/personalities/blog-posting/,"
stated on January 10, 2021 in a story:
","
""Trump signs Insurrection Act - General Flynn to be appointed vice president.""
",/factchecks/2021/jan/11/blog-posting/theres-no-evidence-trump-has-invoked-insurrection-/,false,"
By Samantha Putterman • January 11, 2021
"
"
Conservative Beaver
",/personalities/conservative-beaver/,"
stated on January 10, 2021 in an article:
","
Says Pope Francis “was arrested Saturday in connection with an 80-count indictment of charges including possession of child pornography, human trafficking, incest, possession of drug paraphernalia and felony fraud.”
",/factchecks/2021/jan/11/conservative-beaver/no-pope-francis-has-not-been-arrested/,pants-fire,"
By Noah Y. Kim • January 11, 2021
"
"
Viral image
",/personalities/viral-image/,"
stated on January 10, 2021 in a Facebook post:
","
Says Nancy Pelosi sent a letter to Portland’s mayor after demonstrations there “urging him to stick to the proven Democratic Play book.”
",/factchecks/2021/jan/11/viral-image/no-nancy-pelosi-didnt-send-letter-ted-wheeler/,false,"
By Ciara O'Rourke • January 11, 2021
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on January 7, 2021 in a Facebook post:
","
Says left-wing activist John Sullivan “incited (the) insurgence of (the) US Capitol.”
",/factchecks/2021/jan/09/facebook-posts/facebook-posts-wrongly-claim-left-wing-activist-an/,barely-true,"
By Bill McCarthy • January 8, 2021
"
"
Jonathan Wichmann
",/personalities/jonathan-wichmann/,"
stated on January 8, 2021 in a YouTube post:
","
“The DC looting was staged” by antifa
",/factchecks/2021/jan/08/jonathan-wichmann/no-capitol-insurrection-was-not-staged-antifa/,pants-fire,"
By Eric Litke • January 8, 2021
"
