name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Viral image
",/personalities/viral-image/,"
stated on May 15, 2019 in a Facebook post:
","
Vanilla ice cream was black until 1912, when ""white people couldn’t tolerate eating something that tasted soooooo delicious being black.""
",/factchecks/2019/may/21/viral-image/no-vanilla-ice-cream-didnt-used-be-black/,false,"
By Ciara O'Rourke • May 21, 2019
"
"
Viral image
",/personalities/viral-image/,"
stated on May 20, 2019 in a Facebook post:
","
Says a photo of a park covered in trash was left behind by ""environmentalists"" after an Earth Day celebration in California.
",/factchecks/2019/may/21/viral-image/photo-blaming-environmentalists-trashing-park-eart/,false,"
By Samantha Putterman • May 21, 2019
"
"
Levar Stoney
",/personalities/levar-stoney/,"
stated on May 14, 2019 in a radio interview.:
","
""Richmond was one of the only cities in the state that did not (increase) their real estate tax to those pre-recession rates.""
",/factchecks/2019/may/21/levar-stoney/levar-stoney-mostly-right-about-richmonds-rein-rea/,mostly-true,"
By Warren Fiske • May 21, 2019
"
"
Wayne Messam
",/personalities/wayne-messam/,"
stated on May 16, 2019 in campaign website:
","
In Florida, ""it’s illegal for mayors to even bring up gun reform for discussion.""
",/factchecks/2019/may/20/wayne-messam/fact-checking-wayne-messam-florida-law-mayors-disc/,barely-true,"
By Miriam Valverde • May 20, 2019
"
"
Amy Klobuchar
",/personalities/amy-klobuchar/,"
stated on May 8, 2019 in a Fox News town hall:
","
""We’ve had a 30% increase in suicides in this country in just 15 years.""
",/factchecks/2019/may/20/amy-klobuchar/yes-us-suicides-have-risen-30-past-decade-and-half/,true,"
By Louis Jacobson • May 20, 2019
"
"
Cory Booker
",/personalities/cory-booker/,"
stated on May 12, 2019 in an interview on ABC This Week:
","
""When Connecticut did licensing, their shootings dropped, their murders dropped 40%. Suicides dropped 15%.""
",/factchecks/2019/may/20/cory-booker/fact-checking-cory-bookers-statistic-about-connect/,mostly-true,"
By Amy Sherman • May 20, 2019
"
"
JB Pritzker
",/personalities/jb-pritzker/,"
stated on May 1, 2019 in a speech:
","
Says states with graduated income taxes ""create jobs and grow their economies faster"" than Illinois.
",/factchecks/2019/may/19/jb-pritzker/pritzkers-latest-sweeping-tax-claim-falls-flat/,half-true,"
By Kiannah Sepeda-Miller • May 19, 2019
"
"
Viral image
",/personalities/viral-image/,"
stated on May 8, 2019 in a Facebook post:
","
Says a deer became ""riddled with tumors from eating plants sprayed with Monsanto’s Roundup.""
",/factchecks/2019/may/17/viral-image/no-deer-covered-tumors-viral-photo-was-not-caused-/,false,"
By Samantha Putterman • May 17, 2019
"
"
Bob Thomas
",/personalities/bob-thomas/,"
stated on May 8, 2019:
","
In Virginia, ""the woman has the right to talk to the doctor who’s going to perform the abortion and (Democrats) wanted to strip that out.""
 
",/factchecks/2019/may/17/bob-thomas/del-bob-thomas-misstates-provision-virginia-aborti/,barely-true,"
By Warren Fiske • May 17, 2019
"
"
Viral image
",/personalities/viral-image/,"
stated on May 14, 2019 in a Facebook post:
","
There’s a ""new Netflix show to make little boys into ‘sexy’ little girls.""
",/factchecks/2019/may/17/viral-image/no-netflix-doesnt-have-show-make-little-boys-sexy-/,pants-fire,"
By Ciara O'Rourke • May 17, 2019
"
"
Dan Crenshaw
",/personalities/dan-crenshaw/,"
stated on May 6, 2019 in in a television apperance:
","
Says about 80% to 90% of people seeking asylum do not have a valid claim.
",/factchecks/2019/may/17/dan-crenshaw/are-vast-majority-asylum-claims-without-merit/,false,"
By Madlin Mekelburg • May 17, 2019
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on April 14, 2019 in a Facebook post:
","
""When you pull up to the gas pump to fill up your car, get your cell phone and search for Bluetooth devices. If a sequence of letters and numbers show up don’t pay at the pump. One of the pumps has a credit card skimmer inside of it. All of these skimmers run on bluetooth.""
",/factchecks/2019/may/17/facebook-posts/can-cell-phones-bluetooth-defeat-credit-card-skimm/,half-true,"
By Cade Moisey • May 17, 2019
"
"
Tony Evers
",/personalities/tony-evers/,"
stated on April 3, 2019 in a tweet:
","
""More than a million Wisconsinites have voted to raise their own property taxes because Republicans have failed to fully fund our public schools for the past eight years.""
",/factchecks/2019/may/17/tony-evers/tony-evers-1m-wisconsinites-voted-raise-taxes/,half-true,"
By Eric Litke • May 17, 2019
"
"
West Virginia Democratic Party
",/personalities/west-virginia-democratic-party/,"
stated on April 2, 2019 in a tweet:
","
""Black women make only around 63 cents while Native American women earn 58 cents, and Hispanic women make just 54 cents in comparison to every dollar a man makes.""
",/factchecks/2019/may/16/west-virginia-democratic-party/fact-checking-median-pay-black-hispanic-women/,mostly-true,"
By Rebecca Jerome • May 16, 2019
"
"
Viral image
",/personalities/viral-image/,"
stated on May 6, 2019 in a Facebook post:
","
""70% of Americans in poverty are white.""
 
",/factchecks/2019/may/16/viral-image/about-40-people-living-poverty-are-non-hispanic-wh/,half-true,"
By Ciara O'Rourke • May 16, 2019
"
"
Viral image
",/personalities/viral-image/,"
stated on May 8, 2019 in a Facebook post:
 ","
Says a ""Local Hero"" was ""arrested after killing 30 pedophiles in murder spree""
 
",/factchecks/2019/may/16/viral-image/no-story-about-nebraska-man-being-arrested-after-k/,pants-fire,"
By Samantha Putterman • May 16, 2019
"
"
Viral image
",/personalities/viral-image/,"
stated on May 6, 2019 in a Facebook post:
","
""In 2010, Maxine Waters steered $12 million in TARP funds to her husband’s private bank account. She was indicted but served no time.""
",/factchecks/2019/may/16/viral-image/no-maxine-waters-wasnt-indicted-steering-tarp-mone/,false,"
By Ciara O'Rourke • May 16, 2019
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on May 9, 2019 in comments delivered during a White House event on surprise medical bills:
","
""We will always protect patients with pre-existing conditions, very importantly.""
",/factchecks/2019/may/16/donald-trump/trumps-talk-preexisting-conditions-doesnt-match-hi/,false,"
By Shefali Luthra • May 16, 2019
"
"
Rick Scott
",/personalities/rick-scott/,"
stated on May 13, 2019 in a speech:
","
Says ""Nicolás Maduro is carrying out a genocide on his people.""
",/factchecks/2019/may/16/rick-scott/problem-using-word-genocide-describe-venezuela/,false,"
By Louis Jacobson • May 16, 2019
"
"
Natasha Marcus
",/personalities/natasha-marcus/,"
stated on May 8, 2019 in a speech on the Senate floor:
","
Says there’s ""no wait list"" for private school vouchers
",/factchecks/2019/may/16/natasha-marcus/nc-democrat-says-theres-no-wait-private-school-vou/,half-true,"
By Paul Specht • May 15, 2019
"
"
Tracy McCreery
",/personalities/tracy-mccreery/,"
stated on April 8, 2019 in a legislative debate:
","
""Suicide is the second-leading cause of death among 15-19 year olds and 25-34 year olds in Missouri.""
",/factchecks/2019/may/15/tracy-mccreery/suicide-second-leading-cause-death-among-missouri-/,true,"
By Gaëlle Fournier • May 15, 2019
"
"
Anthony Scaramucci
",/personalities/anthony-scaramucci/,"
stated on May 11, 2019 in an interview:
","
China’s developing country status in the World Trade Organization ""means they can tariff and embargo.""
",/factchecks/2019/may/15/anthony-scaramucci/mooch-missteps-chinas-wto-misbehavior/,half-true,"
By John Kruzel • May 15, 2019
"
"
Viral image
",/personalities/viral-image/,"
stated on May 3, 2019 in a Facebook post:
","
Says Donald Trump scored a 73 on an IQ test administered to him while in high school at New York Military Academy.
",/factchecks/2019/may/14/viral-image/social-media-post-sharing-newspaper-story-trump-ha/,pants-fire,"
By Samantha Putterman • May 14, 2019
"
"
Viral image
",/personalities/viral-image/,"
stated on May 7, 2019 in a Facebook post:
","
An app called Talking Angela asks children personal questions and takes their photo.
",/factchecks/2019/may/14/viral-image/no-talking-angela-app-isnt-secretly-taking-your-ch/,false,"
By Ciara O'Rourke • May 14, 2019
"
"
Bernie Sanders
",/personalities/bernie-sanders/,"
stated on May 10, 2019 in a tweet:
","
Says Wisconsin payday loans have a 574% average annual interest rate, ""exploitative lending that keeps Americans trapped in debt""
",/factchecks/2019/may/14/bernie-sanders/bernie-sanders-payday-loans-wisconsin/,mostly-true,"
By Eric Litke • May 14, 2019
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on May 9, 2019 in remarks at the White House:
","
Tariffs are ""paid for mostly by China, by the way, not by us.""
",/factchecks/2019/may/14/donald-trump/does-china-mostly-pay-us-tariffs-rather-us-consume/,false,"
By Louis Jacobson • May 14, 2019
"
"
Beto O'Rourke
",/personalities/beto-orourke/,"
stated on April 29, 2019 in climate change plan:
","
""Race is the No. 1 indicator for where toxic and polluting facilities are today.""
",/factchecks/2019/may/14/beto-orourke/beto-orourkes-climate-change-plan-says-race-no1-in/,mostly-true,"
By Miriam Valverde • May 14, 2019
"
"
Eric Swalwell
",/personalities/eric-swalwell/,"
stated on May 8, 2019 in posted on Twitter:
","
""The so-called ‘heartbeat’ law outlaws abortion before most women even know that they're pregnant. This is one of the most restrictive anti-abortion laws in our country."" 
",/factchecks/2019/may/13/eric-swalwell/eric-swalwells-tweet-about-georgias-new-abortion-r/,mostly-true,"
By Shefali Luthra • May 13, 2019
"
"
Kelly Cassidy
",/personalities/kelly-cassidy/,"
stated on May 4, 2019 in press conference remarks:
","
""In states that have legalized (recreational marijuana), you see steady decreases in youth use if you do it right.""

",/factchecks/2019/may/12/kelly-cassidy/cassidy-puffs-what-stats-say-about-teen-marijuana-/,barely-true,"
By Kiannah Sepeda-Miller • May 12, 2019
"
"
Greg Abbott
",/personalities/greg-abbott/,"
stated on February 5, 2019 in a speech:
","
Says he met a teacher in Dallas ""who was only in his third year of teaching and already making more than $90,000 a year in salary.""
",/factchecks/2019/may/10/greg-abbott/there-dallas-teacher-making-90k-his-third-year/,barely-true,"
By Allie Morris • May 10, 2019
"
