name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
The Patriot Report
",/personalities/patriot-report/,"
stated on January 17, 2018 in a headline:
","
Says Donald Trump is ""canceling funding for Obama’s free house and library.""
",/factchecks/2018/feb/12/patriot-report/no-trump-didnt-cancel-funding-obama-presidential-l/,pants-fire,"
By Amy Sherman • February 12, 2018
"
"
Brian Kemp
",/personalities/brian-kemp/,"
stated on February 7, 2018 in campaign website:
","
In Georgia, ""25 percent of rural residents"" are ""without access to high speed internet.""
",/factchecks/2018/feb/12/brian-kemp/does-25-percent-rural-georgia-lack-access-high-spe/,true,"
By Miriam Valverde • February 12, 2018
"
"
Jeanne Ives
",/personalities/jeanne-ives/,"
stated on February 7, 2018 in a campaign ad:
","
""Rauner made you pay for abortions in all nine months of pregnancy.""
",/factchecks/2018/feb/12/jeanne-ives/campaign-ad-falsely-claims-rauner-made-taxpayers-f/,false,"
By Kiannah Sepeda-Miller • February 12, 2018
"
"
Rand Paul
",/personalities/rand-paul/,"
stated on February 8, 2018 in a Senate floor speech:
","
""George W. Bush doubled the debt from $5 trillion to $10 trillion. President Obama doubled the debt from $10 trillion to $20 trillion. Now we're on course to exceed $30 trillion in the next seven years or so.""
",/factchecks/2018/feb/09/rand-paul/rand-paul-gets-numbers-right-speech-federal-debt/,mostly-true,"
By Louis Jacobson • February 9, 2018
"
"
National Republican Senatorial Committee
",/personalities/national-republican-senatorial-committee/,"
stated on January 31, 2018 in a digital ad:
","
""Heitkamp has voted against Trump 68 percent of time.""
",/factchecks/2018/feb/09/national-republican-senatorial-committee/misleading-nrsc-ad-heitkamp-trump-contrarian/,barely-true,"
By Manuela Tobias • February 9, 2018
"
"
Florida Education Association
",/personalities/florida-education-association/,"
stated on February 5, 2018 in a Youtube video:
","
""Richard Corcoran has a plan to divert even more of our tax dollars to unaccountable private schools.""
",/factchecks/2018/feb/09/florida-education-association/attack-house-speaker-richard-corcoran-hb-7055-need/,half-true,"
By Allison Graves • February 9, 2018
"
"
Glenn Grothman
",/personalities/glenn-grothman/,"
stated on January 15, 2018 in a public forum:
","
""The past president (Barack Obama) brought Al Sharpton into the White House something like 80 times.""
 
",/factchecks/2018/feb/09/glenn-grothman/gop-wisconsin-house-member-sharpton-visits-obama-w/,true,"
By D.L. Davis • February 9, 2018
"
"
Chapel Hill
",/personalities/university-north-carolina/,"
stated on November 3, 2017 in meeting:
","
The UNC athletic director’s $705,000 salary was ""not at market. Not even close.""
",/factchecks/2018/feb/08/university-north-carolina/705k-below-market-rate-ncaa-athletic-director/,mostly-true,"
By Paul Specht • February 8, 2018
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on February 5, 2018 in a tweet:
","
""The Democrats are pushing for Universal HealthCare while thousands of people are marching in the UK because their U system is going broke and not working.""
",/factchecks/2018/feb/08/donald-trump/donald-trump-wrongly-suggests-british-dont-love-th/,barely-true,"
By Mica Soellner • February 8, 2018
"
"
LoveThisPic.com
",/personalities/lovethispiccom/,"
stated on February 3, 2018 in a headline:
","
""Smoking in cars with children is illegal starting January 30, 2018.""
",/factchecks/2018/feb/08/lovethispiccom/no-law-banned-smoking-cars-children-effective-jan-/,false,"
By Amy Sherman • February 8, 2018
"
"
Bloggers
",/personalities/blog-posting/,"
stated on February 6, 2018 in a headline:
","
""Just in: 45 states just banned Sharia law""
",/factchecks/2018/feb/08/blog-posting/no-majority-states-did-not-ban-sharia-law/,pants-fire,"
By Amy Sherman • February 8, 2018
"
"
Travis Allen
",/personalities/travis-allen/,"
stated on February 1, 2018 in an interview on Capital Public Radio:
","
""Californians are overwhelmingly against this concept of the illegal sanctuary state.""
",/factchecks/2018/feb/07/travis-allen/travis-allen-repeats-false-claim-californians-over/,false,"
By Chris Nichols • February 7, 2018
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on January 30, 2018 in State of the Union address:
","
Many gang members have taken advantage of ""glaring loopholes and our laws to enter the country as illegal, unaccompanied, alien minors.""
",/factchecks/2018/feb/07/donald-trump/immigration-ms-13-and-crime-facts-behind-donald-tr/,half-true,"
By Miriam Valverde • February 7, 2018
"
"
Bill Nelson
",/personalities/bill-nelson/,"
stated on February 2, 2018 in a tweet:
","
""Violent crime in Puerto Rico is on the rise as nearly one-third of the island remains without power.""
",/factchecks/2018/feb/07/bill-nelson/fact-checking-statistics-about-puerto-ricos-storm-/,half-true,"
By Allison Graves • February 7, 2018
"
"
Bloggers
",/personalities/blog-posting/,"
stated on February 2, 2018 in a headline:
","
""First NFL team declares bankruptcy over kneeling thugs.""
",/factchecks/2018/feb/07/blog-posting/no-jaguars-nfl-team-didnt-declare-bankruptcy-after/,pants-fire,"
By Amy Sherman • February 7, 2018
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on February 5, 2018 in a speech near Cincinnati:
","
At the State of the Union address, Democrats, ""even on positive news … were like death and un-American. Un-American. Somebody said, ‘treasonous.’ I mean, yeah, I guess, why not? Can we call that treason? Why not?""
",/factchecks/2018/feb/06/donald-trump/donald-trumps-pants-fire-claim-about-treason/,pants-fire,"
By Louis Jacobson • February 6, 2018
"
"
 Tweets
",/personalities/tweets/,"
stated on February 5, 2018 in a tweet attributed to @realdonaldtrump:
","
""If the Dow Joans ever falls more than 1000 ‘points’ in a Single Day the sitting president should be 'loaded' into a very big cannon and Shot into the sun at TREMENDOUS SPEED! No excuses!""
",/factchecks/2018/feb/06/tweets/fake-trump-tweet-about-dow-joans-dropping-called-t/,pants-fire,"
By Amy Sherman • February 6, 2018
"
"
Say Anything Blog
",/personalities/say-anything-blog/,"
stated on January 29, 2018 in a blog post:
","
""Heitkamp High-Fives Schumer After Voting Against 20-Week Abortion Ban.""
",/factchecks/2018/feb/06/say-anything-blog/heitkamp-didnt-high-five-schumer-abortion/,false,"
By Manuela Tobias • February 6, 2018
"
"
Ohio Democratic Party
",/personalities/ohio-democratic-party/,"
stated on January 4, 2018 in a press release:
","
Says Mike DeWine ""interfered with and stifled"" a sexual harassment investigation and then ""eliminated the office that investigated harassment claims within the AG’s office.""
",/factchecks/2018/feb/06/ohio-democratic-party/ohio-democrats-lack-proof-ag-mike-dewine-stifled-s/,barely-true,"
By Amy Sherman • February 6, 2018
"
"
Chris Kennedy
",/personalities/chris-kennedy/,"
stated on January 16, 2018 in an interview with the Chicago Sun-Times:
","
""There was no requirement to put in affordable housing.""
",/factchecks/2018/feb/06/chris-kennedy/did-chris-kennedy-need-add-affordable-housing-his-/,true,"
By Kiannah Sepeda-Miller • February 6, 2018
"
"
Scott Walker
",/personalities/scott-walker/,"
stated on January 24, 2018 in a speech:
","
""We invested"" in our transportation system ""$24 billion over eight years. That’s $3 billion more than what former Governor Jim Doyle spent on transportation over the same period of time.""
",/factchecks/2018/feb/06/scott-walker/why-scott-walker-real-terms-has-spent-less-transpo/,barely-true,"
By Tom Kertscher • February 6, 2018
"
"
Devin Nunes
",/personalities/devin-nunes/,"
stated on February 2, 2018 in a staff-written memo from the House Intelligence Committee:
","
Says the Steele dossier ""was—according to (James Comey's) June 2017 testimony—'salacious and unverified.' ""
",/factchecks/2018/feb/05/devin-nunes/nunes-memo-twists-james-comeys-words-steele-dossie/,half-true,"
By Louis Jacobson • February 5, 2018
"
"
Phil Ting
",/personalities/phil-ting/,"
stated on January 21, 2018 in a newspaper article:
","
""Trump’s tax reform plan was nothing more than a middle-class tax increase.""
",/factchecks/2018/feb/05/phil-ting/false-claim-gop-tax-plan-nothing-more-middle-class/,false,"
By Chris Nichols • February 5, 2018
"
"
Americanproud.info
",/personalities/americanproudinfo/,"
stated on January 22, 2018 in a headline:
","
Says that singer Dolly Parton said, ""Trump in one year is already better than 16 years of Bush, Obama put together.""
",/factchecks/2018/feb/05/americanproudinfo/no-dolly-parton-didnt-say-trump-better-bush-and-ob/,pants-fire,"
By Amy Sherman • February 5, 2018
"
"
Trey Blocker
",/personalities/trey-blocker/,"
stated on January 24, 2018 in a commentary in the Odessa American:
","
Says the Texas Department of Agriculture didn’t notify over 700 Texas students about a computer hack releasing critical personal information including Social Security numbers until 32 days after the breach.
 
",/factchecks/2018/feb/05/trey-blocker/challenger-says-sid-miller-was-slow-reveal-compute/,barely-true,"
By W. Gardner Selby • February 5, 2018
"
"
Stacey Evans
",/personalities/stacey-evans/,"
stated on January 26, 2018 in campaign website:
","
Georgia ""has the lowest minimum wage in the country.""
",/factchecks/2018/feb/05/stacey-evans/does-georgia-have-lowest-minimum-wage-country/,mostly-true,"
By Miriam Valverde • February 5, 2018
"
"
Ann Coulter
",/personalities/ann-coulter/,"
stated on January 30, 2018 in a tweet:
","
""100% of heroin/fentanyl epidemic is because we don't have a WALL.""
",/factchecks/2018/feb/02/ann-coulter/would-wall-have-prevented-opioid-epidemic/,pants-fire,"
By Paul Specht • February 2, 2018
"
