name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Bloggers
",/personalities/blog-posting/,"
stated on January 2, 2017 in a headline:
","
Says ""Justice Ruth Bader Ginsburg is resigning from the post of associate justice of the Supreme Court.""
",/factchecks/2017/jan/13/blog-posting/supreme-courts-ginsburg-not-retiring-despite-what-/,pants-fire,"
By Joshua Gillin • January 13, 2017
"
"
Scott Walker
",/personalities/scott-walker/,"
stated on January 10, 2017 in In a speech:
","
Wisconsin property taxes, as a percentage of personal income, ""are the lowest that they've been since the end of World War II.""
",/factchecks/2017/jan/13/scott-walker/scott-walker-says-wisconsin-property-taxes-percent/,true,"
By Tom Kertscher • January 13, 2017
"
"
Keith Ellison
",/personalities/keith-ellison/,"
stated on January 5, 2017 in a tweet:
","
""House GOP rules package bars CBO from counting spikes in deficit spending spurred by an ACA repeal.""
",/factchecks/2017/jan/12/keith-ellison/keith-ellison-wrong-cbo-cant-analyze-cost-obamacar/,false,"
By Louis Jacobson • January 12, 2017
"
"
Rex Tillerson
",/personalities/rex-tillerson/,"
stated on January 11, 2017 in a Senate confirmation hearing:
","
""I have never lobbied against sanctions personally... to my knowledge, Exxon never directly lobbied against sanctions.
 
",/factchecks/2017/jan/12/rex-tillerson/tillerson-misleads-russian-sanctions-opposition/,barely-true,"
By Jon Greenberg • January 12, 2017
"
"
The Other 98%
",/personalities/other-98/,"
stated on January 9, 2017 in a viral image:
","
""The same 3 senators who have spent the last 3 years s------- themselves over ‘Benghazi!’ just introduced a bill to reduce embassy security by 50 percent.""
",/factchecks/2017/jan/12/other-98/meme-exaggerates-gop-senators-bill-embassy-move/,barely-true,"
By Louis Jacobson • January 12, 2017
"
"
Robert Astorino
",/personalities/robert-astorino/,"
stated on January 10, 2017 in a press release:
","
""I have never once raised the county tax levy -- not for seven straight years.""
",/factchecks/2017/jan/11/robert-astorino/astorino-has-not-raised-tax-levy-westchester-count/,true,"
By Dan Clark • January 11, 2017
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on January 11, 2017 in a press conference:
","
Americans don't ""care at all"" about Donald Trump's tax returns.
",/factchecks/2017/jan/11/donald-trump/trump-wrong-reporters-are-only-ones-who-care-about/,false,"
By Joshua Gillin • January 11, 2017
"
"
Nick Seymour
",/personalities/nick-seymour/,"
stated on January 7, 2017 in an op-ed:
","
Tuberculosis recently passed ""HIV/AIDS as the leading infectious killer globally.""
 
",/factchecks/2017/jan/11/nick-seymour/tuberculosis-might-top-hivaids-deadliest-infectiou/,half-true,"
By Jon Greenberg • January 11, 2017
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on January 11, 2017 in a press conference at Trump Tower:
","
The Russians ""tried to hack the Republican National Committee, and they were unable to break through."" 
",/factchecks/2017/jan/11/donald-trump/trump-says-russians-were-unable-hack-republican-na/,mostly-true,"
By Lauren Carroll • January 11, 2017
"
"
Bloggers
",/personalities/blog-posting/,"
stated on December 21, 2016 in a headline:
","
""Chinese restaurant in Coral Springs, Fla., busted for selling dog meat to VIP customers.""
",/factchecks/2017/jan/11/blog-posting/fake-news-theres-no-chinese-restaurant-selling-dog/,pants-fire,"
By Joshua Gillin • January 11, 2017
"
"
Reince Priebus
",/personalities/reince-priebus/,"
stated on January 8, 2017 in an interview:
","
Says Hillary Clinton campaign chairman John Podesta’s email password was ""password.""
",/factchecks/2017/jan/11/reince-priebus/russian-hacking-case-did-hillary-clintons-campaign/,false,"
By Tom Kertscher • January 11, 2017
"
"
Richard Durbin
",/personalities/richard-durbin/,"
stated on January 10, 2017 in Sessions' Senate confirmation hearing for attorney general:
","
Of Sen. Jeff Sessions, ""you've objected to immigrants volunteering to serve in our armed forces, saying, 'In terms of who's going to be most likely to be a spy, somebody from Cullman, Ala., or somebody from Kenya?'""
",/factchecks/2017/jan/10/richard-durbin/durbin-says-sessions-objected-immigrants-armed-for/,mostly-true,"
By Miriam Valverde • January 10, 2017
"
"
Dawnna Dukes
",/personalities/dawnna-dukes/,"
stated on January 10, 2017 in the Texas House:
","
On resigning her Texas House seat.
",/factchecks/2017/jan/10/dawnna-dukes/full-flop-dawnna-dukes-sworn-after-vowing-resign-h/,full-flop,"
By W. Gardner Selby • January 10, 2017
"
"
Mitch McConnell
",/personalities/mitch-mcconnell/,"
stated on January 9, 2017 in an op-ed on FoxNews.com:
","
""About 8 out of 10 favor changing Obamacare significantly or replacing it altogether.""
",/factchecks/2017/jan/10/mitch-mcconnell/mitch-mcconnell-says-favor-changing-Obamacare/,mostly-true,"
By Louis Jacobson • January 10, 2017
"
"
Charles Schumer
",/personalities/charles-schumer/,"
stated on January 3, 2017 in an interview on MSNBC:
","
Says Donald Trump campaigned on not cutting Medicare and Social Security, but his nominee for the Secretary of Health and Human Services, Tom Price, ""made his career on cutting Medicare and Medicaid.""
",/factchecks/2017/jan/10/charles-schumer/schumer-trump-and-his-hhs-pick-tom-price-odds-medi/,mostly-true,"
By Linda Qiu • January 10, 2017
"
"
Bloggers
",/personalities/blog-posting/,"
stated on January 4, 2017 in a blog post:
","
Says Donald Trump warned outgoing Ghana President against last-minute job appointments.
",/factchecks/2017/jan/10/blog-posting/no-trump-never-called-departing-ghanaian-president/,pants-fire,"
By Jon Greenberg • January 10, 2017
"
"
Bloggers
",/personalities/blog-posting/,"
stated on January 9, 2017 in Internet posts:
","
Say first grandma Marian Robinson will get a $160,000 annual pension for life when President Barack Obama leaves office.
",/factchecks/2017/jan/10/blog-posting/fake-news-first-grandma-marian-robinson-not-gettin/,pants-fire,"
By Joshua Gillin • January 10, 2017
"
"
Andrew Cuomo
",/personalities/andrew-cuomo/,"
stated on January 9, 2017 in a State of the State speech in New York City:
","
""More college graduates are living at home than in decades.""
",/factchecks/2017/jan/09/andrew-cuomo/more-college-graduates-living-home-decades/,true,"
By Dan Clark • January 9, 2017
"
"
Mike Pence
",/personalities/mike-pence/,"
stated on January 4, 2017 in comments to reporters on Capitol Hill:
","
Under Obamacare, ""American families have seen an increase in premiums of $5,000.""
",/factchecks/2017/jan/09/mike-pence/mike-pence-says-under-obamacare-american-families-/,half-true,"
By Louis Jacobson • January 9, 2017
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on January 6, 2017 in a statement released by the transition office:
","
Activities by foreign governments had ""absolutely no effect on the outcome of this election.""
",/factchecks/2017/jan/08/donald-trump/donald-trumps-dubious-claim-foreign-governments-ha/,barely-true,"
By Louis Jacobson • January 8, 2017
"
"
Cory Booker
",/personalities/cory-booker/,"
stated on January 8, 2017 in an interview on 'Face the Nation':
","
""In 2009, Mitch McConnell was the person that’s saying, 'Hey, we should get all the ethics information in before we do the hearings.' ""
",/factchecks/2017/jan/08/cory-booker/booker-mcconnell-full-ethics-review-obama-nominees/,mostly-true,"
By Linda Qiu • January 8, 2017
"
"
Dan Patrick
",/personalities/dan-patrick/,"
stated on January 5, 2017 in remarks to reporters supporting legislation related to bathroom access:
","
""Martin Luther King said our lives begin to end the day we become silent on things that matter.""
",/factchecks/2017/jan/06/dan-patrick/half-true-dan-patrick-martin-luther-king-saying-li/,half-true,"
By W. Gardner Selby • January 6, 2017
"
"
Bloggers
",/personalities/blog-posting/,"
stated on January 5, 2017 in an Internet post:
","
Says a celebrity praises locals for their help after an automotive breakdown.
",/factchecks/2017/jan/06/blog-posting/celebrity-praise-helpful-locals-are-fake-stories-c/,pants-fire,"
By Joshua Gillin • January 6, 2017
"
"
Brahma Chellaney
",/personalities/brahma-chellaney/,"
stated on December 28, 2016 in a website op-ed:
","
""Asia ... has less freshwater per capita than any other continent, except Antarctica.""
 
",/factchecks/2017/jan/06/brahma-chellaney/yes-asia-most-water-strapped-continent/,mostly-true,"
By Jon Greenberg • January 6, 2017
"
"
Jesse Watters
",/personalities/jesse-watters/,"
stated on January 4, 2017 in an episode of Fox News' ""Outnumbered"":
","
Says John Podesta’s email password was ""password."" 
",/factchecks/2017/jan/06/jesse-watters/claim-john-podestas-email-password-was-password-la/,false,"
By Lauren Carroll • January 6, 2017
"
"
Bloggers
",/personalities/blog-posting/,"
stated on November 25, 2016 in a blog post:
","
Says Vicks VapoRub caused a child’s death.
",/factchecks/2017/jan/06/blog-posting/parenting-blog-falsely-claims-vicks-vaporub-was-fa/,false,"
By Jon Greenberg • January 6, 2017
"
"
Scott Walker
",/personalities/scott-walker/,"
stated on December 23, 2016 in an interview:
","
""We don't get any of that information"" from the federal government on who refugees are, where they come from and how long they are likely to stay.
",/factchecks/2017/jan/06/scott-walker/federal-government-doesnt-give-information-syrian-/,barely-true,"
By Tom Kertscher • January 6, 2017
"
"
Nicholas Langworthy
",/personalities/nicholas-langworthy/,"
stated on December 14, 2016 in a WBFO article:
","
""Donald Trump performed better than any presidential nominee since Gerald Ford.""
",/factchecks/2017/jan/06/nicholas-langworthy/trump-performed-best-erie-county-reagan/,false,"
By Dan Clark • January 6, 2017
"
"
Aaron DeGroot
",/personalities/aaron-degroot/,"
stated on December 2, 2016 in a tweet :
","
Says Kate Cloonen ""needs that extra $68,000"" lawmaker salary on top of the ""$8.5 million in state contracts for her construction company.""
",/factchecks/2017/jan/06/aaron-degroot/illinois-gop-press-secretary-makes-8-million-twitt/,half-true,"
By Marc Filippino • January 5, 2017
"
"
Andrew Cuomo
",/personalities/andrew-cuomo/,"
stated on January 3, 2017 in an announcement:
","
In New York, ""Average college debt - $30,000 per student.""
",/factchecks/2017/jan/05/andrew-cuomo/college-graduates-new-york-owe-about-30000-average/,true,"
By Dan Clark • January 5, 2017
"
