name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Rush Limbaugh
",/personalities/rush-limbaugh/,"
stated on January 6, 2014 in comments on his radio show:
","
Says the media created the term ""polar vortex"" and the cold air proves ""the ice isn’t melting.""
",/factchecks/2014/jan/08/rush-limbaugh/limbaugh-polar-vortex-made-yet-still-proof-ice-cap/,pants-fire,"
By Katie Sanders • January 8, 2014
"
"
Wendy Davis
",/personalities/wendy-davis/,"
stated on December 30, 2013 in a press release:
","

Payday lenders profit ""from the poor by charging 1,000-plus"" percent ""interest.""
",/factchecks/2014/jan/08/wendy-davis/certain-payday-loans-had-effective-interest-rates-/,half-true,"
By W. Gardner Selby • January 8, 2014
"
"
Gene Sperling
",/personalities/gene-sperling/,"
stated on January 5, 2014 in an interview on CNN's ""State of the Union"":
","
""Our economy still has three people looking for every job (opening).""
",/factchecks/2014/jan/07/gene-sperling/there-are-3-unemployed-people-every-job-opening-ob/,true,"
By Julie Kliegman • January 7, 2014
"
"
Eddie Lucio, Jr.
",/personalities/eddie-lucio-jr/,"
stated on November 18, 2013 in remarks at Southern Obesity Summit:
","
Nearly 40 percent of his McAllen-area constituents suffer from obesity.
",/factchecks/2014/jan/07/eddie-lucio-jr/surveys-find-mcallen-region-most-obese-among-large/,true,"
By Sue Owen • January 7, 2014
"
"
Tweets
",/personalities/tweets/,"
stated on January 7, 2014 in posts on Twitter:
","
It’s warmer on Mars than it is in parts of the United States and Canada during the polar vortex.
",/factchecks/2014/jan/07/tweets/its-colder-us-mars-twitterverse-says/,barely-true,"
By Julie Kliegman • January 7, 2014
"
"
Ian Bremmer
",/personalities/ian-bremmer/,"
stated on January 4, 2014 in a tweet:
","
""US: Change in Income, 2009-13. Top 1%: +31.4%. Bottom 99%: +0.4%.""
",/factchecks/2014/jan/07/ian-bremmer/ian-bremmer-says-top-1-percent-saw-incomes-go-34-p/,mostly-true,"
By Louis Jacobson • January 7, 2014
"
"
Glenn Greenwald
",/personalities/glenn-greenwald/,"
stated on January 2, 2014 in a broadcast of CNN's ""The Lead"":
","
 ""Under the Espionage Act, (Edward Snowden would not be) allowed to come into court and say ‘I was justified in disclosing this information.’ There is no whistleblower exception in the Espionage Act.""
",/factchecks/2014/jan/07/glenn-greenwald/greenwald-nsa-leaker-snowden-has-no-whistleblower-/,mostly-true,"
By Jon Greenberg • January 7, 2014
"
"
Gus Bilirakis
",/personalities/gus-bilirakis/,"
stated on January 2, 2014 in a Bay News 9 interview:
","
Under a proposed bill, a $100,000 home’s flood insurance premium would be ""maybe $200 or $300 annually.""
",/factchecks/2014/jan/07/gus-bilirakis/gus-bilirakis-says-his-flood-insurance-bill-would-/,false,"
By Joshua Gillin • January 7, 2014
"
"
Johnny Isakson
",/personalities/johnny-isakson/,"
stated on December 4, 2013 in a speech:
","
Fifty-three percent of graduates from liberal arts colleges these days can’t find jobs.
",/factchecks/2014/jan/07/johnny-isakson/isakson-doesnt-make-grade-his-claim-about-college-/,false,"
By Nancy Badertscher • January 7, 2014
"
"
Jonathan Harris
",/personalities/jonathan-harris/,"
stated on December 24, 2013 in a newspaper commentary:
","
""You don’t see Norway losing population, and its taxes are astronomical.""
",/factchecks/2014/jan/07/jonathan-harris/ri-sierra-club-official-says-despite-its-astronomi/,mostly-true,"
By John Hill • January 7, 2014
"
"
Marco Rubio
",/personalities/marco-rubio/,"
stated on January 6, 2014 in a video:
","
""In my home state, nearly one in five Floridians live in poverty.""
",/factchecks/2014/jan/06/marco-rubio/marco-rubio-says-nearly-one-five-floridians-live-p/,mostly-true,"
By Amy Sherman • January 6, 2014
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on December 29, 2013 in a Facebook post:
","
The No. 2 owner of Fox News is Prince Alwaleed bin Talal, who said, ""A strong American Government is not good for us.""
",/factchecks/2014/jan/06/facebook-posts/facebook-group-no-2-owner-fox-news-prince-alwaleed/,barely-true,"
By Katie Sanders • January 6, 2014
"
"
Kathleen Peters
",/personalities/kathleen-peters/,"
stated on December 19, 2013 in comments during a press conference:
","
Says David Jolly lobbied ""for government-run health care just last year.""
",/factchecks/2014/jan/06/kathleen-peters/kathleen-peters-says-david-jolly-was-lobbying-gove/,false,"
By Joshua Gillin • January 6, 2014
"
"
Mitt Romney
",/personalities/mitt-romney/,"
stated on January 5, 2014 in comments on Fox's ""Fox News Sunday"":
","
The federal health care law tells ""the American people precisely what type of coverage they have to have.""
",/factchecks/2014/jan/05/mitt-romney/mitt-romney-obamacare-tells-people-precisely-what-/,half-true,"
By Steve Contorno • January 5, 2014
"
"
Gene Sperling
",/personalities/gene-sperling/,"
stated on January 5, 2014 in an interview on NBC's ""Meet the Press"":
","
The Obama administration offered ""no magic number"" of people that needed to sign up for health care on the marketplaces.
",/factchecks/2014/jan/05/gene-sperling/obama-economic-adviser-gene-sperling-says-theres-n/,barely-true,"
By Katie Sanders • January 5, 2014
"
