name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Glenna Hodge
",/personalities/glenna-hodge/,"
stated on July 20, 2017 in testimony before a Texas Senate committee:
","
""Schools in Austin Independent School District are teaching children as young as 4 years old that their gender is fluid – that they’re not a boy or a girl and they can choose whichever gender they want.""
",/factchecks/2017/sep/08/glenna-hodge/mostly-false-austin-children-taught-gender-fluid-s/,barely-true,"
By W. Gardner Selby • September 8, 2017
"
"
American Israel Public Affairs Committee
",/personalities/american-israel-public-affairs-committee/,"
stated on August 3, 2017 in an email blast to supporters:
","
Sen. Kirsten Gillibrand ""no longer supports the fight to combat the international delegitimization of Israel.""
",/factchecks/2017/sep/08/american-israel-public-affairs-committee/gillibrand-still-opposes-boycott-israel-despite-fl/,false,"
By Dan Clark • September 8, 2017
"
"
Al Franken
",/personalities/al-franken/,"
stated on September 5, 2017 in an interview:
","
""President (Ronald) Reagan did a similar thing. George H.W. Bush did a similar order"" as former President Barack Obama’s Deferred Action for Childhood Arrivals, or DACA.
",/factchecks/2017/sep/08/al-franken/did-reagan-and-hw-bush-issue-orders-similar-daca-a/,mostly-true,"
By John Kruzel • September 8, 2017
"
"
Bloggers
",/personalities/blog-posting/,"
stated on September 2, 2017 in an article on an unreliable website:
","
""30,000 scientists have come forward confirming that man-made climate change is a hoax perpetuated by the elite in order to make money.""
",/factchecks/2017/sep/08/blog-posting/no-30000-scientists-have-not-said-climate-change-h/,pants-fire,"
By Jon Greenberg • September 8, 2017
"
"
Babylon Bee
",/personalities/babylon-bee/,"
stated on May 24, 2017 in a web post:
","
""ISIS Lays Down Arms After Katy Perry’s Impassioned Plea To ‘Like, Just Co-Exist’""
",/factchecks/2017/sep/08/babylon-bee/no-isis-didnt-lay-down-its-arms-after-katy-perry-e/,pants-fire,"
By Louis Jacobson • September 8, 2017
"
"
Republican Party of Wisconsin
",/personalities/republican-party-wisconsin/,"
stated on August 21, 2017 in a digital ad:
","
Says Tony Evers ""allowed a middle-school teacher found guilty of spreading pornographic material at school to keep teaching students.""
 
",/factchecks/2017/sep/08/republican-party-wisconsin/wisconsin-gop-mostly-misfires-attack-governor-cand/,barely-true,"
By Tom Kertscher • September 8, 2017
"
"
Bloggers
",/personalities/blog-posting/,"
stated on September 5, 2017 in an Internet post:
","
""Computer models show Irma destroying New York City on Sept. 10.""
",/factchecks/2017/sep/07/blog-posting/no-irma-isnt-predicted-destroy-new-york-city/,pants-fire,"
By Manuela Tobias • September 7, 2017
"
"
Adam Putnam
",/personalities/adam-putnam/,"
stated on August 12, 2017 in a Republican party meeting in Orlando:
","
""We're still doing dumb things like telling the parent of an 11-year-old that it's against the law for them to tell their parents what they were tested on ... That will end when I'm governor.""
",/factchecks/2017/sep/07/adam-putnam/putnam-wrongly-says-its-against-law-students-talk-/,barely-true,"
By Allison Graves • September 7, 2017
"
"
Rick Santorum
",/personalities/rick-santorum/,"
stated on September 3, 2017 in a CNN interview:
","
""We have over a million (legal immigrants) a year, more than at any time in the history of this country. We have the largest percentage of immigrants, almost tied now with the historical high as a percentage of immigrants living in this country.""
",/factchecks/2017/sep/06/rick-santorum/has-legal-immigration-hit-record-high-rick-santoru/,half-true,"
By Manuela Tobias • September 6, 2017
"
"
Sid Miller
",/personalities/sid-miller/,"
stated on August 23, 2017 in an interview on Spectrum Cable's ""Capital Tonight"":
","
Says a poll showed 70 percent to 75 percent of people want to see Confederate statues ""remain up and not taken down.""
",/factchecks/2017/sep/06/sid-miller/sid-miller-poll-shows-70-percent-75-percent-americ/,half-true,"
By W. Gardner Selby • September 6, 2017
"
"
OurLandOfTheFree.com
 ",/personalities/ourlandofthefreecom/,"
stated on August 30, 2017 in a blog post:
","
The Clinton Foundation is sending water to Houston ""for $7 a bottle.""
",/factchecks/2017/sep/06/ourlandofthefreecom/no-clinton-foundation-not-charging-7-water-bottle-/,pants-fire,"
By Miriam Valverde • September 6, 2017
"
"
Jeff Denham
",/personalities/jeff-denham/,"
stated on September 5, 2017 in an interview on NPR:
","
Says Barack Obama, Chuck Schumer and Hillary Clinton ""all voted for"" a border wall as senators.
",/factchecks/2017/sep/06/jeff-denham/jeff-denhams-half-true-claim-top-democrats-support/,half-true,"
By Chris Nichols • September 6, 2017
"
"
Bloggers
",/personalities/blog-posting/,"
stated on September 6, 2017 in a web post:
","
""Hurricane Irma could be a Category 6 by the time it hits East Coast.""
",/factchecks/2017/sep/06/blog-posting/no-hurricane-irma-cant-be-category-6-storm/,pants-fire,"
By Louis Jacobson • September 6, 2017
"
"
Bloggers
",/personalities/blog-posting/,"
stated on September 3, 2017 in a blog post:
","
Says Lady Gaga was arrested after a confrontation with First Lady Melania Trump.
",/factchecks/2017/sep/06/blog-posting/no-lady-gaga-was-not-arrested-criticizing-melania-/,pants-fire,"
By John Kruzel • September 6, 2017
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on September 3, 2017 in an op-ed in the Milwaukee Journal Sentinel:
","
""In 1986, President Ronald Reagan"" cut the business tax rate to 34 percent and ""it worked -- our economy boomed, the middle class thrived and median family income increased.""
 
",/factchecks/2017/sep/06/donald-trump/milwaukee-op-ed-donald-trump-overstates-economic-i/,barely-true,"
By Tom Kertscher • September 6, 2017
"
"
Sean Duffy
",/personalities/sean-duffy/,"
stated on July 20, 2017 in a TV interview:
","
""We're flying 1987 planes with 1987 technology.""
",/factchecks/2017/sep/06/sean-duffy/testing-sean-duffy-claim-were-flying-1987-planes-1/,half-true,"
By Alan Hovorka • September 6, 2017
"
"
Jeff Sessions
",/personalities/jeff-sessions/,"
stated on September 5, 2017 in remarks at the Justice Department:
","
Says President Barack Obama’s policy known as DACA ""contributed to a surge of minors at the southern border.""
",/factchecks/2017/sep/05/jeff-sessions/jeff-sessions-questionable-claim-daca-helped-cause/,barely-true,"
By Louis Jacobson • September 5, 2017
"
"
Senate Leadership Fund
",/personalities/senate-leadership-fund/,"
stated on August 2, 2017 in an ad:
","
In addition to his compensation as a judge, ""Roy Moore and his wife (paid themselves) over $1 million from a charity they ran.""
",/factchecks/2017/sep/05/senate-leadership-fund/did-roy-moore-take-1-million-charity-he-ran/,mostly-true,"
By John Kruzel • September 5, 2017
"
"
Bruce Rauner
",/personalities/bruce-rauner/,"
stated on August 28, 2017 in a bill signing event:
","
""My grandparents were proud immigrants to the United States of America, here to Illinois in the late 1800s. My grandparents did not speak English when they were young.""
",/factchecks/2017/sep/05/bruce-rauner/rauner-trims-twists-branches-his-family-tree-immig/,pants-fire,"
By Matt Dietrich • September 5, 2017
"
"
Bloggers
",/personalities/blog-posting/,"
stated on August 31, 2017 in a Facebook post:
","
Hurricane Irma is ""predicted to come through Mexico, hit us and everything in between up to Houston.""
",/factchecks/2017/sep/01/blog-posting/map-showing-hurricane-irma-path-hit-houston-fake-n/,pants-fire,"
By Manuela Tobias • September 1, 2017
"
"
Bloggers
",/personalities/blog-posting/,"
stated on September 1, 2017 in Internet posts:
","
""Navy destroyer strikes a building in downtown Houston.""
",/factchecks/2017/sep/01/blog-posting/internet-rumor-about-navy-destroyer-hitting-housto/,pants-fire,"
By Joshua Gillin • September 1, 2017
"
"
Bloggers
",/personalities/blog-posting/,"
stated on August 30, 2017 in in a blog post:
","
Says Manny Pacquiao, Usain Bolt and Princes William and Harry have donated tens of millions of dollars to Hurricane Harvey victims.
",/factchecks/2017/sep/01/blog-posting/celebrity-donations-tens-millions-dollars-harvey-v/,pants-fire,"
By Manuela Tobias • September 1, 2017
"
"
Martina White
",/personalities/martina-white/,"
stated on August 31, 2017 in In a statement to the Northeast Times:
","
""It is shocking to me that Police Commissioner Richard Ross and Mayor Jim Kenney allowed this illegal occupation to go on for hours without taking any action to enforce the law…""
",/factchecks/2017/sep/01/martina-white/why-black-lives-matter-protest-outside-philly-poli/,false,"
By Mark Dent • September 1, 2017
"
"
Paul Ryan
",/personalities/paul-ryan/,"
stated on August 21, 2017 in a town hall:
","
Says Aaron Rodgers ""is not the highest tax rate payer"" in Wisconsin, it's ""the single mom getting 24 grand in benefits with two kids who will lose 80 cents on the dollar if she goes and takes a job.""
 
",/factchecks/2017/sep/01/paul-ryan/paul-ryan-says-single-mom-who-takes-job-not-packer/,barely-true,"
By Tom Kertscher • September 1, 2017
"
"
Bloggers
",/personalities/blog-posting/,"
stated on August 29, 2017 in Internet posts:
","
Says video shows Mike Pence quoting the Bible as justification for ""Congress not to fund Katrina relief effort.""
",/factchecks/2017/aug/31/blog-posting/mike-pence-cited-bible-oppose-katrina-relief-liber/,pants-fire,"
By Joshua Gillin • August 31, 2017
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on August 28, 2017 in a press conference:
","
""We stopped traffic coming through -- 78 percent.""
",/factchecks/2017/aug/31/donald-trump/donald-trump-repeats-false-claim-about-border-stop/,false,"
By Miriam Valverde • August 31, 2017
"
"
Ted Cruz
",/personalities/ted-cruz/,"
stated on August 28, 2017 in an MSNBC interview:
","
""Two-thirds of the (Hurricane Sandy relief) bill had nothing to do with Sandy.""
",/factchecks/2017/aug/30/ted-cruz/ted-cruzs-mostly-false-claim-two-thirds-sandy-reli/,barely-true,"
By Jon Greenberg • August 30, 2017
"
"
HoustonChronicle-tv.com
",/personalities/houstonchronicle-tvcom/,"
stated on August 29, 2017 in an Internet post:
","
""Floyd Mayweather Jr. donates a whopping sum of money to Houston after hurricane.""
",/factchecks/2017/aug/30/houstonchronicle-tvcom/its-fake-news-floyd-mayweather-jr-donated-200-mill/,pants-fire,"
By Joshua Gillin • August 30, 2017
"
"
Brian Kemp
",/personalities/brian-kemp/,"
stated on August 23, 2017 in a campaign email:
","
""Our conservative Georgia values are under attack"" ... (People) are ""calling for the removal of George Washington and Thomas Jefferson statues.""
",/factchecks/2017/aug/30/brian-kemp/calls-take-down-washington-and-jefferson-statues/,half-true,"
By Jon Greenberg • August 30, 2017
"
"
Matt Gaetz
",/personalities/matt-gaetz/,"
stated on August 18, 2017 in a newsletter:
","
""As of 2014, illegal aliens made up roughly 3.5 percent of our population, and committed over 10 percent of all murders.""
",/factchecks/2017/aug/30/matt-gaetz/gaetz-misleads-claim-about-immigrants-crime/,barely-true,"
By Miriam Valverde • August 30, 2017
"
