name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Facebook posts
",/personalities/facebook-posts/,"
stated on May 2, 2021 in a Facebook post:
","
Says Kentucky Derby jockey John Velazquez turned down an invitation to the White House and said, “if I wanted to see a horse’s ass I would of came in second.”
",/factchecks/2021/may/03/facebook-posts/no-john-velazquez-didnt-call-joe-biden-horses-ass/,pants-fire,"
By Ciara O'Rourke • May 3, 2021
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on April 24, 2021 in a Facebook post:
","
Social media posts stated: “Remember Kamala telling Joe during the debate, ‘You will do whatever the Chinese tell you! They gave your son over a billion dollars.’”
",/factchecks/2021/apr/30/facebook-posts/no-kamala-harris-did-not-tell-joe-biden-hed-do-wha/,pants-fire,"
By Sasha Hupka • April 30, 2021
"
"
Randy Feenstra
",/personalities/randy-feenstra/,"
stated on April 28, 2021 in a tweet:
","
""Only <6% of the $2.1 trillion 'infrastructure' bill contains funding for roads & bridges.”
",/factchecks/2021/apr/30/randy-feenstra/congressman-carrying-gop-complaint-leaves-lot-out-/,half-true,"
By Lyle Muller • April 30, 2021
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on April 24, 2021 in a Facebook post:
","
“Anyone remember Kamala telling Joe during the debate: ‘You will do whatever the Chinese tell you! They gave your son over a billion dollars.’”
",/factchecks/2021/apr/30/facebook-posts/no-kamala-harris-didnt-attack-joe-biden-china-duri/,pants-fire,"
By Bill McCarthy • April 30, 2021
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on April 27, 2021 in a video on Facebook:
","
""The Unvaccinated Beware, COVID-19 mRNA Shots Cause Death and Disease Through GMO Shedding""
",/factchecks/2021/apr/30/facebook-posts/no-there-no-evidence-spending-time-around-vaccinat/,false,"
By Madison Czopek • April 30, 2021
"
"
Instagram posts
",/personalities/instagram-posts/,"
stated on April 25, 2021 in an Instagram post:
","
Vaccine herd immunity doesn’t exist because 100% of the population would have to be vaccinated for it to work.
",/factchecks/2021/apr/30/instagram-posts/claim-about-covid-19-vaccines-misinterprets-meanin/,false,"
By Samantha Putterman • April 30, 2021
"
"
Tim Scott
",/personalities/tim-scott/,"
stated on April 28, 2021 in a GOP response to President Joe Biden's speech:
","
Says Democrats blocked his efforts at police reform.
",/factchecks/2021/apr/30/tim-scott/sen-tim-scott-says-democrats-blocked-his-police-re/,mostly-true,"
By Amy Sherman • April 30, 2021
"
"
Tony Evers
",/personalities/tony-evers/,"
stated on April 21, 2021 in Twitter:
","
A new state agreement with Foxconn “will save Wisconsin taxpayers $2.77 billion.”
",/factchecks/2021/apr/30/tony-evers/gov-tony-evers-doesnt-tell-whole-story-claim-new-f/,half-true,"
By Haley BeMiller • April 30, 2021
"
"
Kevin Kiley
",/personalities/kevin-kiley/,"
stated on April 26, 2021 in a tweet:
","
“San Francisco had twice as many drug overdose deaths as COVID deaths last year.”
",/factchecks/2021/apr/29/kevin-kiley/true-san-francisco-had-far-more-drug-overdose-deat/,true,"
By Chris Nichols • April 29, 2021
"
"
Tweets
",/personalities/tweets/,"
stated on April 28, 2021 in posts on social media:
","
Sen. Joni Ernst's visual aid said liberals wanted to abolish lasagna, among other things.
",/factchecks/2021/apr/29/tweets/no-sen-joni-ernst-did-not-say-liberals-wanted-ban-/,pants-fire,"
By Natalie Dunlap • April 29, 2021
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on April 19, 2021 in social media posts:
","
“For #Covid vaccines, shingles and even more dangerous and painful skin conditions may be the new thrombocytopenia.""
",/factchecks/2021/apr/29/facebook-posts/despite-all-talk-covid-19-vaccination-does-not-inf/,barely-true,"
By Julie Appleby • April 29, 2021
"
"
Viral image
",/personalities/viral-image/,"
stated on April 22, 2021 in viral image on Instagram:
","
60% of new COVID-19 patients are people who received the vaccine.
",/factchecks/2021/apr/29/viral-image/no-vaccinated-people-dont-make-60-new-covid-19-cas/,pants-fire,"
By Gabrielle Settles • April 29, 2021
"
"
Kevin McCarthy
",/personalities/kevin-mccarthy/,"
stated on April 28, 2021 in a Fox News appearance:
","
Says Joe Biden is “going to control how much meat you can eat.”
",/factchecks/2021/apr/29/kevin-mccarthy/kevin-mccarthy-repeats-pants-fire-claim-biden-will/,pants-fire,"
By Bill McCarthy • April 29, 2021
"
"
Kevin Parker
",/personalities/kevin-parker/,"
stated on April 14, 2021 in a Tweet:
","
“Law enforcement violence is the leading cause of death for young Black men and women in the US.”
",/factchecks/2021/apr/29/kevin-parker/police-violence-leading-cause-death-young-black-me/,false,"
By Jill Terreri Ramos • April 29, 2021
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on October 14, 2020 in Facebook posts:
","
A leaked email from a Liberal Party politician shows the Canadian government's plan to “reset” the economy and seize private property.
",/factchecks/2021/apr/29/facebook-posts/no-evidence-leaked-email-canadian-politician-authe/,pants-fire,"
By Noah Y. Kim • April 29, 2021
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on April 21, 2021 in Facebook post:
","
It's illegal for a college, public school or employer to ""mandate"" the vaccine because it was authorized for emergency use.
",/factchecks/2021/apr/29/facebook-posts/no-its-not-illegal-college-or-employer-require-cov/,false,"
By Michael Majchrowicz • April 29, 2021
"
"
Instagram posts
",/personalities/instagram-posts/,"
stated on April 25, 2021 in an Instagram post:
","
Photo that shows COVID-19 test swabs labeled positive and negative proves that the tests are fixed.
",/factchecks/2021/apr/28/instagram-posts/labeled-swabs-photo-are-quality-control-not-sign-c/,false,"
By Samantha Putterman • April 28, 2021
"
