name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Scott Walker
",/personalities/scott-walker/,"
stated on May 15, 2014 in an ad:
","
Under his leadership, more people in Wisconsin ""have access to health care.""
",/factchecks/2014/may/07/scott-walker/despite-gov-scott-walkers-opposition-obamacare-do-/,half-true,"
By Tom Kertscher • May 7, 2014
"
"
Wayne Rogers
",/personalities/wayne-rogers/,"
stated on May 3, 2014 in a broadcast of ""Cashin' In"" on Fox News:
","
""There are over 200 documented cases where (Obama) has lied.""
",/factchecks/2014/may/06/wayne-rogers/former-mash-star-obama-lied-200-times/,pants-fire,"
By Jon Greenberg • May 6, 2014
"
"
Tom Coburn
",/personalities/tom-coburn/,"
stated on May 1, 2014 in an interview on MSNBC's ""Morning Joe"":
","
The death penalty ""is a deterrent that does affect and impact people.""
",/factchecks/2014/may/06/tom-coburn/tom-coburn-death-penalty-deters-violent-criminals/,barely-true,"
By Julie Kliegman • May 6, 2014
"
"
Charlie Crist
",/personalities/charlie-crist/,"
stated on April 25, 2014 in a post on his campaign website:
","
Says Rick Scott’s record on jobs includes Florida ""ranked 2nd in the nation in long-term unemployment.""
",/factchecks/2014/may/06/charlie-crist/charlie-crist-says-florida-no-2-long-term-unemploy/,half-true,"
By Amy Sherman • May 6, 2014
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on May 1, 2014 in a meme shared on social media:
","
""Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.""
",/factchecks/2014/may/06/facebook-posts/social-media-meme-says-lawmakers-will-get-2800-rai/,half-true,"
By Louis Jacobson • May 6, 2014
"
"
Nathan Deal
",/personalities/nathan-deal/,"
stated on April 23, 2014 in a press conference:
","
Roughly 500,000 Georgians -- or about 5 percent of the state’s residents -- have gone through a background check to legally obtain a Georgia weapons carry license.
",/factchecks/2014/may/06/nathan-deal/deal-target-gun-permit-estimate/,mostly-true,"
By Nancy Badertscher • May 6, 2014
"
"
Rand Paul
",/personalities/rand-paul/,"
stated on May 2, 2014 in a newsletter:
","
""For every Kentuckian that has enrolled in Obamacare, 40 have been dropped from their coverage.""
",/factchecks/2014/may/05/rand-paul/rand-paul-says-40-times-more-kentuckians-have-gott/,pants-fire,"
By Louis Jacobson • May 5, 2014
"
"
Laura Ingraham
",/personalities/laura-ingraham/,"
stated on May 4, 2014 in a broadcast of ABC's ""This Week"":
","
After the attack on a U.S. diplomatic mission in Benghazi, Libya, ""the ambassador's body was dragged through the street.""  
",/factchecks/2014/may/05/laura-ingraham/ingraham-recycles-incorrect-benghazi-claim/,false,"
By Jon Greenberg • May 5, 2014
"
"
Democratic Party of Virginia
",/personalities/democratic-party-virginia/,"
stated on April 15, 2014 in a tweet.:
","
Says Virginia House Republicans are sacrificing $5 million a day in U.S. funds by refusing to expand Medicaid.
",/factchecks/2014/may/05/democratic-party-virginia/virginia-democrats-says-state-giving-5-million-day/,mostly-true,"
By Nancy Madsen • May 5, 2014
"
"
Kareem Abdul-Jabbar
",/personalities/kareem-abdul-jabbar/,"
stated on May 4, 2014 in comments on ABC's ""This Week"":
","
""More whites believe in ghosts than believe in racism.""
",/factchecks/2014/may/04/kareem-abdul-jabbar/nba-legend-abdul-jabbar-more-whites-believe-ghosts/,barely-true,"
By Katie Sanders • May 4, 2014
"
