name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Bloggers
",/personalities/blog-posting/,"
stated on September 13, 2016 in posts:
","
Says Hillary Clinton had an ""undercover nurse"" with her at the Sept. 11 memorial ceremony in New York.
",/factchecks/2016/sep/13/blog-posting/hillary-clinton-undercover-nurse-story-bogus/,pants-fire,"
By Aaron Sharockman • September 13, 2016
"
"
Barack Obama
",/personalities/barack-obama/,"
stated on September 13, 2016 in a speech in Philadelphia:
","
Says Donald Trump's foundation ""took money other people gave to his charity and then bought a six-foot-tall painting of himself.""
",/factchecks/2016/sep/13/barack-obama/barack-obama-says-trump-foundation-took-other-peop/,true,"
By Louis Jacobson • September 13, 2016
"
"
Paul Wolfowitz
",/personalities/paul-wolfowitz/,"
stated on September 11, 2016 in an interview on NBC's ""Meet the Press"":
","
""The Germans, the French, countries that opposed us in the (Iraq) war, all believed (Saddam Hussein) had weapons of mass destruction.""
 
",/factchecks/2016/sep/13/paul-wolfowitz/wolfowitz-wrongly-says-germany-france-thought-iraq/,barely-true,"
By Allison Graves • September 13, 2016
"
"
Planned Parenthood Votes
",/personalities/planned-parenthood-votes/,"
stated on September 7, 2016 in an ad:
","
Nevada Republican Senate nominee ""Joe Heck voted to criminalize abortion for rape victims.""
",/factchecks/2016/sep/13/planned-parenthood-votes/planned-parenthood-votes-says-joe-heck-voted-crimi/,half-true,"
By Louis Jacobson • September 13, 2016
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on September 12, 2016 in an interview on CNBC:
","
Heroin comes in the United States ""from the southern border.""
",/factchecks/2016/sep/13/donald-trump/trump-right-heroin-coming-through-southern-border/,true,"
By Linda Qiu • September 13, 2016
"
"
William Weld
",/personalities/william-weld/,"
stated on September 7, 2016 in an Ask Me Anything session on reddit:
","
Says ""76 percent of all voters in the United States say they want Johnson-Weld, by name, in the presidential debates.""
",/factchecks/2016/sep/13/william-weld/william-weld-says-76-percent-americans-want-his-th/,half-true,"
By Louis Jacobson • September 13, 2016
"
"
Yes on 55
",/personalities/yes-55/,"
stated on August 23, 2016 in a television advertisement:
","
California’s Prop 55 ""prevents $4 billion in new cuts to our schools.""
",/factchecks/2016/sep/13/yes-55/yes-55-school-claim-graded-mostly-false/,barely-true,"
By Chris Nichols • September 13, 2016
"
"
Chris Sununu
",/personalities/chris-sununu/,"
stated on September 7, 2016 in an ad:
","
Says crime is ‘rising’ in Manchester and has gone up 19 percent under Mayor Ted Gatsas.
 ",/factchecks/2016/sep/12/chris-sununu/republican-candidate-governor-chis-sununu-says-cri/,half-true,"
By Ella Nilsen • September 12, 2016
"
"
Ted Gatsas
",/personalities/ted-gatsas/,"
stated on September 1, 2016 in an ad:
","
Chris ""Sununu supported Obama’s Common Core agenda, taking away local control of our schools.""
",/factchecks/2016/sep/12/ted-gatsas/republican-candidate-governor-ted-gatsas-says-oppo/,barely-true,"
By Allie Morris • September 12, 2016
"
"
Mike Pence
",/personalities/mike-pence/,"
stated on September 4, 2016 in an interview on Meet the Press:
","
For immigrants with visa overstays, ""we make no effort to hold them accountable to that or uphold the law.""
",/factchecks/2016/sep/12/mike-pence/mike-pence-says-theres-no-effort-against-visa-over/,half-true,"
By Miriam Valverde • September 12, 2016
"
"
Bloggers
",/personalities/blog-posting/,"
stated on September 8, 2016 in internet postings:
","
Say ""71 percent of doctors say Hillary's health concerns are 'serious' and 'could be disqualifying.' ""
",/factchecks/2016/sep/12/blog-posting/bloggers-hype-hillary-clinton-health-poll-represen/,false,"
By C. Eugene Emery Jr. • September 12, 2016
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on September 6, 2016 in a rally.:
","
Barack Obama has ""doubled our national debt. Doubled it. It's going to be close to $20 trillion when he leaves.""
",/factchecks/2016/sep/12/donald-trump/trump-solely-blames-obama-doubling-debt/,half-true,"
By Sean Gorman • September 12, 2016
"
"
Duane Hall
",/personalities/duane-hall/,"
stated on August 23, 2016 in a tweet:
","
North Carolina’s coast ""is possibly the best place in (the) U.S. for an offshore windfarm.""
",/factchecks/2016/sep/09/duane-hall/north-carolina-top-state-offshore-wind-power-state/,mostly-true,"
By Will Doran • September 9, 2016
"
"
American Future Fund
",/personalities/american-future-fund/,"
stated on September 1, 2016 in a TV ad:
","
Says ""Patrick Murphy was named one of America's least effective congressmen.""
",/factchecks/2016/sep/09/american-future-fund/ad-attacking-patrick-murphy-among-least-effective-/,barely-true,"
By Joshua Gillin • September 9, 2016
"
"
Hillary Clinton
",/personalities/hillary-clinton/,"
stated on September 6, 2016 in a rally in Tampa:
","
""That's legal: If you find out about somebody else's salary even if you're doing exactly the same job, you can be retaliated against, including being fired, in most places.""
",/factchecks/2016/sep/09/hillary-clinton/hillary-clinton-wrongly-says-its-legal-fire-employ/,barely-true,"
By Lauren Carroll • September 9, 2016
"
