name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Barack Obama
",/personalities/barack-obama/,"
stated on November 6, 2013 in remarks at a Dallas synagogue:
","
""A million people … could get health insurance right away"" if Texas expanded Medicaid under Obamacare.
",/factchecks/2013/nov/08/barack-obama/more-million-texans-would-become-medicaid-eligible/,true,"
By Sue Owen • November 8, 2013
"
"
Larry Elder
",/personalities/larry-elder/,"
stated on November 4, 2013 in CNN's ""Crossfire"" roundtable:
","
""When you add a dollar value to mandates,"" government took almost 50 percent ""of the American people’s money.""
",/factchecks/2013/nov/08/larry-elder/larry-host-says-government-takes-almost-50-percent/,barely-true,"
By Katie Sanders • November 8, 2013
"
"
Greg Abbott
",/personalities/greg-abbott/,"
stated on November 7, 2013 in a donation web page:
","
Wendy Davis is ""fighting to bring ... Bloomberg-style gun control to Texas.""
",/factchecks/2013/nov/08/greg-abbott/davis-not-pushing-gun-control-bloomberg-has-favore/,half-true,"
By Sue Owen • November 8, 2013
"
"
Steve Leslie
",/personalities/steve-leslie/,"
stated on October 29, 2013 in remarks at an Austin town hall about the Dell Medical School:
","
The University of Texas is starting ""the first medical school at a major Tier One"" university ""in the last 50 years.""
",/factchecks/2013/nov/08/steve-leslie/one-measure-ut-opening-first-medical-school-top-ti/,mostly-true,"
By W. Gardner Selby • November 8, 2013
"
"
Coalition for Fair Budget Priorities
",/personalities/coalition-fair-budget-priorities/,"
stated on September 25, 2013 in a website statement:
","
Says taxpayer subsidy for the Oregon Convention Center hotel jumped $100 million in closed-door sessions
",/factchecks/2013/nov/08/coalition-fair-budget-priorities/did-public-subsidies-oregon-convention-center-hote/,true,"
By Dana Tims • November 8, 2013
"
"
Americans for Prosperity
",/personalities/americans-prosperity/,"
stated on October 29, 2013 in a YouTube ad:
","
Says Kay Hagan ""supports waivers for friends of Obama and special treatment for Congress and their staffs.""
",/factchecks/2013/nov/07/americans-prosperity/americans-prosperity-says-sen-kay-hagan-supports-o/,false,"
By Julie Kliegman • November 7, 2013
"
"
Republican Party of Florida
",/personalities/republican-party-florida/,"
stated on October 30, 2013 in a YouTube attack ad:
","
Says Alex Sink supported ""a $5.2 billion increase in Florida's debt.""
",/factchecks/2013/nov/07/republican-party-florida/florida-gop-says-alex-sink-supported-52b-debt-incr/,barely-true,"
By Julie Kliegman • November 7, 2013
"
"
Charlie Crist
",/personalities/charlie-crist/,"
stated on November 4, 2013 in a speech announcing his candidacy for governor:
","
Charlie Crist stopped ""layoffs of some 20,000 school teachers during the global economic meltdown.""
",/factchecks/2013/nov/07/charlie-crist/charlie-crist-says-he-stopped-layoffs-20000-teache/,half-true,"
By Amy Sherman • November 7, 2013
"
"
Ed Schultz
",/personalities/ed-schultz/,"
stated on November 5, 2013 in a broadcast of the ""Ed Schultz Show"":
","
Says Chris Christie fired 6,000 teachers.
",/factchecks/2013/nov/07/ed-schultz/schultz-says-gov-christie-pushed-fire-6000-teacher/,half-true,"
By Jon Greenberg • November 7, 2013
"
"
Scott Walker
",/personalities/scott-walker/,"
stated on October 25, 2013 in a press release:
","
With a bill bringing $100 million in property tax relief, ""the typical Wisconsin homeowner will save approximately $680 over four years.""
",/factchecks/2013/nov/07/scott-walker/gov-scott-walker-says-typical-wisconsin-homeowner-/,pants-fire,"
By Dave Umhoefer • November 7, 2013
"
