name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Facebook posts
",/personalities/facebook-posts/,"
 stated on April 18, 2020 in a Facebook post:
","
“The flu killed 80,000 people in the U.S. last year”
",/factchecks/2020/may/06/facebook-posts/facebook-post-exaggerates-seasonal-flu-deaths-last/,barely-true,"
By Amy Sherman • May 6, 2020
"
"
Tom McClintock
",/personalities/tom-mcclintock/,"
stated on April 29, 2020 in an interview on CapRadio's Insight program.:
","
“The flu killed 80,000 Americans last year according to the CDC.”
",/factchecks/2020/may/05/tom-mcclintock/tom-mcclintock-claimed-flu-killed-80000-americans-/,barely-true,"
By Chris Nichols • May 5, 2020
"
"
Bloggers
",/personalities/blog-posting/,"
stated on April 25, 2020 in a blog post:
","
“First volunteer in UK coronavirus vaccine trial has died.”
",/factchecks/2020/may/05/blog-posting/no-first-volunteer-uk-covid-19-vaccine-trial-hasnt/,false,"
By Ciara O'Rourke • May 5, 2020
"
"
Bloggers
",/personalities/blog-posting/,"
stated on May 4, 2020 in a blog post:
","
Greta Thunberg “going on hunger strike until Trump is removed.”
",/factchecks/2020/may/05/blog-posting/no-greta-thunberg-isnt-protesting-trump-hunger-str/,false,"
By Ciara O'Rourke • May 5, 2020
"
"
Andrew Cuomo
",/personalities/andrew-cuomo/,"
stated on April 23, 2020 in a news conference:
","
“At the end of the year, we put into that federal pot $116 billion more than we take out,” while Kentucky “takes out $148 billion more than they put in.”
",/factchecks/2020/may/05/andrew-cuomo/cuomos-claim-new-yorks-contributions-federal-treas/,half-true,"
By Jill Terreri Ramos • May 5, 2020
"
"
Paul Farrow
",/personalities/paul-farrow/,"
stated on April 30, 2020 in online post:
","
Says a meat shortage is “not expected”
",/factchecks/2020/may/05/paul-farrow/no-shortage-expected-meat-supply-could-see-new-con/,half-true,"
By Nusaiba Mizan • May 5, 2020
"
"
Scott Fitzgerald
",/personalities/scott-fitzgerald/,"
stated on April 26, 2020 in a TV interview:
","
Wisconsin has “no tracing program going on that we can speak of.""
",/factchecks/2020/may/04/scott-fitzgerald/scott-fitzgerald-says-wisconsin-has-no-contact-tra/,barely-true,"
By Eric Litke • May 4, 2020
"
"
Cindy O’Laughlin
",/personalities/cindy-olaughlin/,"
stated on March 22, 2020 in a Facebook post:
","
“I see no time in the history of this country when perfectly healthy people have been basically confined to their homes or only able to do essential things as in Kansas City or St. Louis.”
",/factchecks/2020/may/04/cindy-olaughlin/healthy-people-have-been-confined-covid-19-contrar/,false,"
By Jack Kosowski • May 4, 2020
"
"
Viral image
",/personalities/viral-image/,"
stated on April 28, 2020 in a Facebook post:
","
A photo shows a “Center for Global Population Reduction” at the Bill & Melinda Gates Foundation headquarters.
",/factchecks/2020/may/04/viral-image/photo-gates-foundation-has-been-altered/,false,"
By Ciara O'Rourke • May 4, 2020
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on April 14, 2020 in a Facebook post:
","
“New York Times editor admits Biden sexual assault story was censored at behest of Biden campaign.”
",/factchecks/2020/may/04/facebook-posts/Claim-New-York-Times-censored-Biden-sex-assault/,barely-true,"
By Tom Kertscher • May 4, 2020
"
