name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Miami Seaport Alliance
",/personalities/miami-seaport-alliance/,"
stated on April 24, 2014 in a ""Miami Herald"" newspaper ad:
","
David Beckham’s proposed soccer stadium at Miami’s Port ""threatens the 207,000 jobs and $27 billion economic impact tied to the cargo and cruise industries.""
",/factchecks/2014/may/14/miami-seaport-alliance/david-beckhams-proposed-soccer-stadium-port-threat/,false,"
By Amy Sherman • May 14, 2014
"
"
Ralph Nader
",/personalities/ralph-nader/,"
stated on May 7, 2014 in a radio interview:
","
A majority of Americans ""since Harry Truman days"" support single-payer health insurance, or ""full Medicare for all.""
 
",/factchecks/2014/may/14/ralph-nader/70-years-most-americans-have-supported-single-paye/,false,"
By Tom Kertscher • May 14, 2014
"
"
John Stone
",/personalities/john-stone/,"
stated on April 23, 2014 in campaign website and YouTube video:
","
Says he’s ""the only licensed firearms dealer in America running for Congress.""
 
",/factchecks/2014/may/14/john-stone/stone-claims-unique-position-gun-dealer/,half-true,"
By Nancy Badertscher • May 14, 2014
"
"
Ronan Farrow
",/personalities/ronan-farrow/,"
stated on May 5, 2014 in a segment on ""Ronan Farrow Daily"":
","
Congress' decision to ""spend less around the world"" on embassy security contributed to ""tragedies"" like Benghazi.
",/factchecks/2014/may/13/ronan-farrow/ronan-farrow-says-inadequate-security-funding-cong/,barely-true,"
By Katie Sanders • May 13, 2014
"
"
Marco Rubio
",/personalities/marco-rubio/,"
stated on May 11, 2014 in an interview on ABC's ""This Week"":
","
Human activity is not ""causing these dramatic changes to our climate.""
",/factchecks/2014/may/13/marco-rubio/marco-rubio-says-humans-are-not-causing-climate-ch/,false,"
By Julie Kliegman • May 13, 2014
"
"
John Kitzhaber
",/personalities/john-kitzhaber/,"
stated on May 7, 2014 in an email to supporters:
","
""Oregon today has 100,000 more jobs than it did when I was elected.""
",/factchecks/2014/may/13/john-kitzhaber/does-oregon-have-100000-more-jobs-today-it-did-whe/,mostly-true,"
By Louis Jacobson • May 13, 2014
"
"
Harry Reid
",/personalities/harry-reid/,"
stated on May 6, 2014 in a news conference:
","
Congress used earmarks ""for more than 200 years.""
",/factchecks/2014/may/13/harry-reid/harry-reid-says-congress-used-earmarks-200-years/,mostly-true,"
By Tim Ryan • May 13, 2014
"
"
Joe Scarborough
",/personalities/joe-scarborough/,"
stated on May 12, 2014 in a broadcast of MSNBC's ""Morning Joe"":
","
Americans ""bought into climate change"" in 2004-06, but then most ""began wandering away from this issue.""
",/factchecks/2014/may/13/joe-scarborough/scarborough-americans-cooled-climate-change/,half-true,"
By Jon Greenberg • May 13, 2014
"
"
Mike Rogers
",/personalities/mike-rogers/,"
stated on May 8, 2014 in an article published by Politico:
","
Says Rep. Justin Amash ""votes more with the Democrats than with the Republicans.""
",/factchecks/2014/may/13/mike-rogers/does-justin-amash-vote-more-often-democrats-or-rep/,false,"
By Steve Contorno • May 13, 2014
"
"
Kyle Williams
",/personalities/kyle-williams/,"
stated on May 6, 2014 in campaign fllier:
","
State Rep. Elena Parent ""supported Governor Nathan Deal’s plan to slash the HOPE scholarship.""
 
",/factchecks/2014/may/13/kyle-williams/can-candidate-be-too-conservative/,false,"
By Eric Stirgus • May 13, 2014
"
"
John Garamendi
",/personalities/john-garamendi/,"
 stated on May 5, 2014 in an interview on MSNBC's ""The Ed Show"":
","
""During the George W. Bush period, there were 13 attacks on various embassies and consulates around the world. Sixty people died.""
",/factchecks/2014/may/12/john-garamendi/prior-benghazi-were-there-13-attacks-embassies-and/,mostly-true,"
By Louis Jacobson • May 12, 2014
"
