name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Tweets
",/personalities/tweets/,"
stated on January 10, 2022 in a tweet:
","
Says Bob Saget died from the COVID-19 vaccine.
",/factchecks/2022/jan/10/tweets/social-media-posts-try-connect-sagets-death-covid-/,false,"
By Ciara O'Rourke • January 10, 2022
"
"
Beto O'Rourke
",/personalities/beto-orourke/,"
stated on November 19, 2021 in a rally:
","
""Expanding Medicaid, which if we had done at the beginning of the Abbott administration, would have brought in $100 billion to this state's economy.""
",/factchecks/2022/jan/10/beto-orourke/economic-impact-medicaid-expansion-may-be-more-100/,mostly-true,"
By Nusaiba Mizan • January 10, 2022
"
"
Dana Perino
",/personalities/dana-perino/,"
stated on January 4, 2022 in a segment:
","
A law backed by Virginia Democrats barred local sheriffs from having military equipment that “would have come in very helpful” with the I-95 traffic jam.
",/factchecks/2022/jan/10/dana-perino/virginia-law-restricting-military-gear-purchases-d/,false,"
By Samantha Putterman • January 10, 2022
"
"
Dinesh D'Souza
",/personalities/dinesh-dsouza/,"
stated on January 4, 2022 in a Fox News appearance:
","
Recently released Jan. 6 footage shows ""these cops using massive amounts of force against unarmed Trump supporters, including women.""
",/factchecks/2022/jan/10/dinesh-dsouza/dsouza-falsely-claims-jan-6-video-shows-police-usi/,false,"
By Bill McCarthy • January 10, 2022
"
"
Tom Suozzi
",/personalities/tom-suozzi/,"
stated on January 4, 2022 in a Tweet:
","
Hochul is an “interim Governor.”
",/factchecks/2022/jan/10/tom-suozzi/suozzi-calling-hochul-interim-governor-s-misleadin/,pants-fire,"
By Jill Terreri Ramos • January 10, 2022
"
"
Doug Wilder
",/personalities/doug-wilder/,"
stated on January 3, 2022 in a radio interview.:
","
“When I became mayor of the City of Richmond in 2004, the crime rate was at its highest. When I left in 2008, it was at its lowest.”
",/factchecks/2022/jan/10/doug-wilder/wilder-half-right-about-his-crime-record-richmonds/,half-true,"
By Warren Fiske • January 10, 2022
"
"
Sonia Sotomayor
",/personalities/sonia-sotomayor/,"
stated on January 7, 2022 in oral arguments at the Supreme Court:
","
“We have over 100,000 children, which we’ve never had before, in serious condition, and many on ventilators” due to the coronavirus.
",/factchecks/2022/jan/07/sonia-sotomayor/fact-checking-sotomayor-kids-severe-covid-19/,false,"
By Jon Greenberg • January 7, 2022
"
"
Erica Smith
",/personalities/erica-smith/,"
stated on December 30, 2021 in a tweet:
","
“Corporate profit margins are at their highest point in 70 years. … They’re overcharging us for gas, medicine, and groceries, and pocketing the difference.”
",/factchecks/2022/jan/07/erica-smith/smith-says-corporate-profits-hit-record-high-blame/,half-true,"
By Paul Specht • January 7, 2022
"
"
Rand Paul
",/personalities/rand-paul/,"
stated on January 4, 2022 in an ad:
","
“No one has been hospitalized for” the omicron variant of COVID-19.
",/factchecks/2022/jan/07/rand-paul/sen-rand-pauls-ad-was-wrong-claiming-there-are-no-/,false,"
By Tom Kertscher • January 7, 2022
"
"
Bloggers
",/personalities/blog-posting/,"
stated on January 5, 2022 in a blog post:
","
Says Georgia Secretary of State Brad Raffensperger “to investigate himself over voter fraud.”
",/factchecks/2022/jan/07/blog-posting/no-georgias-secretary-state-didnt-say-hes-going-in/,false,"
By Ciara O'Rourke • January 7, 2022
"
