name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Donald Trump
",/personalities/donald-trump/,"
stated on October 16, 2018 in in a tweet:
","
""I have no financial interests in Saudi Arabia.""
",/factchecks/2018/oct/18/donald-trump/donald-trumps-claim-no-financial-interests-saudi-a/,half-true,"
By John Kruzel • October 18, 2018
"
"
Bloggers
",/personalities/blog-posting/,"
stated on October 18, 2018 in a post on Facebook:
","
""White people are so 1960’s. Sometimes the only thing that keeps me going is the fact that they will be blended out by the time I am 30. Imagine a world without white people. —Malia Obama’s midterm speech exam""
",/factchecks/2018/oct/18/blog-posting/there-no-evidence-malia-obama-said-white-people-sh/,pants-fire,"
By Ciara O'Rourke • October 18, 2018
"
"
Scott Wagner
",/personalities/scott-wagner/,"
stated on October 11, 2018 in Campaign email:
","
""Our unemployment rate is 20 percent higher than the national average."" 
 
",/factchecks/2018/oct/18/scott-wagner/scott-wagner-says-pas-unemployment-rate-20-percent/,false,"
By Colin Deppen • October 18, 2018
"
"
Tony Evers
",/personalities/tony-evers/,"
stated on October 10, 2018 in a campaign video:
","
Says Scott Walker supports ""a health care plan that would gut protections for pre-existing conditions.""
 
",/factchecks/2018/oct/18/tony-evers/scott-walker-says-he-would-cover-pre-existing-cond/,mostly-true,"
By Tom Kertscher • October 18, 2018
"
"
Andrew Gillum
",/personalities/andrew-gillum/,"
stated on September 26, 2018 in an ad:
","
""In Congress, Ron DeSantis demanded that any new health law eliminate protections for people with pre-existing conditions.""
",/factchecks/2018/oct/18/andrew-gillum/fact-checking-attack-ron-desantis-about-pre-existi/,half-true,"
By Amy Sherman • October 18, 2018
"
"
Andrew Gillum
",/personalities/andrew-gillum/,"
stated on September 26, 2018 in an ad:
","
""When (Ron DeSantis) was asked what cancer patients should do without health insurance, DeSantis said 'show up to the emergency room.'""
",/factchecks/2018/oct/18/andrew-gillum/florida-democrats-say-ron-desantis-wants-send-canc/,half-true,"
By Amy Sherman • October 18, 2018
"
"
George Holding
",/personalities/george-holding/,"
stated on September 27, 2018 in a TV ad:
","
Orange County ""released"" a sex offender instead of turning him over to immigration authorities - ""like a sanctuary city.""
",/factchecks/2018/oct/18/george-holding/holding-ad-lacks-key-detail-orange-county-immigran/,half-true,"
By Paul Specht • October 18, 2018
"
"
worldnewsdailyreport.com
",/personalities/worldnewsdailyreportcom/,"
stated on October 15, 2018 in a post on Facebook:
","
Says a pro-choice activist in California 'proudly breaks world record by getting her 27th abortion'
",/factchecks/2018/oct/17/worldnewsdailyreportcom/no-california-woman-didnt-break-world-record-getti/,pants-fire,"
By Ciara O'Rourke • October 17, 2018
"
"
JD Wooten
",/personalities/jd-wooten/,"
stated on September 28, 2018:
","
""Republicans in the General Assembly cut teacher pay so much when they took over in 2011 that even with recent pay raises, we are still below pre-Recession pay levels.""
",/factchecks/2018/oct/17/jd-wooten/wooten-doesnt-paint-full-picture-teacher-pay-cut/,barely-true,"
By Bill McCarthy • October 17, 2018
"
"
Senate Leadership Fund
",/personalities/senate-leadership-fund/,"
stated on October 16, 2018 in a campaign ad:
","
Says Claire McCaskill ""even said this about private planes, ‘that normal people can afford it.’""
",/factchecks/2018/oct/17/senate-leadership-fund/did-claire-mccaskill-say-normal-people-can/,half-true,"
By Louis Jacobson • October 17, 2018
"
