name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Paul Junge
",/personalities/paul-junge/,"
stated on June 10, 2020 in a campaign website:
","
“Even so-called moderate Democrats like Joe Biden have endorsed a ban on fracking, which would eliminate 516,000 Michigan jobs and reduce the state’s gross domestic product by $159 billion over five years.”
",/factchecks/2020/jun/19/paul-junge/biden-called-limits-fracking-not-ban/,barely-true,"
By Clara Hendrickson • June 19, 2020
"
"
Jeanette Kowalik
",/personalities/jeanette-kowalik/,"
stated on June 14, 2020 in an appearance on WISN-TV's ""UpFront"":
","
""Our health department, our city and our county declared racism as a public health crisis last year.”
",/factchecks/2020/jun/18/jeanette-kowalik/milwaukee-was-among-first-declare-racism-public-he/,true,"
By Lawrence Andrea • June 18, 2020
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on June 17, 2020 in an interview with the Wall Street Journal:
","
Says before he planned a rally on June 19 “nobody had ever heard of” Juneteenth.
",/factchecks/2020/jun/18/donald-trump/donald-trumps-pants-fire-claim-nobody-had-heard-ju/,pants-fire,"
By Jon Greenberg • June 18, 2020
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on June 6, 2020 in a social media post:
","
California’s registered independent voters “will not be able to vote republican come 2020.”
",/factchecks/2020/jun/18/facebook-posts/facebook-post-falsely-claims-independents-californ/,false,"
By Chris Nichols • June 18, 2020
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on June 14, 2020 in a Facebook post:
","
“Antifa now banging on residents’ doors in Seattle, demanding food & supplies. If they don’t get it, the house gets vandalized.”
",/factchecks/2020/jun/18/facebook-posts/no-evidence-antifa-members-vandalizing-seattle-hom/,false,"
By Ciara O'Rourke • June 18, 2020
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on June 16, 2020 in a speech:
","
“President Obama and Vice President Biden never even tried to fix this (police reforms) during their eight-year period.”
",/factchecks/2020/jun/18/donald-trump/donald-trump-falsely-says-obama-administration-did/,false,"
By Miriam Valverde • June 18, 2020
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on June 16, 2020 in a Facebook post:
","
Says these “elite” figures are on house arrest with ankle monitors “due to child trafficking crimes.”
",/factchecks/2020/jun/18/facebook-posts/bogus-conspiracy-about-obama-others-wearing-house-/,pants-fire,"
By Samantha Putterman • June 18, 2020
"
"
Chris Jacobs
",/personalities/chris-jacobs/,"
stated on June 13, 2020 in remarks in a debate:
","
Says Nate McMurray said that “gun owners are part of the most insecure and dangerous club on earth,” that “the NRA are homegrown terrorists,” and that “abortion opponents are the American Taliban.”
",/factchecks/2020/jun/18/chris-jacobs/fact-checking-claims-chris-jacobs-nate-mcmurray-de/,mostly-true,"
By Meghan Hall • June 18, 2020
"
"
Monica Wallace
",/personalities/monica-wallace/,"
stated on June 8, 2020 in a newspaper interview:
","
Significantly more people died of Covid-19 in two months than died of overdoses all of last year or the year before.
",/factchecks/2020/jun/18/monica-wallace/do-two-months-coronavirus-deaths-exceed-number-dru/,true,"
 By John Pullano • June 18, 2020
"
"
Bloggers
",/personalities/blog-posting/,"
stated on June 12, 2020 in an article:
","
“163 paid protesters just filed a lawsuit against George Soros for not paying their bail.”
",/factchecks/2020/jun/18/blog-posting/hoax-websites-republish-made-article-about-protest/,pants-fire,"
By Daniel Funke • June 18, 2020
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on June 15, 2020 in a Facebook post:
","
“Trump administration just FIRED 54 scientists & cut off 77 grants at Fauci's NIH for not disclosing their ties to Communist China!”
",/factchecks/2020/jun/18/facebook-posts/fact-checking-claim-about-trump-fired-scientists-a/,half-true,"
By Tom Kertscher • June 18, 2020
"
