name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Jeanine Pirro
",/personalities/jeanine-pirro/,"
stated on March 20, 2021 in a TV segment:
","
The southern U.S. border “is now open to anyone from anywhere in the world who wishes to enter our country.”
",/factchecks/2021/mar/23/jeanine-pirro/fox-news-jeanine-pirro-wrongly-claims-us-border-op/,false,"
By Bill McCarthy • March 23, 2021
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on March 21, 2021 in a Facebook post:
","
“Texas has launched ‘Operation Lone Star’ to finish the border wall themselves.”
",/factchecks/2021/mar/23/facebook-posts/no-texas-isnt-finishing-border-wall-operation-lone/,false,"
By Ciara O'Rourke • March 23, 2021
"
"
Viral image
",/personalities/viral-image/,"
stated on March 20, 2021 in a Facebook post:
","
Gas costs $7.89 at a station in Albuquerque, New Mexico.
",/factchecks/2021/mar/23/viral-image/no-gas-doesnt-cost-789-albuquerque/,false,"
By Ciara O'Rourke • March 23, 2021
"
"
Roy Blunt
",/personalities/roy-blunt/,"
 stated on March 21, 2021 in an interview on NBC's ""Meet the Press"":
","
Under H.R. 1, the Federal Election Commission “for the first time ever, instead of being an equal number of Republicans and Democrats (would be) three of one side and two of the other.""
",/factchecks/2021/mar/22/roy-blunt/roy-blunt-miscasts-how-hr-1-would-reshape-federal-/,barely-true,"
By Louis Jacobson • March 22, 2021
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on March 20, 2021 in a Facebook post:
","
The movie “I am Legend” was based in the year 2021 and people turned into zombies “because of the wrong vaccine.”
",/factchecks/2021/mar/22/facebook-posts/no-movie-i-am-legend-was-not-based-2021-and-outbre/,false,"
By Samantha Putterman • March 22, 2021
"
"
Viral image
",/personalities/viral-image/,"
stated on March 19, 2021 in a Facebook post:
","
“Jamaica has not recorded any case of the coronavirus.”
",/factchecks/2021/mar/22/viral-image/jamaica-has-had-thousands-covid-19-cases-and-hundr/,pants-fire,"
By Ciara O'Rourke • March 22, 2021
"
"
Instagram posts
",/personalities/instagram-posts/,"
stated on March 14, 2021 in a video caption:
","
Aluminum “is in the vaccine” and will hurt the brain.
",/factchecks/2021/mar/22/instagram-posts/instagram-post-suggests-covid-19-vaccines-contain-/,false,"
By Andy Nguyen • March 22, 2021
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on March 21, 2021 in Facebook posts:
","
“Joe Biden and Kamala Harris forced our troops to sleep on the floor of a garage, yet has authorized $89 million for hotel rooms for illegal immigrants.”
",/factchecks/2021/mar/22/facebook-posts/no-evidence-joe-biden-ordered-national-guard-parki/,barely-true,"
By Noah Y. Kim • March 22, 2021
"
"
Viral image
",/personalities/viral-image/,"
stated on March 20, 2021 in a Facebook post:
","
Says Disneyland is enforcing a “no scream” policy on roller coasters.
",/factchecks/2021/mar/22/viral-image/no-disneyland-isnt-enforcing-no-scream-policy/,false,"
By Ciara O'Rourke • March 22, 2021
"
"
Viral image
",/personalities/viral-image/,"
stated on January 24, 2021 in a Facebook post:
","
Video “proves 100% that President Joe Biden is not a ‘human’ being.”
",/factchecks/2021/mar/22/viral-image/no-video-doesnt-prove-biden-isnt-human/,pants-fire,"
By Ciara O'Rourke • March 22, 2021
"
"
Terry McAuliffe
",/personalities/terry-mcauliffe/,"
stated on March 10, 2021 in a speech:
","
“If you look at the average teacher pay compared to the average pay of your citizens, Virginia ranks last.”
",/factchecks/2021/mar/22/terry-mcauliffe/va-teachers-pay-last-compared-full-time-year-round/,true,"
By Warren Fiske • March 22, 2021
"
"
TikTok posts
",/personalities/tiktok-posts/,"
stated on March 17, 2021 in a video caption:
","
“You will need a WHO Yellow Vaccination Passport if you plan on traveling internationally once borders open.”
",/factchecks/2021/mar/22/tiktok-posts/no-you-dont-need-who-vaccination-certificate-trave/,barely-true,"
By Daniel Funke • March 22, 2021
"
"
Mike Bost
",/personalities/mike-bost/,"
stated on March 15, 2021 in a radio interview:
","
The American Rescue Plan Act “does not” include “checks and balances” on how funds for state and local governments can be spent.
",/factchecks/2021/mar/21/mike-bost/does-american-rescue-plan-limit-how-states-can-spe/,half-true,"
By Kiannah Sepeda-Miller • March 21, 2021
"
