name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Liz Mathis
",/personalities/liz-mathis/,"
stated on January 21, 2022 in a tweet:
","
“Ashley Hinson voted against the bipartisan infrastructure bill that made this money (for Iowa's locks and dams) possible. Once again she’s taking credit for work she didn’t do.”
",/factchecks/2022/jan/21/liz-mathis/hinson-joined-letter-iowa-lock-and-dam-money-she-d/,mostly-true,"
By Lauren White • January 21, 2022
"
"
Viral image
",/personalities/viral-image/,"
stated on January 21, 2022 in a Facebook post:
","
A schedule proves Donald Trump was recently participating in presidential activities.
",/factchecks/2022/jan/21/viral-image/website-bug-mistakenly-put-trumps-name-bidens-sche/,false,"
By Ciara O'Rourke • January 21, 2022
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on January 19, 2022 in an article on Facebook:
","
“Moderna COVID vaccine is no longer recommended due to heart inflammation.”
",/factchecks/2022/jan/21/facebook-posts/headline-misleads-about-moderna-vaccine-recommenda/,barely-true,"
By Monique Curet • January 21, 2022
"
"
Viral image
",/personalities/viral-image/,"
stated on January 19, 2022 in a Facebook post:
","
Four players have dropped out of the Australian Open with “chest pains.”
",/factchecks/2022/jan/21/viral-image/no-tennis-players-havent-dropped-out-australian-op/,false,"
By Ciara O'Rourke • January 21, 2022
"
"
Viral image
",/personalities/viral-image/,"
stated on January 16, 2022 in a Facebook post:
","
Tim Tebow used to “kneel in prayer and the NFL complained.”
",/factchecks/2022/jan/21/viral-image/no-nfl-didnt-complain-when-tim-tebow-knelt-prayer/,false,"
By Ciara O'Rourke • January 21, 2022
"
"
Deb Butler
",/personalities/deb-butler/,"
stated on January 12, 2022 in a tweet:
","
Says the “NC appeals court” acknowledged the state’s election maps “are skewed,” but didn’t block them because they are “partisan hacks.”
",/factchecks/2022/jan/21/deb-butler/nc-legislator-inaccurately-describes-redistricting/,barely-true,"
By Paul Specht • January 21, 2022
 "
"
Glenn Youngkin
",/personalities/glenn-youngkin/,"
stated on January 17, 2022 in a speech.:
","
Virginia’s “education standards for math and reading are now the lowest in the nation.”
",/factchecks/2022/jan/21/glenn-youngkin/youngkins-claim-about-virginias-low-k-12-standards/,half-true,"
By Warren Fiske • January 21, 2022
"
"
Mitt Romney
",/personalities/mitt-romney/,"
stated on January 16, 2022 in an interview on NBC's ""Meet the Press"":
","
“People are 7% poorer now because of Biden inflation.”
",/factchecks/2022/jan/20/mitt-romney/mitt-romney-jab-seven-percent-poorer-inflation/,barely-true,"
By Louis Jacobson • January 20, 2022
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on January 5, 2022 in a video on Facebook:
","
Omicron is “the fastest-spreading virus known to humankind.""
",/factchecks/2022/jan/20/facebook-posts/omicron-variant-fastest-spreading-virus-it-depends/,mostly-true,"
By Monique Curet • January 20, 2022
"
"
Viral image
",/personalities/viral-image/,"
stated on January 18, 2022 in a post:
","
“Supreme Court Justice Sonia Sotomayor tests positive for COVID-19 despite triple vaccination, diligent masking and working from home.”
",/factchecks/2022/jan/20/viral-image/news-headline-about-supreme-court-justice-appears-/,false,"
By Monique Curet • January 20, 2022
"
"
Joe Biden
",/personalities/joe-biden/,"
stated on January 19, 2022 in a news conference:
","
“This country’s working people actually got a raise.”
",/factchecks/2022/jan/20/joe-biden/bidens-boast-about-rising-wages-ignores-effect-inf/,barely-true,"
By Jon Greenberg • January 20, 2022
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on January 19, 2022 in a post:
","
“There (are) over 800 prison camps in the United States, all fully operational and ready to receive prisoners. They are all staffed and even surrounded by full-time guards, but they are all empty. These camps are to be operated by FEMA.”
",/factchecks/2022/jan/20/facebook-posts/claim-fema-prison-camps-part-long-running-thorough/,pants-fire,"
By Monique Curet • January 20, 2022
"
"
Michael Savage
",/personalities/michael-savage/,"
stated on January 17, 2022 in a Facebook post:
","
Rabbi taken hostage in Texas synagogue is “anti-Zionist” who may have known gunman.
",/factchecks/2022/jan/20/michael-savage/texas-rabbi-not-anti-zionist-no-evidence-early-inv/,false,"
By Jeff Cercone • January 20, 2022
"
