name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Alan Grayson
",/personalities/alan-grayson/,"
stated on May 11, 2016 in a fundraising email:
","
Says Patrick Murphy is one of ""only three Democrats in the House today who voted"" to create the Benghazi committee.
",/factchecks/2016/may/16/alan-grayson/patrick-murphy-voted-house-benghazi-committee-gray/,mostly-true,"
By Joshua Gillin • May 16, 2016
"
"
Chris Sgro
",/personalities/chris-sgro/,"
stated on May 4, 2016 in a press release:
","
""We've already lost $500 million in economic impact"" from HB2 fallout in North Carolina.
",/factchecks/2016/may/16/chris-sgro/democratic-representative-says-north-carolina-has-/,false,"
By Will Doran • May 16, 2016
"
"
Mamie Locke
",/personalities/mamie-locke/,"
stated on May 8, 2016 in an interview.:
","
""The United States has a low voter turnout rate.""
",/factchecks/2016/may/16/mamie-locke/mamie-locke-says-us-has-low-voter-turnout-rate/,true,"
By Warren Fiske • May 16, 2016
"
"
Pat Toomey
",/personalities/pat-toomey/,"
stated on April 27, 2016 in Pennsylvania:
","
Says Katie McGinty ""actually agrees with Hillary Clinton and the most liberal wing of the Democrats on everything.""
",/factchecks/2016/may/16/pat-toomey/pat-toomey-says-katie-mcginty-agrees-hillary-clint/,half-true,"
By Cassie Owens • May 16, 2016
"
"
Ken Cuccinelli
",/personalities/ken-cuccinelli/,"
stated on May 2, 2016 in a radio interview.:
","
Half of illegal immigrants ""come on legal visas and then overstay.""
",/factchecks/2016/may/16/ken-cuccinelli/ken-cuccinelli-says-half-illegal-immigrants-have-o/,mostly-true,"
By Warren Fiske • May 16, 2016
"
"
Tim Moore
",/personalities/tim-moore/,"
stated on May 5, 2016 in a conversation with reporters:
","
Says 80 percent of North Carolinians support ""the concept that men should not be in women’s restrooms, changing rooms, bathrooms, etc.""
",/factchecks/2016/may/14/tim-moore/nc-house-speaker-says-80-percent-think-bathrooms-s/,half-true,"
By Will Doran • May 14, 2016
"
"
Solar Energy Fairness
",/personalities/solar-energy-fairness/,"
stated on April 13, 2016 in a television ad:
","
""Big rooftop solar's plan forces Nevada families who don’t have solar panels to pay higher power bills to subsidize rooftop solar.""
",/factchecks/2016/may/13/solar-energy-fairness/solar-subsidy-claims-need-more-evidence/,half-true,"
By Riley Snyder • May 13, 2016
"
"
Fighting for Ohio PAC
",/personalities/fighting-ohio-pac/,"
stated on May 6, 2016 in Fighting for Ohio PAC ad:
","
Says Ted Strickland admits his record on jobs and taxes is ""mixed and spotty.""
",/factchecks/2016/may/13/fighting-ohio-pac/fighting-ohio-pac-ad-takes-ted-stricklands-mixed-a/,false,"
By Nadia Pflaum • May 13, 2016
"
"
Bloggers
",/personalities/blog-posting/,"
stated on May 6, 2016 in a Web article:
","
Says Arizona, Missouri and Texas residents have a two-pet limit, so the public must ""surrender their third pet to the Humane Society.""
",/factchecks/2016/may/13/blog-posting/popular-internet-story-claims-arizona-missouri-and/,pants-fire,"
By Anthony Cave • May 13, 2016
"
"
Scott Walker
",/personalities/scott-walker/,"
stated on May 10, 2016 in a news release:
","
The University of Wisconsin-Milwaukee has ""2.8 students per faculty"" member, ""tied for second-lowest in its history since 1994.""
",/factchecks/2016/may/13/scott-walker/scott-walker-way-saying-university-wisconsin-milwa/,pants-fire,"
By Tom Kertscher • May 13, 2016
"
"
Steve Adler
",/personalities/steve-adler/,"
stated on April 25, 2016 in speaking against Proposition 1 on Austin's May 7, 2016 ballot:
","
""Austin is number one in Texas in startups, venture capital and patents.""
",/factchecks/2016/may/13/steve-adler/steve-adler-correctly-says-austin-no-1-texas-start/,true,"
By W. Gardner Selby • May 13, 2016
"
"
Sean Duffy
",/personalities/sean-duffy/,"
stated on April 22, 2016 in a radio ad:
","
On how to respond to Puerto Rico’s debt crisis.
 
",/factchecks/2016/may/13/sean-duffy/did-sean-duffy-flip-flop-what-should-be-done-about/,no-flip,"
By Sarah Hauer • May 13, 2016
"
"
Gwen Moore
",/personalities/gwen-moore/,"
stated on April 27, 2016 in a congressional hearing:
","
Water rates in Manila, Philippines, ""were raised up to 845 percent"" when a subsidiary of the World Bank became a partial owner.
 
",/factchecks/2016/may/12/gwen-moore/arm-world-bank-tied-8-fold-rise-water-rates-manila/,half-true,"
By Jon Greenberg • May 12, 2016
"
"
Bill McRaven
 ",/personalities/bill-mcraven/,"
stated on January 21, 2016 in addressing the Texas Higher Education Coordinating Board:
","
University of Texas undergraduate student debt ""is less than $21,000… probably one of the lowest debts across the nation.""
",/factchecks/2016/may/12/bill-mcraven/bill-mcraven-university-texas-says-ut-students-gra/,mostly-true,"
By W. Gardner Selby • May 12, 2016
"
"
Ed Gillespie
",/personalities/ed-gillespie/,"
stated on April 30, 2016 in a speech:
","
""For the first time in over 40 years, Republicans don’t hold a single statewide office"" in Virginia.
",/factchecks/2016/may/12/ed-gillespie/ed-gillespie-says-gop-shut-out-va-statewide-office/,true,"
By Sean Gorman • May 12, 2016
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on May 7, 2016 in a rally in Washington:
","
Says Hillary Clinton ""wants to abolish the Second Amendment.""
",/factchecks/2016/may/11/donald-trump/donald-trump-falsely-claims-hillary-clinton-wants-/,false,"
By Linda Qiu • May 11, 2016
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on May 4, 2016 in an interview with NBC News:
","
Germany ""is crime-riddled right now"" because of migration to Europe.
",/factchecks/2016/may/11/donald-trump/donald-trump-says-germany-now-riddled-crime-thanks/,barely-true,"
By C. Eugene Emery Jr. • May 11, 2016
"
"
Carlos Beruff
",/personalities/carlos-beruff/,"
stated on May 5, 2016 in a press release:
","
Says President Obama’s deal ""allows Iran to produce a nuclear weapon.""
",/factchecks/2016/may/11/carlos-beruff/deal-allows-iran-produce-nuclear-weapon-us-senate-/,false,"
By Joshua Gillin • May 11, 2016
"
"
Arizona Grassroots Action PAC
",/personalities/arizona-grassroots-action-pac/,"
stated on April 20, 2016 in a political advertisement:
","
Says former state Sen. Kelli Ward ""wanted to ban our intelligence agencies from operating in Arizona.""
",/factchecks/2016/may/11/arizona-grassroots-action-pac/pac-claims-former-arizona-senator-wanted-ban-intel/,barely-true,"
By Anthony Cave • May 11, 2016
"
"
Philadelphia Daily News
",/personalities/philadelphia-daily-news/,"
stated on April 14, 2016 in In an editorial:
","
If you don't buy cigarettes at your local supermarket, your grocery bill won't go up a dime. The same is true of the sugary drink tax. If passed, you can avoid paying the tax by not buying sugary drinks.
",/factchecks/2016/may/11/philadelphia-daily-news/rating-philly-daily-news-claim-its-not-grocery-tax/,half-true,"
By Mark Dent • May 11, 2016
"
"
Vernon Keenan
",/personalities/vernon-keenan/,"
stated on April 26, 2016 in Newspaper interview :
","
The city of Clarkston ""can’t decriminalize marijuana. Only state legislators and Congress can do that.""
",/factchecks/2016/may/11/vernon-keenan/georgias-top-cop-correct-about-citys-pot-plan/,true,"
By Jim Tharpe • May 11, 2016
"
"
Freedom Partners Action Fund
",/personalities/freedom-partners-action-fund/,"
stated on May 2, 2016 in a TV ad:
","
""Russ Feingold got a memo in 2009 that outlined veteran harm"" at a Wisconsin VA facility ""and nothing was done.""
",/factchecks/2016/may/11/freedom-partners-action-fund/attack-ad-says-ex-us-sen-russ-feingold-got-2009-me/,false,"
By Tom Kertscher • May 11, 2016
"
"
Loretta Sanchez
",/personalities/loretta-sanchez/,"
stated on May 11, 2016 in a debate:
","
""The Brady Campaign has given me a 100 percent, not 99, 100 percent rating.""
",/factchecks/2016/may/11/loretta-sanchez/loretta-sanchez-dodges-question-about-gun-liabilit/,half-true,"
By Jon Greenberg • May 11, 2016
"
"
Duf Sundheim
",/personalities/duf-sundheim/,"
stated on May 10, 2016 in a debate:
","
""There is a 34 percent increase in violent crime in the state of California. … And that’s just within the last year.""
",/factchecks/2016/may/11/duf-sundheim/duf-sundheim-wrongly-says-californias-violent-crim/,false,"
By Chris Nichols • May 11, 2016
"
"
Hillary Clinton
",/personalities/hillary-clinton/,"
stated on May 4, 2016 in an interview with CNN's Anderson Cooper:
","
""The market is making this decision. The market has driven down the cost of coal, so you have companies going bankrupt.""
",/factchecks/2016/may/10/hillary-clinton/hillary-clinton-says-market-forces-made-coal-compa/,mostly-true,"
By Lauren Carroll • May 10, 2016
"
"
David Jolly
",/personalities/david-jolly/,"
stated on April 25, 2016 in an Orlando debate:
","
Under a new federal regulation, it will cost Pinellas County ""$31 million to fix a single ditch.""
",/factchecks/2016/may/09/david-jolly/epa-regulation-will-force-31-million-upgrade-pinel/,barely-true,"
By Joshua Gillin • May 9, 2016
"
"
Joe Roman
",/personalities/joe-roman/,"
stated on April 25, 2016 in a Plain Dealer article:
 ","
Says $15-an-hour proposal in Cleveland is ""the most aggressive minimum wage increase in the country.""
 
",/factchecks/2016/may/09/joe-roman/15-minimum-wage-proposal-cleveland-most-aggressive/,true,"
By Nadia Pflaum • May 9, 2016
"
"
Joe Biden
",/personalities/joe-biden/,"
stated on April 29, 2016 in a speech at the Vatican:
","
""In the United States alone we lose more than 3,000 people a day to cancer.""
",/factchecks/2016/may/09/joe-biden/joe-biden-misstates-daily-deaths-united-states-can/,false,"
By Louis Jacobson • May 9, 2016
"
"
Roy Blunt
",/personalities/roy-blunt/,"
stated on April 18, 2016 in a petition against President Obama’s plan to close Guantanamo Bay:
","
""Jason Kander supports [Obama’s] plan to bring the remaining suspected terrorists to U.S. soil.""
",/factchecks/2016/may/09/roy-blunt/sen-blunt-misstates-opponent-jason-kanders-positio/,false,"
By Mary McIntyre • May 9, 2016
"
"
Ted Cruz
 ",/personalities/ted-cruz/,"
stated on March 28, 2016 in a campaign email:
","
""The Obama administration has even joined Islamist governments in sponsoring a U.N. resolution that would shred our First Amendment by threatening to make discussion of radical Islamism potentially illegal.""
 
",/factchecks/2016/may/09/ted-cruz/cruz-claims-obama-administration-sponsored-un-reso/,pants-fire,"
By Emma Hinchliffe • May 9, 2016
"
