name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Ending Spending Action Fund
",/personalities/ending-spending-action-fund/,"
stated on April 3, 2014 in a television ad:
","
Says Georgia Democratic Senate hopeful Michelle Nunn supports higher taxes.
",/factchecks/2014/apr/30/ending-spending-action-fund/group-attacks-michelle-nunn-tax-position/,barely-true,"
By Eric Stirgus • April 30, 2014
"
"
Mike Tate
",/personalities/mike-tate/,"
stated on April 18, 2014 in an interview:
","
Welcome to Wisconsin road signs have ""always been made in Wisconsin,"" but Scott Walker ""is outsourcing them"" to an out-of-state company and ""paying more money for them.""
",/factchecks/2014/apr/30/mike-tate/scott-walker-outsourced-making-welcome-wisconsin-r/,false,"
By Tom Kertscher • April 30, 2014
"
"
Dawson Hodgson
",/personalities/dawson-hodgson/,"
stated on March 27, 2014 in a TV interview:
","
The Rhode Island Parole Board ""never received an objection from the attorney general"" to the parole of  convicted murder Alfred Brissette.
",/factchecks/2014/apr/30/dawson-hodgson/dawson-hodgson-says-ri-attorney-general-peter-kilm/,true,"
By John Hill • April 30, 2014
"
"
Barack Obama
",/personalities/barack-obama/,"
stated on April 26, 2014 in a weekly address:
","
""The average minimum wage worker is 35 years old.""
",/factchecks/2014/apr/29/barack-obama/barack-obama-says-average-minimum-wage-worker-35-y/,barely-true,"
By Louis Jacobson • April 29, 2014
"
"
Rush Limbaugh
",/personalities/rush-limbaugh/,"
stated on April 28, 2014 in comments on his radio show:
","
""Some of the wealthiest Americans are African-American now.""
",/factchecks/2014/apr/29/rush-limbaugh/limbaugh-some-wealthiest-americans-are-african-ame/,false,"
By Aaron Sharockman • April 29, 2014
"
"
Marco Rubio
",/personalities/marco-rubio/,"
stated on April 25, 2014 in a speech to the NRA:
","
""No other country has a constitutional right"" like the Second Amendment.
",/factchecks/2014/apr/29/marco-rubio/marco-rubio-says-second-amendment-unique-speech-nr/,mostly-true,"
By Amy Sherman • April 29, 2014
"
"
The David Perdue Files
",/personalities/david-perdue-files/,"
stated on April 21, 2014 in a website:
","
David Perdue supports Common Core
",/factchecks/2014/apr/29/david-perdue-files/common-core-claim-doesnt-make-grade/,barely-true,"
By Eric Stirgus • April 29, 2014
"
"
Rand Paul
",/personalities/rand-paul/,"
stated on April 23, 2014 in a news conference:
","
40 percent of illegal immigrants ""had a visa and then became illegal,"" mostly because ""they changed jobs.""
",/factchecks/2014/apr/29/rand-paul/big-reason-illegal-immigrants-become-illegal-they-/,half-true,"
By Tom Kertscher • April 29, 2014
"
"
Drudge Report
",/personalities/drudge-report/,"
stated on April 27, 2014 in a tweet:
","
Says Los Angeles Clippers owner Donald ""Sterling is a Democrat.""
 
",/factchecks/2014/apr/28/drudge-report/drudge-says-clippers-owner-democrat/,pants-fire,"
By Jon Greenberg • April 28, 2014
"
"
David Dewhurst
",/personalities/david-dewhurst/,"
stated on April 16, 2014 in a video ad:
","
Dan Patrick ""got caught not paying his taxes"" and ""pocketed his employees’ payroll taxes.""

",/factchecks/2014/apr/28/david-dewhurst/ad-distorts-dan-patricks-unpaid-taxes-1980s/,half-true,"
By W. Gardner Selby • April 28, 2014
"
"
Julián Castro
",/personalities/julian-castro/,"
stated on April 15, 2014 in a debate over immigration issues with state Sen. Dan Patrick:
","
Up ""to 45 percent"" of illegal immigrants ""are not people that physically crossed the southern border or northern border. They are visa overstayers.""
",/factchecks/2014/apr/28/julian-castro/eight-year-old-estimate-basis-claim-45-percent-ill/,mostly-true,"
By W. Gardner Selby • April 28, 2014
"
"
Eric Cantor
",/personalities/eric-cantor/,"
stated on April 22, 2014 in a TV ad.:
","
Dave Brat ""worked on Democrat Gov. Tim Kaine’s Council of Economic Advisors while Kaine tried to raise our taxes by over $1 billion.""
",/factchecks/2014/apr/28/eric-cantor/eric-cantor-says-dave-brat-advised-served-economic/,mostly-true,"
By Nancy Madsen • April 28, 2014
"
"
Andrew Napolitano
",/personalities/andrew-napolitano/,"
stated on April 23, 2014 in an interview on ""Hannity"":
","
""The Constitution simply does not authorize the federal government to own any of this land (in the Western states).""
",/factchecks/2014/apr/28/andrew-napolitano/napolitano-washington-lacks-constitutional-right-o/,pants-fire,"
By Jon Greenberg • April 28, 2014
"
"
Annette Taddeo
",/personalities/annette-taddeo-goldstein/,"
stated on April 21, 2014 in an interview on MSNBC:
","
""Over 20 percent of the electorate is Hispanic"" in Florida.
",/factchecks/2014/apr/28/annette-taddeo-goldstein/rick-scott-and-charlie-crist-battle-hispanic-vote-/,half-true,"
By Amy Sherman • April 28, 2014
 "
"
Don Balfour
",/personalities/don-balfour/,"
stated on April 15, 2014 in campaign flier:
","
""I am the only senator who turned down the state pension plan for part-time legislators.""
",/factchecks/2014/apr/28/don-balfour/balfour-declined-legislative-pension/,true,"
By Nancy Badertscher • April 28, 2014
"
"
Alicia Menendez
",/personalities/alicia-menendez/,"
stated on April 27, 2014 in comments on ABC's ""This Week"":
","
""A white family is likely to have about six times as much wealth than a black or Hispanic family coming out of the recession.""
",/factchecks/2014/apr/27/alicia-menendez/menendez-white-family-likely-have-6-times-much-wea/,true,"
By Julie Kliegman • April 27, 2014
"
"
Neera Tanden
",/personalities/neera-tanden/,"
stated on April 27, 2014 in comments on NBC's ""Meet the Press"":
","
""95 percent of the income gains in the last few years have gone to the top 1 percent.""
",/factchecks/2014/apr/27/neera-tanden/tanden-95-percent-income-gains-last-few-years-have/,mostly-true,"
By Jon Greenberg • April 27, 2014
"
"
Scott Walker
",/personalities/scott-walker/,"
stated on April 16, 2014 in a radio interview:
","
""In 2013 we had the largest, the best, private sector job growth we’ve had in this state since the 1990s.""
",/factchecks/2014/apr/27/scott-walker/scott-walker-says-2013-job-growth-wisconsin-was-be/,mostly-true,"
By Dave Umhoefer • April 27, 2014
"
"
Gina Raimondo
",/personalities/gina-raimondo/,"
stated on April 3, 2014 in a website statement:
","
""My Treasury team eliminated a 900-case backlog in the Crime Victim Compensation Program.""
",/factchecks/2014/apr/27/gina-raimondo/raimondo-touts-having-cleared-900-claims-backlogge/,true,"
By John Hill • April 27, 2014
"
"
Democratic Party of Virginia
",/personalities/democratic-party-virginia/,"
stated on March 24, 2014 in news release.:
","
Ed Gillespie’s 2006 book ""promoted an individual health care mandate, and recommends that it be enforced by the IRS through the income tax code.""
",/factchecks/2014/apr/27/democratic-party-virginia/democrats-say-ed-gillespies-book-promoted-individu/,mostly-true,"
By Sean Gorman • April 27, 2014
"
"
Young Conservatives of Texas
",/personalities/young-conservatives-texas/,"
stated on March 13, 2014 in a press release:
","
Ryan Sitton’s company ""accepted over $650,000 in Obama stimulus dollars.""
",/factchecks/2014/apr/25/young-conservatives-texas/company-led-ryan-sitton-applied-government-constru/,false,"
By W. Gardner Selby • April 25, 2014
"
"
Thom Tillis
",/personalities/thom-tillis/,"
stated on April 15, 2014 in a TV ad:
","
Says a pro-Democratic ad is ""false"" for saying that he allowed two disgraced staffers in 2012 to ""resign.""
",/factchecks/2014/apr/25/thom-tillis/thom-tillis-senate-majority-pac-disagree-disgraced/,barely-true,"
By Julie Kliegman • April 25, 2014
"
"
Facebook posts
",/personalities/facebook-posts/,"
stated on April 25, 2014 in a meme shared on social media:
","
""Over 300K home owner suicides attributed to foreclosures.""
",/factchecks/2014/apr/25/facebook-posts/social-media-meme-says-300000-suicides-are-attribu/,pants-fire,"
By Louis Jacobson • April 25, 2014
"
"
Mark Udall
",/personalities/mark-udall/,"
stated on April 21, 2014 in a campaign ad:
","
Says Cory Gardner ""championed an eight-year crusade to outlaw birth control here in Colorado.""
",/factchecks/2014/apr/25/mark-udall/mark-udall-says-cory-gardner-championed-colorado-f/,half-true,"
By Steve Contorno • April 25, 2014
"
"
Chain email
",/personalities/chain-email/,"
stated on April 3, 2014 in a chain email:
","
Because the EPA closed a lead smelter in Missouri, ""all lead for bullets will have to come from overseas!""
",/factchecks/2014/apr/25/chain-email/lead-bullets-will-have-come-overseas-after-epa-clo/,pants-fire,"
By Amy Sherman • April 25, 2014
"
"
MSNBC
",/personalities/msnbc/,"
stated on April 25, 2014 in a graphic during ""The Daily Rundown"":
","
Says Charlie Crist's campaign bashed Sen. Bill Nelson's ""big-government solutions.""
",/factchecks/2014/apr/25/msnbc/msnbc-labels-florida-republican-charlie-crist-advi/,pants-fire,"
By Katie Sanders • April 25, 2014
"
"
Jimmy Carter
",/personalities/jimmy-carter/,"
stated on April 6, 2014 in interview while promoting book:
","
Atlanta is the No. 1 trading point for sexual slavery in America. Between 100 and 200 girls are sold into slavery in Atlanta every month.
",/factchecks/2014/apr/25/jimmy-carter/politifact-sex-trafficking-plagues-atlanta-carter-/,half-true,"
By Nancy Badertscher • April 25, 2014
"
"
Bloggers
",/personalities/blog-posting/,"
stated on April 17, 2014 in multiple blog and video posts:
","
The Bundy Ranch deal is all about Nevada Sen. Harry Reid ""using federal violence to take people’s land in his state so he can package it to re-sell it to the Chinese.""
",/factchecks/2014/apr/24/blog-posting/did-sen-harry-reid-drive-standoff-bundy-ranch-pers/,pants-fire,"
By Jon Greenberg • April 24, 2014
"
