name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Barack Obama
",/personalities/barack-obama/,"
stated on September 6, 2012 in a speech at the Democratic National Convention in Charlotte, N.C.:
","
""After 30 years of inaction, we raised fuel standards so that by the middle of the next decade, cars and trucks will go twice as far on a gallon of gas.""
",/factchecks/2012/sep/10/barack-obama/obama-fuel-standards-inaction/,half-true,"
By Becky Bowers • September 10, 2012
"
"
Julián Castro
",/personalities/julian-castro/,"
stated on September 9, 2012 in an interview on ""Meet the Press."":
","
""We’re seeing now 30 straight months of private-sector job growth, 4.6 million jobs created.""
",/factchecks/2012/sep/10/julian-castro/julian-castro-says-united-states-has-had-30-straig/,mostly-true,"
By W. Gardner Selby • September 10, 2012
"
"
Bill Clinton
",/personalities/bill-clinton/,"
stated on September 5, 2012 in a convention speech:
","
The Obama administration is allowing state waivers from welfare work requirements ""only if they had a credible plan to increase employment by 20 percent.""
",/factchecks/2012/sep/10/bill-clinton/bill-clinton-says-obama-administration-trying-boos/,true,"
By Molly Moorhead • September 10, 2012
"
"
Upendra Chivukula
",/personalities/upendra-chivukula/,"
stated on August 31, 2012 in an interview on NJToday:
","
Says Republicans ""have declared that they’re going to convert the Medicare program into a voucher program.""
",/factchecks/2012/sep/10/upendra-chivukula/republicans-plan-convert-medicare-voucher-program-/,mostly-true,"
By Bill Wichert • September 10, 2012
"
"
Mike Berlon
",/personalities/mike-berlon/,"
stated on September 3, 2012 in an article:
","
""We know there are more Democrats in Georgia than Republicans. We know that for a fact.""
",/factchecks/2012/sep/10/mike-berlon/which-party-has-more-supporters/,barely-true,"
By Janel Davis • September 10, 2012
"
"
Eric Cantor
",/personalities/eric-cantor/,"
stated on August 29, 2012 in an email.:
","
Wayne Powell has a ""stated position of having no objection to taking `In God We Trust"" off of U.S. currency.""
",/factchecks/2012/sep/10/eric-cantor/eric-cantor-says-wayne-powell-doesnt-object-taking/,true,"
By Warren Fiske • September 10, 2012
"
"
Joe Biden
",/personalities/joe-biden/,"
stated on September 2, 2012 in a speech:
","
""$500 billion of the extension of the Bush tax cuts for the wealthy goes to 120,000 families.""
 
",/factchecks/2012/sep/09/joe-biden/biden-says-500-billion-bush-tax-cuts-wealthy-would/,mostly-true,"
By Dave Umhoefer • September 9, 2012
"
"
Cory Booker
",/personalities/cory-booker/,"
stated on September 5, 2012 in an interview with #waywire:
","
Says the Republican Party platform says ""pull back even more of the rules on campaign finance reform, get rid of McCain-Feingold"" while the Democratic Party platform says ""we want to find a way to put more fair rules on campaign finance reform.""
",/factchecks/2012/sep/09/cory-booker/cory-booker-says-views-campaign-finance-reform-hig/,true,"
By Erin O'Neill • September 9, 2012
"
"
Ann McLane Kuster
",/personalities/ann-mclane-kuster/,"
stated on August 31, 2012 in a press release sent to The Telegraph on Aug. 31, 2012:
","
Says Charlie Bass forfeits right to equal cost for TV ads under FCC rules
",/factchecks/2012/sep/07/ann-mclane-kuster/ann-mclane-kuster-accused-charlie-bass-dirty-campa/,false,"
By Maryalice Gill • September 7, 2012
"
"
CNSNews
",/personalities/cnsnews/,"
stated on August 10, 2012 in a news article.:
","
Says ""under Oregon law, girls from 15 years of age and up are given complete control over whether to be sterilized or not.""
",/factchecks/2012/sep/07/cnsnews/oregon-do-15-year-olds-have-complete-control-over-/,false,"
By Ian K. Kullgren • September 7, 2012
"
