name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Samuel Wurzelbacher
",/personalities/samuel-wurzelbacher/,"
stated on June 4, 2012 in a campaign video:
","
""Marcy Kaptur voted against a ban which would have prevented the aborting of a baby girl for the sole reason that she's a girl.""
",/factchecks/2012/jun/12/samuel-wurzelbacher/samuel-joe-plumber-wurzelbacher-says-marcy-kaptur-/,mostly-true,"
By Tom Feran • June 12, 2012
"
"
Sam Adams
",/personalities/sam-adams/,"
stated on June 7, 2012 in in a tweet.:
","
Says ""only 18 percent of Portland elementary schools have art instruction compared to 83 percent nationally.""
",/factchecks/2012/jun/11/sam-adams/do-only-18-percent-portland-elementary-schools-off/,true,"
By Ian K. Kullgren • June 11, 2012
"
"
Barack Obama
",/personalities/barack-obama/,"
stated on June 4, 2012 in a campaign ad:
","
""Romney outsourced call center jobs to India.""  
",/factchecks/2012/jun/11/barack-obama/obama-ad-says-romney-outsourced-massachusetts-jobs/,half-true,"
By Molly Moorhead • June 11, 2012
"
"
Mitt Romney
",/personalities/mitt-romney/,"
stated on June 8, 2012 in a campaign ad:
","
As governor of Massachusetts, ""Romney reduced unemployment to just 4.7 percent.""
",/factchecks/2012/jun/11/mitt-romney/mitt-romney-says-massachusetts-unemployment-hit-47/,half-true,"
By Louis Jacobson • June 11, 2012
"
"
Bob McDonnell
",/personalities/bob-mcdonnell/,"
stated on May 28, 2012 in a speech.:
","
Virginia ""is home to more veterans per capita than any state in America.""
",/factchecks/2012/jun/11/bob-mcdonnell/bob-mcdonnell-no-1-state-veterans-capita/,false,"
By Nancy Madsen • June 11, 2012
"
"
Conservative Republicans of Texas PAC
",/personalities/connservative-republicans-texas-pac/,"
stated on May 24, 2012 in a PAC website.:
","
Says Jeff Wentworth, bending the rules, ""has used $211,743.96 in campaign contributions to lease luxury cars.""
",/factchecks/2012/jun/11/connservative-republicans-texas-pac/political-group-says-jeff-wentworth-bending-rules-/,barely-true,"
By Sue Owen • June 11, 2012
"
"
Jeff Fitzgerald
",/personalities/jeff-fitzgerald/,"
stated on March 21, 2012 in an interview:
","
""Minnesota has passed and Indiana has passed"" right to work laws making union membership and dues optional
",/factchecks/2012/jun/11/jeff-fitzgerald/rep-jeff-fitzgerald-says-minnesota-and-indiana-hav/,half-true,"
By Dave Umhoefer • June 11, 2012
"
"
Chris Christie
",/personalities/chris-christie/,"
stated on June 6, 2012 in a town hall meeting:
","
""When I was U.S. Attorney we wound up putting 10 percent of the state Legislature in jail during my seven years.""
",/factchecks/2012/jun/11/chris-christie/chris-christie-said-while-he-was-us-attorney-10-pe/,false,"
By Erin O'Neill • June 11, 2012
"
"
Paul Broun
",/personalities/paul-broun/,"
stated on May 23, 2012 in a television interview:
","
A new manufacturing plant is slated to create about 3,000 jobs in central and northeast Georgia and ""create about a $3 billion infusion"" into the economy.
",/factchecks/2012/jun/11/paul-broun/broun-manufacturing-claim-based-weak-proof/,half-true,"
By Willoughby Mariano • June 11, 2012
"
"
Diane Black
",/personalities/diane-black/,"
stated on June 1, 2012 in a press release.:
","
 The United States has experienced ""40 straight months of unemployment at 8 percent or higher.""
",/factchecks/2012/jun/11/diane-black/tennessee-congresswoman-diane-black-says-jobless-r/,true,"
By Michael Collins • June 11, 2012
"
