name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Bloggers
",/personalities/blog-posting/,"
stated on September 25, 2015 in posts on the Internet:
","
Democratic Sens. Ed Markey, Al Franken and Jeanne Shaheen ""took Bribes From Iran … They Back Insane NUKE Deal.""
",/factchecks/2015/sep/01/blog-posting/internet-posts-say-three-democratic-senators-took-/,pants-fire,"
By Louis Jacobson • September 1, 2015
"
"
Rick Santorum
",/personalities/rick-santorum/,"
stated on August 28, 2015 in an interview with Bill Maher.:
","
""The most recent survey of climate scientists said about 57 percent don’t agree with the idea that 95 percent of the change in the climate is caused by CO2.""
",/factchecks/2015/sep/01/rick-santorum/santorum-cites-flawed-climate-change-figure-and-mi/,false,"
By Linda Qiu • September 1, 2015
"
"
Eric Bolling
",/personalities/eric-bolling/,"
stated on August 27, 2015 in a broadcast of ""The Five"" on Fox News:
","
""In countries where there are higher, more strict gun laws, there is more gun violence.""
",/factchecks/2015/sep/01/eric-bolling/fox-news-bolling-misstates-tie-between-gun-laws-an/,false,"
By Jon Greenberg • September 1, 2015
"
"
Credo Action
",/personalities/credo-action/,"
stated on August 27, 2015 in a YouTube video:
","
The Obama administration is ""proposing to mine another 10 billion tons of Wyoming coal, which would unleash three times more carbon pollution than Obama's Clean Power Plan would even save through 2030.""
",/factchecks/2015/sep/01/credo-action/obamas-words-and-actions-climate-dont-match-activi/,barely-true,"
By Lauren Carroll • September 1, 2015
"
"
Gwen Moore
",/personalities/gwen-moore/,"
stated on August 26, 2015 in comments to reporters:
","
Says Scott Walker ""brags a lot about having an independent agency investigate police shootings. Of course, he didn’t fund it.""
",/factchecks/2015/sep/01/gwen-moore/scott-walker-didnt-fund-law-requiring-independent-/,barely-true,"
By Tom Kertscher • September 1, 2015
"
"
Dan Gecker
",/personalities/dan-gecker/,"
stated on August 18, 2015 in a candidates' forum.:
","
""Of the 25 wealthiest nations, we're the only one that doesn't provide basic health coverage.""
 
",/factchecks/2015/sep/01/dan-gecker/dan-gecker-says-us-only-wealth-nation-without-univ/,true,"
By Sean Gorman • September 1, 2015
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on August 28, 2015 in an interview with Sarah Palin:
","
""We have 93 million people out of work. They look for jobs, they give up, and all of a sudden, statistically, they're considered employed.""
",/factchecks/2015/aug/31/donald-trump/donald-trump-says-us-has-93-milion-people-out-work/,false,"
By Louis Jacobson • August 31, 2015
"
"
Jeb Bush
",/personalities/jeb-bush/,"
stated on August 27, 2015 in a campaign video:
","
""I released all my emails.""
",/factchecks/2015/aug/31/jeb-bush/jeb-bush-says-he-has-released-all-his-emails/,barely-true,"
By Joshua Gillin • August 31, 2015
"
"
Dave Brat
",/personalities/dave-brat/,"
stated on August 10, 2015 in a speech.:
","
""I was one of the few, very few, who voted `no’ on the Iran deal.""
",/factchecks/2015/aug/31/dave-brat/brat-says-hes-among-very-few-who-voted-against-ira/,false,"
By Warren Fiske • August 31, 2015
"
"
National Republican Senatorial Committee
",/personalities/national-republican-senatorial-committee/,"
stated on August 7, 2015 in a news release:
","
Says Russ Feingold cast the ""deciding vote"" for the ""largest tax increase"" in history
",/factchecks/2015/aug/31/national-republican-senatorial-committee/republican-group-says-russ-feingold-cast-deciding-/,barely-true,"
By Lucas Daprile • August 31, 2015
"
"
Bobby Jindal
",/personalities/bobby-jindal/,"
stated on August 30, 2015 in comments on ABC's ""This Week"":
","
""I'm the only (Republican) candidate that has actually reduced the size of government.""
",/factchecks/2015/aug/30/bobby-jindal/bobby-jindal-im-only-candidate-has-actually-reduce/,half-true,"
By Linda Qiu • August 30, 2015
"
"
Bernie Sanders
",/personalities/bernie-sanders/,"
stated on August 30, 2015 in comments on ABC's ""This Week"":
","
""Saudi Arabia has the third-largest military budget in the entire world.""
",/factchecks/2015/aug/30/bernie-sanders/bernie-sanders-saudi-arabia-has-third-largest-mili/,true,"
By Will Cabaniss • August 30, 2015
"
"
Bernie Sanders
",/personalities/bernie-sanders/,"
stated on August 12, 2015 in web site:
","
""African Americans are twice as likely to be arrested and almost four times as likely to experience the use of force during encounters with the police.""
 
",/factchecks/2015/aug/30/bernie-sanders/bernie-sanders-right-police-do-treat-african-ameri/,mostly-true,"
By Mark Reynolds • August 30, 2015
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on August 24, 2015 in an interview on ""Fox & Friends"":
","
""We’re the most highly taxed nation in the world.""
",/factchecks/2015/aug/28/donald-trump/donald-trump-says-us-most-highly-taxed-nation-worl/,false,"
By Louis Jacobson • August 28, 2015
"
"
Hillary Clinton
",/personalities/hillary-clinton/,"
stated on August 25, 2015 in a tweet:
","
""How do Jeb Bush and Donald Trump differ on immigration? Spoiler alert: They don't.""
 
",/factchecks/2015/aug/28/hillary-clinton/hillary-clinton-says-jeb-bush-and-donald-trump-sha/,barely-true,"
By Amy Sherman • August 28, 2015
"
