name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Sam Olens
",/personalities/sam-olens/,"
stated on August 4, 2011 in a talk at the Atlanta Press Club:
","
There are cities and counties in Georgia that don’t have websites, and where elected officials don’t have email addresses.
",/factchecks/2011/aug/12/sam-olens/olens-some-georgia-counties-cities-lack-websites-e/,true,"
By Willoughby Mariano • August 12, 2011
"
"
John Kasich
",/personalities/john-kasich/,"
stated on July 28, 2011 in an interview:
","

On how money from a possible lease of the Ohio Turnpike would be used
",/factchecks/2011/aug/11/john-kasich/has-gov-john-kasich-veered-his-vow-use-turnpike-pr/,half-flip,"
By Reginald Fields • August 11, 2011
"
"
Rick Scott
",/personalities/rick-scott/,"
stated on August 5, 2011 in TV interview:
","
High-speed rail would have cost Florida taxpayers $1 billion to build.
",/factchecks/2011/aug/11/rick-scott/gov-scott-says-rail-would-have-cost-state-taxpayer/,false,"
By Amy Sherman • August 11, 2011
"
"
Democratic Party of Wisconsin
",/personalities/state-democratic-party-wisconsin/,"
stated on August 9, 2011 in a television interview:
","
""Two elections in a row (Waukesha County Clerk Kathy Nickolaus) has screwed up counting the vote""
 
",/factchecks/2011/aug/11/state-democratic-party-wisconsin/democratic-party-wisconsin-chairman-mike-tate-says/,pants-fire,"
By Dave Umhoefer • August 11, 2011
"
"
Richard Codey
",/personalities/richard-codey/,"
stated on July 11, 2011 in a speech on the Senate floor:
","
""One in every five families in the state of New Jersey has a loved one with a mental illness, a serious mental illness, and today, we don’t care."" 
",/factchecks/2011/aug/11/richard-codey/sen-codey-says-1-5-new-jersey-families-has-loved-o/,true,"
By Caryn Shinske • August 11, 2011
"
"
Marcia Fudge
",/personalities/marcia-fudge/,"
stated on July 13, 2011 in a news conference on voting rights:
","
Says that voter identification laws ""keep poor people from voting, minorities from voting, the elderly from voting, students from voting.""
",/factchecks/2011/aug/10/marcia-fudge/rep-marcia-fudge-says-11-percent-eligible-voters-l/,half-true,"
By Stephen Koff • August 10, 2011
"
"
Adam Hasner
",/personalities/adam-hasner/,"
stated on August 8, 2011 in a news release:
","
""George LeMieux voted against the majority of Republicans and joined with Democrats to create a 'Task Force For Responsible Fiscal Action' that looks strikingly similar to the 'Super Committee' now being set up in Washington to justify massive tax hikes.""
",/factchecks/2011/aug/10/adam-hasner/adam-hasner-says-george-lemieux-voted-against-his-/,half-true,"
By Becky Bowers • August 10, 2011
"
"
Ron Paul
",/personalities/ron-paul/,"
 stated on July 18, 2011 in a television campaign ad:
","
""In the '80s, Democrats promised spending cuts, but delivered only tax hikes.""
",/factchecks/2011/aug/10/ron-paul/ron-pau-ad-says-democrats-only-want-tax-increases/,false,"
By Maryalice Gill • August 10, 2011
"
"
Georgia Department of Transportation
",/personalities/billboard-spaghetti-junction/,"
stated on July 19, 2011 in a press release:
","
The Northwest Corridor highway project in Cobb and Cherokee counties ""is expected to create over 9,700 jobs statewide.""
",/factchecks/2011/aug/10/billboard-spaghetti-junction/gdot-road-construction-bring-9700-jobs/,false,"
By PolitiFact Staff • August 10, 2011
"
"
Tim Ryan
",/personalities/tim-ryan/,"
stated on July 14, 2011 in a House of Representatives floor speech:
","
""We’re only spending 2 percent of our GDP on our infrastructure, while China and India are spending 10 percent of their GDP reinvesting back into their country.""
 
",/factchecks/2011/aug/10/tim-ryan/rep-tim-ryan-says-china-and-india-outspend-us-infr/,mostly-true,"
By Sabrina Eaton • August 9, 2011
"
"
Newt Gingrich
",/personalities/newt-gingrich/,"
stated on July 31, 2011 in a newspaper interview:
","
Says his Twitter account has 1.3 million followers.
",/factchecks/2011/aug/09/newt-gingrich/gingrich-twitter-account-has-13-million-followers/,barely-true,"
By Eric Stirgus • August 9, 2011
"
"
Tom Kean
",/personalities/tom-kean-sr/,"
stated on August 1, 2011 in a question-and-answer column in The Star-Ledger:
","
""I built the last nuclear plant — not only in the state, but in the country.""
",/factchecks/2011/aug/09/tom-kean-sr/former-gov-tom-kean-says-he-built-last-nuclear-pow/,half-true,"
By Erin O'Neill • August 9, 2011
"
"
Jim DeMint
",/personalities/jim-demint/,"
stated on August 3, 2011 in an interview with ""The State"" newspaper:
","
The debt-ceiling bill ""doesn’t cut the debt. It will add about $7 trillion in new debt over the next 10 years.""
",/factchecks/2011/aug/08/jim-demint/jim-demint-says-debt-ceiling-bill-wont-actually-cu/,barely-true,"
By Louis Jacobson • August 8, 2011
"
"
Jon Huntsman
",/personalities/jon-huntsman/,"
stated on August 2, 2011 in a campaign appearance in Milford, N.H. :
","
The United States has ""the longest surviving constitution.""
",/factchecks/2011/aug/08/jon-huntsman/oldest-surviving-one-document-text/,mostly-true,"
By Jake Berry • August 8, 2011
"
"
George LeMieux
",/personalities/george-lemieux/,"
stated on August 1, 2011 in a Web post Aug. 1, 2011:
","
Says Adam Hasner’s record includes ""requesting over $92.2 million in earmarks.""
",/factchecks/2011/aug/08/george-lemieux/george-lemieux-attacks-adam-hasners-over-922-milli/,mostly-true,"
By Becky Bowers • August 8, 2011
"
"
Tim Grendell
",/personalities/tim-grendell/,"
stated on June 28, 2011 in a speech in the Ohio Senate:
","
""You might be surprised to know that 137 billion gallons flows (into Lake Erie) every day. You might be surprised to know that only 86.3 billion gallons flow out. ... Leaving us a net surplus of approximately 50 billion gallons a day.""
",/factchecks/2011/aug/08/tim-grendell/state-sen-tim-grendell-claims-more-water-flows-lak/,false,"
By Aaron Marshall • August 8, 2011
"
"
Saxby Chambliss
",/personalities/saxby-chambliss/,"
stated on August 2, 2011 in a press release:
","
The deal to raise the federal debt limit created the ""largest debt ceiling increase in America’s history.""
",/factchecks/2011/aug/08/saxby-chambliss/chambliss-debt-ceiling-deal-creates-largest-increa/,mostly-true,"
By Willoughby Mariano • August 8, 2011
"
"
Jack Conners
",/personalities/jack-conners/,"
stated on July 16, 2011 in an opinion column in the Times of Trenton:
","
""Almost 88,000 United States service members are still missing and unaccounted for, dating back to World War II.""
",/factchecks/2011/aug/08/jack-conners/assemblyman-jack-conners-says-almost-88000-us-serv/,mostly-true,"
By Erin O'Neill • August 8, 2011
"
"
Lamar Smith
",/personalities/lamar-smith/,"
stated on July 12, 2011 in a legislative proposal.:
","
On applying prosecutorial discretion to immigration cases.
",/factchecks/2011/aug/07/lamar-smith/lamar-smith-urged-immigration-authoritiesa-apply-d/,full-flop,"
By W. Gardner Selby • August 7, 2011
"
"
Alison Littell McHose
",/personalities/alison-littell-mchose/,"
stated on June 30, 2011 in a news release:
","
""Illegal immigration costs state taxpayers over $3 billion every year.""  
",/factchecks/2011/aug/07/alison-littell-mchose/assemblywoman-mchose-says-illegal-immigration-cost/,false,"
By Caryn Shinske • August 7, 2011
"
"
Daniel McKee
",/personalities/daniel-mckee/,"
stated on August 2, 2011 in a radio interview:
","
Central Falls ""schools are overfunded by state money by as much as $8 million.""
",/factchecks/2011/aug/07/daniel-mckee/cumberland-mayor-mckee-says-rhode-island-giving-ce/,half-true,"
By C. Eugene Emery Jr. • August 7, 2011
"
"
Rick Perry
",/personalities/rick-perry/,"
stated on July 24, 2011 in an interview.:
","
Says Texas has ""the fourth-lowest debt per capita of any state in the nation, and we are the lowest of any of the big states.""
",/factchecks/2011/aug/06/rick-perry/rick-perry-says-texas-has-lowest-capita-state-debt/,mostly-true,"
By W. Gardner Selby • August 6, 2011
"
