name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Paul Ryan
",/personalities/paul-ryan/,"
stated on January 5, 2017 in a press briefing:
","
""Obamacare has failed.""
",/factchecks/2017/feb/01/paul-ryan/paul-ryans-damning-claim-affordable-care-act-obama/,barely-true,"
By Tom Kertscher • February 1, 2017
"
"
Sean Spicer
",/personalities/sean-spicer/,"
stated on January 30, 2017 in a daily press briefing:
","
The language that's part of the president's National Security Council memo ""is identical to the language"" used by President George W. Bush in 2001 and President Barack Obama in 2009.
",/factchecks/2017/jan/31/sean-spicer/spicers-misleading-claim-trumps-national-security-/,barely-true,"
By Linda Qiu • January 31, 2017
"
"
Bloggers
",/personalities/blog-posting/,"
stated on January 9, 2017 in a headline:
","
Says ""Meryl Streep just got fired from a major project for lying about Trump.""
",/factchecks/2017/jan/31/blog-posting/no-meryl-streeps-anti-trump-rant-didnt-cost-her-ha/,pants-fire,"
By Joshua Gillin • January 31, 2017
"
"
John Cornyn
",/personalities/john-cornyn/,"
stated on November 22, 2016 in a letter to Homeland Security Secretary Jeh Johnson:
","
Says the Department of Homeland Security didn't request any hours of aerial surveillance for the U.S.-Mexico border from the Department of Defense for 2017.
",/factchecks/2017/jan/31/john-cornyn/texans-led-john-cornyn-claim-obama-administration-/,barely-true,"
By Fauzeya Rahman • January 31, 2017
"
"
Mario Diaz-Balart
",/personalities/mario-diaz-balart/,"
stated on January 30, 2017 in a press release:
","
Says former President Barack Obama ""took similar action against Cuban refugees"" as President Donald Trump did in his executive order.
",/factchecks/2017/jan/31/mario-diaz-balart/trumps-immigration-ban-comparable-obamas-cuba-rule/,false,"
By Amy Sherman • January 31, 2017
"
"
Joe DeFelice
",/personalities/joe-defelice/,"
stated on January 25, 2017:
","
""From the release of a child rapist from the Dominican Republican to that of an Italian drug smuggler, Philadelphians have already been put in direct danger by Mayor Kenney’s policy of blocking local law enforcement from participating with federal immigration authorities.""
",/factchecks/2017/jan/31/joe-defelice/phillys-sanctuary-city-status-putting-residents-da/,barely-true,"
By Cassie Owens • January 31, 2017
"
"
Don Willett
",/personalities/don-willett/,"
stated on January 12, 2017 in a speech at a Texas Public Policy Foundation event:
","
""The overwhelming majority of America’s elite universities, they no longer require history majors to take a single course in American history.""
",/factchecks/2017/jan/30/don-willett/don-willett-elite-universities-dont-require-us-his/,mostly-true,"
By W. Gardner Selby • January 30, 2017
"
"
Kellyanne Conway
",/personalities/kellyanne-conway/,"
stated on January 27, 2017 in an interview with ""CBS This Morning"":
","
""Here's the fact: The No. 1 source of income into Mexico are Mexicans working here and sending the money back.""
",/factchecks/2017/jan/30/kellyanne-conway/kellyanne-conway-incorrect-worker-remittances-mexi/,false,"
By Louis Jacobson • January 30, 2017
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on January 29, 2017 in a statement:
","
""My policy is similar to what President Obama did in 2011 when he banned visas for refugees from Iraq for six months.""
",/factchecks/2017/jan/30/donald-trump/why-comparing-trumps-and-obamas-immigration-restri/,barely-true,"
By Linda Qiu • January 30, 2017
"
"
Deborah Glick
",/personalities/deborah-glick/,"
stated on January 17, 2017 in a debate in the Assembly chamber:
 ","
""New York state law says you are alive when you begin to breathe.""
",/factchecks/2017/jan/30/deborah-glick/new-yorks-definition-when-fetus-becomes-person/,mostly-true,"
By Dan Clark • January 30, 2017
"
"
Jerrold Nadler
",/personalities/jerrold-nadler/,"
stated on January 28, 2017 in a CNN interview:
","
""The various people who have, in fact, committed terrorist acts in this country, from 9/11 on, none of them came from any of the seven countries that are the subject of the president's executive order.""
",/factchecks/2017/jan/29/jerrold-nadler/have-there-been-terrorist-attacks-post-911-countri/,half-true,"
By Miriam Valverde • January 29, 2017
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on January 27, 2017 in an interview with CBN:
","
""If you were a Muslim, you could come in, if you were a Christian, it was impossible.""
",/factchecks/2017/jan/29/donald-trump/no-evidence-trump-claim-it-was-impossible-syrian-c/,false,"
By Linda Qiu • January 29, 2017
"
"
Andrew Cuomo
",/personalities/andrew-cuomo/,"
stated on January 17, 2017 in his executive budget presentation:
","
""Thirty years ago we were the most college-educated country on the globe. Today we are No. 11.""
",/factchecks/2017/jan/27/andrew-cuomo/us-no-longer-has-highest-proportion-college-educat/,half-true,"
By Dan Clark • January 27, 2017
"
"
Duane Hall
",/personalities/duane-hall/,"
stated on December 9, 2016 in a speech to the N.C. Courts Commission:
","
North Carolina could save ""literally tens of millions of dollars"" if it stopped prosecuting 16-year-olds as adults.
",/factchecks/2017/jan/27/duane-hall/raise-age-could-juvenile-justice-reform-save-north/,mostly-true,"
By Will Doran • January 27, 2017
"
"
Charles Schumer
",/personalities/charles-schumer/,"
stated on January 27, 2017 in a tweet:
","
Says Rex ""Tillerson won't divest from Exxon.""
",/factchecks/2017/jan/27/charles-schumer/chuck-schumer-wrongly-tweets-tillerson-wont-divest/,pants-fire,"
By Lauren Carroll • January 27, 2017
"
"
Bloggers
",/personalities/blog-posting/,"
stated on January 18, 2017 in a headline:
","
Says Barack ""Obama orders life-sized bronze statue of himself to be permanently installed in White House.""
",/factchecks/2017/jan/27/blog-posting/fake-news-theres-no-bronze-statue-president-barack/,pants-fire,"
By Joshua Gillin • January 27, 2017
"
"
Tammy Baldwin
",/personalities/tammy-baldwin/,"
stated on January 12, 2017 in a news release:
","
Imitation dairy products often differ nutritionally from those they mimic, and labeling them ""milk"" or ""cheese"" or ""yogurt"" is ""against the law.""
",/factchecks/2017/jan/27/tammy-baldwin/labeling-imitation-dairy-products-milk-or-cheese-o/,mostly-true,"
By Dave Umhoefer • January 27, 2017
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on January 25, 2017 in an interview with ABC News' David Muir:
","
""A poll just came out on my inauguration speech. … People loved it. Loved and liked.""
",/factchecks/2017/jan/26/donald-trump/donald-trumps-inaugural-speech-polled-well-not-wel/,mostly-true,"
By Louis Jacobson • January 26, 2017
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on January 25, 2017 in remarks at Department of Homeland Security:
","
Says ICE and border patrol officers ""unanimously endorsed me for president.""
",/factchecks/2017/jan/26/donald-trump/trump-claims-unanimous-endorsement-ice-border-patr/,barely-true,"
By Miriam Valverde • January 26, 2017
"
"
Whoopi Goldberg
",/personalities/whoopi-goldberg/,"
stated on January 25, 2017 in a segment on ABC's 'The View':
","
Says Barack Obama ""didn’t do executive orders in the beginning."" 
",/factchecks/2017/jan/26/whoopi-goldberg/whoopi-goldberg-wrongly-says-obama-waited-least-co/,pants-fire,"
By Allison Graves • January 26, 2017
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on January 26, 2017 in In a speech at the GOP Retreat:
","
""Here in Philadelphia murder has been steady — I mean — just terribly increasing.""
",/factchecks/2017/jan/26/donald-trump/donald-trump-falsely-tells-gop-philly-homicides-ar/,false,"
By Mark Dent • January 26, 2017
"
"
Claire McCaskill
",/personalities/claire-mccaskill/,"
stated on January 23, 2017 in an interview on MSNBC's ""Morning Joe"":
","
""Not one dime of the tax cut that they are going to enact with the repeal of Obamacare will go to people who make under $200,000.""
",/factchecks/2017/jan/26/claire-mccaskill/claire-mccaskill-overstates-tax-impacts-repealing-/,barely-true,"
By Louis Jacobson • January 26, 2017
"
"
Jerry Brown
",/personalities/jerry-brown/,"
stated on January 24, 2017 in his State of the State address:
","
""One hundred and ninety-four countries signed the Paris Agreement to control greenhouse gases. Our own voluntary agreement to accomplish the same goal — the Under2  MOU — has 165 signatories, representing a billion people.""
",/factchecks/2017/jan/26/jerry-brown/heres-what-you-need-know-about-californias-paris-a/,mostly-true,"
By Linda Qiu • January 26, 2017
"
"
Cory Gardner
",/personalities/cory-gardner/,"
stated on January 23, 2017 in an interview on Fox:
","
""About 30 percent of terrorists at Guantanamo Bay went back into battle. We know that a dozen or so killed Americans.""
",/factchecks/2017/jan/25/cory-gardner/how-many-released-guantanamo-bay-prisoners-commit-/,mostly-true,"
By Amy Sherman • January 25, 2017
"
"
Bloggers
",/personalities/blog-posting/,"
stated on January 24, 2017 in a blog post:
","
Say George Soros's money ""went straight into the (Women’s March) protesters’ pockets.""
",/factchecks/2017/jan/25/blog-posting/pants-fire-george-soros-money-womens-march-protest/,pants-fire,"
By Jon Greenberg • January 25, 2017
"
"
Sean Spicer
",/personalities/sean-spicer/,"
stated on January 24, 2017 in the daily press briefing:
","
""There's one (study) that came out of Pew in 2008 that showed 14 percent of people who voted were noncitizens.""
",/factchecks/2017/jan/25/sean-spicer/sean-spicer-wrongly-uses-pew-study-bolster-claim-n/,false,"
By Lauren Carroll • January 25, 2017
"
"
Mark Pocan
",/personalities/mark-pocan/,"
stated on January 11, 2017 in a letter:
","
Says Betsy DeVos and her family ""have donated extensively to groups which promote the idea that students who identify as LGBT must undergo 'conversion' therapy.""
",/factchecks/2017/jan/25/mark-pocan/betsy-devos-backs-groups-say-lgbt-students-must-ge/,barely-true,"
By Tom Kertscher • January 25, 2017
"
"
Sean Spicer
",/personalities/sean-spicer/,"
stated on January 23, 2017 in the daily press briefing:
","
There has been a ""dramatic expansion of the federal workforce in recent years.""
",/factchecks/2017/jan/25/sean-spicer/sean-spicers-claim-federal-workforce-has-expanded-/,barely-true,"
By Lauren Carroll • January 24, 2017
"
"
Donald Trump
",/personalities/donald-trump/,"
stated on January 21, 2017 in a page on the White House website:
","
""In 2015, homicides increased by 17 percent in America’s 50 largest cities. That’s the largest increase in 25 years.""
",/factchecks/2017/jan/24/donald-trump/donald-trumps-numbers-homicide-increase-are-solid/,mostly-true,"
By Louis Jacobson • January 24, 2017
"
"
Jerry Brown
",/personalities/jerry-brown/,"
stated on January 24, 2017 in a State of the State Address:
","
Twenty-seven percent of Californians, almost 11 million, ""were born in a foreign land.""
",/factchecks/2017/jan/24/jerry-brown/true-27-percent-californians-were-born-foreign-lan/,true,"
By Chris Nichols • January 24, 2017
"
